Round	Team Name 1	First Name 1	Last Name 1	Score 1	Subscore 1	Team Name 2	First Name 2	Last Name 2	Score 2	Subscore 2	Source
	SV Straßwalchen	Josef	Adam			JC Kufstein			0	0	{{Internetquelle |url=https://www.sn.at/archivsn?img=apIZk%2BdTMt80Bn2Nt88q3YuLbne5bnYyl2QXj%2FaesyNq2eT203vtdh1CL02rQT7r9FwrtYe%2BUFphzcXnb4EdYePwKTd3ZuV9M2nVE79CC4BP1tJILEpkWilPCZ09HU4P&id1=19740128_09&q=judo%2520staatsliga%25201974#sn-archiv-9 |titel=JUDO |abruf=2025-01-22}}
	SV Straßwalchen	Herbert	Scheicher			JC Kufstein			0	0	{{Internetquelle |url=https://www.sn.at/archivsn?img=apIZk%2BdTMt80Bn2Nt88q3YuLbne5bnYyl2QXj%2FaesyNq2eT203vtdh1CL02rQT7r9FwrtYe%2BUFphzcXnb4EdYePwKTd3ZuV9M2nVE79CC4BP1tJILEpkWilPCZ09HU4P&id1=19740128_09&q=judo%2520staatsliga%25201974#sn-archiv-9 |titel=JUDO |abruf=2025-01-22}}
	SV Straßwalchen	Gerhard	Dorfinger			JC Kufstein			0	0	{{Internetquelle |url=https://www.sn.at/archivsn?img=apIZk%2BdTMt80Bn2Nt88q3YuLbne5bnYyl2QXj%2FaesyNq2eT203vtdh1CL02rQT7r9FwrtYe%2BUFphzcXnb4EdYePwKTd3ZuV9M2nVE79CC4BP1tJILEpkWilPCZ09HU4P&id1=19740128_09&q=judo%2520staatsliga%25201974#sn-archiv-9 |titel=JUDO |abruf=2025-01-22}}
	SV Straßwalchen	K.	Unter			JC Kufstein			0	0	{{Internetquelle |url=https://www.sn.at/archivsn?img=apIZk%2BdTMt80Bn2Nt88q3YuLbne5bnYyl2QXj%2FaesyNq2eT203vtdh1CL02rQT7r9FwrtYe%2BUFphzcXnb4EdYePwKTd3ZuV9M2nVE79CC4BP1tJILEpkWilPCZ09HU4P&id1=19740128_09&q=judo%2520staatsliga%25201974#sn-archiv-9 |titel=JUDO |abruf=2025-01-22}}
	SV Straßwalchen	Franz	Huber			JC Kufstein			0	0	{{Internetquelle |url=https://www.sn.at/archivsn?img=apIZk%2BdTMt80Bn2Nt88q3YuLbne5bnYyl2QXj%2FaesyNq2eT203vtdh1CL02rQT7r9FwrtYe%2BUFphzcXnb4EdYePwKTd3ZuV9M2nVE79CC4BP1tJILEpkWilPCZ09HU4P&id1=19740128_09&q=judo%2520staatsliga%25201974#sn-archiv-9 |titel=JUDO |abruf=2025-01-22}}
	SV Straßwalchen	Josef	Adam			JC Kufstein			0	0	{{Internetquelle |url=https://www.sn.at/archivsn?img=apIZk%2BdTMt80Bn2Nt88q3YuLbne5bnYyl2QXj%2FaesyNq2eT203vtdh1CL02rQT7r9FwrtYe%2BUFphzcXnb4EdYePwKTd3ZuV9M2nVE79CC4BP1tJILEpkWilPCZ09HU4P&id1=19740128_09&q=judo%2520staatsliga%25201974#sn-archiv-9 |titel=JUDO |abruf=2025-01-22}}
	SV Straßwalchen	Herbert	Scheicher			JC Kufstein			0	0	{{Internetquelle |url=https://www.sn.at/archivsn?img=apIZk%2BdTMt80Bn2Nt88q3YuLbne5bnYyl2QXj%2FaesyNq2eT203vtdh1CL02rQT7r9FwrtYe%2BUFphzcXnb4EdYePwKTd3ZuV9M2nVE79CC4BP1tJILEpkWilPCZ09HU4P&id1=19740128_09&q=judo%2520staatsliga%25201974#sn-archiv-9 |titel=JUDO |abruf=2025-01-22}}
	SV Straßwalchen	Gerhard	Dorfinger			JC Kufstein			0	0	{{Internetquelle |url=https://www.sn.at/archivsn?img=apIZk%2BdTMt80Bn2Nt88q3YuLbne5bnYyl2QXj%2FaesyNq2eT203vtdh1CL02rQT7r9FwrtYe%2BUFphzcXnb4EdYePwKTd3ZuV9M2nVE79CC4BP1tJILEpkWilPCZ09HU4P&id1=19740128_09&q=judo%2520staatsliga%25201974#sn-archiv-9 |titel=JUDO |abruf=2025-01-22}}
	SV Straßwalchen	K.	Unter			JC Kufstein			0	0	{{Internetquelle |url=https://www.sn.at/archivsn?img=apIZk%2BdTMt80Bn2Nt88q3YuLbne5bnYyl2QXj%2FaesyNq2eT203vtdh1CL02rQT7r9FwrtYe%2BUFphzcXnb4EdYePwKTd3ZuV9M2nVE79CC4BP1tJILEpkWilPCZ09HU4P&id1=19740128_09&q=judo%2520staatsliga%25201974#sn-archiv-9 |titel=JUDO |abruf=2025-01-22}}
	SV Straßwalchen	Franz	Huber			JC Kufstein			0	0	{{Internetquelle |url=https://www.sn.at/archivsn?img=apIZk%2BdTMt80Bn2Nt88q3YuLbne5bnYyl2QXj%2FaesyNq2eT203vtdh1CL02rQT7r9FwrtYe%2BUFphzcXnb4EdYePwKTd3ZuV9M2nVE79CC4BP1tJILEpkWilPCZ09HU4P&id1=19740128_09&q=judo%2520staatsliga%25201974#sn-archiv-9 |titel=JUDO |abruf=2025-01-22}}
	SV Straßwalchen	Karl	Krenn			JC Kufstein			0	0	{{Internetquelle |url=https://www.sn.at/archivsn?img=apIZk%2BdTMt80Bn2Nt88q3YuLbne5bnYyl2QXj%2FaesyNq2eT203vtdh1CL02rQT7r9FwrtYe%2BUFphzcXnb4EdYePwKTd3ZuV9M2nVE79CC4BP1tJILEpkWilPCZ09HU4P&id1=19740128_09&q=judo%2520staatsliga%25201974#sn-archiv-9 |titel=JUDO |abruf=2025-01-22}}
	SV Straßwalchen		Pürstinger			JC Kufstein			0	0	{{Internetquelle |url=https://www.sn.at/archivsn?img=apIZk%2BdTMt80Bn2Nt88q3YuLbne5bnYyl2QXj%2FaesyNq2eT203vtdh1CL02rQT7r9FwrtYe%2BUFphzcXnb4EdYePwKTd3ZuV9M2nVE79CC4BP1tJILEpkWilPCZ09HU4P&id1=19740128_09&q=judo%2520staatsliga%25201974#sn-archiv-9 |titel=JUDO |abruf=2025-01-22}}
	SV Straßwalchen		Reitsamer			JC Kufstein			0	0	{{Internetquelle |url=https://www.sn.at/archivsn?img=apIZk%2BdTMt80Bn2Nt88q3YuLbne5bnYyl2QXj%2FaesyNq2eT203vtdh1CL02rQT7r9FwrtYe%2BUFphzcXnb4EdYePwKTd3ZuV9M2nVE79CC4BP1tJILEpkWilPCZ09HU4P&id1=19740128_09&q=judo%2520staatsliga%25201974#sn-archiv-9 |titel=JUDO |abruf=2025-01-22}}
	SV Straßwalchen	Gerhard	Dorfinger			Union Graz			0	0	{{Internetquelle |url=https://www.sn.at/archivsn?img=b7JnIBcjGhxhZrgYAJrnoMDmWP6XqU92IC7YjK2SniSOrPIZmOTC0GlTk2RYA%2BoB3NfqcJ9vjcfsz6Mdo8kL91YNcqMMbBtvOxqiLIUWMaNSgZtWFWIOs763N6bbGnNj&id1=19740325_15&q=judo%2520staatsliga%25201974#sn-archiv-15|titel=JUDO |abruf=2025-01-22}}
	SV Straßwalchen	K.	Unter			Union Graz			0	0	{{Internetquelle |url=https://www.sn.at/archivsn?img=b7JnIBcjGhxhZrgYAJrnoMDmWP6XqU92IC7YjK2SniSOrPIZmOTC0GlTk2RYA%2BoB3NfqcJ9vjcfsz6Mdo8kL91YNcqMMbBtvOxqiLIUWMaNSgZtWFWIOs763N6bbGnNj&id1=19740325_15&q=judo%2520staatsliga%25201974#sn-archiv-15|titel=JUDO |abruf=2025-01-22}}
