Team Name 1	First Name 1	Last Name 1	Score 1	Subscore 1	Team Name 2	First Name 2	Last Name 2	Score 2	Subscore 2	Source
ASKÖ Reichraming			0	0	JC Straßwalchen	Herbert	Schleicher			JUDO https://www.sn.at/archivsn?img=Tq0kAsqNBAnJSsurfsjTfgyxKZtegVOz26gI%2BI95EhHzUqFB81h5yV7wJsJWkuDG9VvtDrvOSW348ELRib%2FuZY1Dih%2B7c7o%2BRbPtJpiEKV4%2B%2BODQ0ReG4EmgRGyOUShq&id1=19750127_08&q=judo%2520staatsliga#sn-archiv-8
ASKÖ Reichraming			0	0	JC Straßwalchen	Helmut	Krempler			JUDO https://www.sn.at/archivsn?img=Tq0kAsqNBAnJSsurfsjTfgyxKZtegVOz26gI%2BI95EhHzUqFB81h5yV7wJsJWkuDG9VvtDrvOSW348ELRib%2FuZY1Dih%2B7c7o%2BRbPtJpiEKV4%2B%2BODQ0ReG4EmgRGyOUShq&id1=19750127_08&q=judo%2520staatsliga#sn-archiv-8
ASKÖ Reichraming			0	0	JC Straßwalchen	Herbert	Schleicher			JUDO https://www.sn.at/archivsn?img=Tq0kAsqNBAnJSsurfsjTfgyxKZtegVOz26gI%2BI95EhHzUqFB81h5yV7wJsJWkuDG9VvtDrvOSW348ELRib%2FuZY1Dih%2B7c7o%2BRbPtJpiEKV4%2B%2BODQ0ReG4EmgRGyOUShq&id1=19750127_08&q=judo%2520staatsliga#sn-archiv-8
ASKÖ Reichraming			0	0	JC Straßwalchen	Helmut	Krempler			JUDO https://www.sn.at/archivsn?img=Tq0kAsqNBAnJSsurfsjTfgyxKZtegVOz26gI%2BI95EhHzUqFB81h5yV7wJsJWkuDG9VvtDrvOSW348ELRib%2FuZY1Dih%2B7c7o%2BRbPtJpiEKV4%2B%2BODQ0ReG4EmgRGyOUShq&id1=19750127_08&q=judo%2520staatsliga#sn-archiv-8
ASKÖ Reichraming			0	0	JC Straßwalchen	Alois	Söllinger			JUDO https://www.sn.at/archivsn?img=Tq0kAsqNBAnJSsurfsjTfgyxKZtegVOz26gI%2BI95EhHzUqFB81h5yV7wJsJWkuDG9VvtDrvOSW348ELRib%2FuZY1Dih%2B7c7o%2BRbPtJpiEKV4%2B%2BODQ0ReG4EmgRGyOUShq&id1=19750127_08&q=judo%2520staatsliga#sn-archiv-8
ASKÖ Reichraming			0	0	JC Straßwalchen		Krenn			JUDO https://www.sn.at/archivsn?img=Tq0kAsqNBAnJSsurfsjTfgyxKZtegVOz26gI%2BI95EhHzUqFB81h5yV7wJsJWkuDG9VvtDrvOSW348ELRib%2FuZY1Dih%2B7c7o%2BRbPtJpiEKV4%2B%2BODQ0ReG4EmgRGyOUShq&id1=19750127_08&q=judo%2520staatsliga#sn-archiv-8
ASKÖ Reichraming			0	0	JC Straßwalchen	Johann	Mayrhofer			JUDO https://www.sn.at/archivsn?img=Tq0kAsqNBAnJSsurfsjTfgyxKZtegVOz26gI%2BI95EhHzUqFB81h5yV7wJsJWkuDG9VvtDrvOSW348ELRib%2FuZY1Dih%2B7c7o%2BRbPtJpiEKV4%2B%2BODQ0ReG4EmgRGyOUShq&id1=19750127_08&q=judo%2520staatsliga#sn-archiv-8
ASKÖ Reichraming			0	0	JC Straßwalchen	Franz	Huber			JUDO https://www.sn.at/archivsn?img=Tq0kAsqNBAnJSsurfsjTfgyxKZtegVOz26gI%2BI95EhHzUqFB81h5yV7wJsJWkuDG9VvtDrvOSW348ELRib%2FuZY1Dih%2B7c7o%2BRbPtJpiEKV4%2B%2BODQ0ReG4EmgRGyOUShq&id1=19750127_08&q=judo%2520staatsliga#sn-archiv-8
SV Straßwalchen	Gerhard	Dorfinger			WAT Wien			0	0	JUDO https://www.sn.at/archivsn?img=LvyROdjHFtFCvTI9w4mRO6quoYfQbhtXpPnEBuojcVxbs03radSxJTeJ%2FAKWEqBN%2FW%2B3Lz%2F2%2FoDrTcIzezfIipR6ovFKYrGFyKiC3dy5nklCBoBoIavUXdq5jar1pwNS&id1=19750407_09&q=judo%2520staatsliga#sn-archiv-9
SV Straßwalchen	Franz	Huber			WAT Wien			0	0	JUDO https://www.sn.at/archivsn?img=LvyROdjHFtFCvTI9w4mRO6quoYfQbhtXpPnEBuojcVxbs03radSxJTeJ%2FAKWEqBN%2FW%2B3Lz%2F2%2FoDrTcIzezfIipR6ovFKYrGFyKiC3dy5nklCBoBoIavUXdq5jar1pwNS&id1=19750407_09&q=judo%2520staatsliga#sn-archiv-9
SV Straßwalchen	Gerhard	Dorfinger			WAT Wien			0	0	JUDO https://www.sn.at/archivsn?img=LvyROdjHFtFCvTI9w4mRO6quoYfQbhtXpPnEBuojcVxbs03radSxJTeJ%2FAKWEqBN%2FW%2B3Lz%2F2%2FoDrTcIzezfIipR6ovFKYrGFyKiC3dy5nklCBoBoIavUXdq5jar1pwNS&id1=19750407_09&q=judo%2520staatsliga#sn-archiv-9
SV Straßwalchen	Franz	Huber			WAT Wien			0	0	JUDO https://www.sn.at/archivsn?img=LvyROdjHFtFCvTI9w4mRO6quoYfQbhtXpPnEBuojcVxbs03radSxJTeJ%2FAKWEqBN%2FW%2B3Lz%2F2%2FoDrTcIzezfIipR6ovFKYrGFyKiC3dy5nklCBoBoIavUXdq5jar1pwNS&id1=19750407_09&q=judo%2520staatsliga#sn-archiv-9
