Playoffs	Weight Class	Team Name 1	First Name 1	Last Name 1	Score 1	Subscore 1	Team Name 2	First Name 2	Last Name 2	Score 2	Subscore 2	Source
P (Place 1/2 2. Durchgang)		Judo Union Raika Pinzgau	Josef	Krnac	1		Judo Union Raika Flachgau			0	0	{{Internetquelle |url=https://www.judo-ski-rauris.at/staatsmeister-2002.htm |titel=Staatsmeister 2002 |abruf=2026-01-04}}
P (Place 1/2 2. Durchgang)		Judo Union Raika Pinzgau	Josef	Krnac	1		Judo Union Raika Flachgau			0	0	{{Internetquelle |url=https://www.judo-ski-rauris.at/staatsmeister-2002.htm |titel=Staatsmeister 2002 |abruf=2026-01-04}}
P (Place 1/2 2. Durchgang)		Judo Union Raika Pinzgau	Rupert jun.	Rieß 	1		Judo Union Raika Flachgau			0	0	{{Internetquelle |url=https://www.judo-ski-rauris.at/staatsmeister-2002.htm |titel=Staatsmeister 2002 |abruf=2026-01-04}}
P (Place 1/2 2. Durchgang)		Judo Union Raika Pinzgau	Rupert jun.	Rieß	1		Judo Union Raika Flachgau			0	0	{{Internetquelle |url=https://www.judo-ski-rauris.at/staatsmeister-2002.htm |titel=Staatsmeister 2002 |abruf=2026-01-04}}
P (Place 1/2 2. Durchgang)		Judo Union Raika Pinzgau	Heli	Kendler	1		Judo Union Raika Flachgau			0	0	{{Internetquelle |url=https://www.judo-ski-rauris.at/staatsmeister-2002.htm |titel=Staatsmeister 2002 |abruf=2026-01-04}}
P (Place 1/2 2. Durchgang)		Judo Union Raika Pinzgau	Heli	Kendler	1		Judo Union Raika Flachgau			0	0	{{Internetquelle |url=https://www.judo-ski-rauris.at/staatsmeister-2002.htm |titel=Staatsmeister 2002 |abruf=2026-01-04}}
P (Place 1/2 2. Durchgang)		Judo Union Raika Pinzgau	Andi	Mitterfellner	1		Judo Union Raika Flachgau			0	0	{{Internetquelle |url=https://www.judo-ski-rauris.at/staatsmeister-2002.htm |titel=Staatsmeister 2002 |abruf=2026-01-04}}
P (Place 1/2 2. Durchgang)		Judo Union Raika Pinzgau	Roman	Jahoda	1		Judo Union Raika Flachgau			0	0	{{Internetquelle |url=https://www.judo-ski-rauris.at/staatsmeister-2002.htm |titel=Staatsmeister 2002 |abruf=2026-01-04}}
P (Place 1/2 2. Durchgang)		Judo Union Raika Pinzgau			0	0	Judo Union Raika Flachgau	Antal	Kovacs	1		{{Internetquelle |url=https://www.judo-ski-rauris.at/staatsmeister-2002.htm |titel=Staatsmeister 2002 |abruf=2026-01-04}}
P (Place 1/2 2. Durchgang)		Judo Union Raika Pinzgau			0	0	Judo Union Raika Flachgau	Antal	Kovacs	1		{{Internetquelle |url=https://www.judo-ski-rauris.at/staatsmeister-2002.htm |titel=Staatsmeister 2002 |abruf=2026-01-04}}
P (Place 1/2 2. Durchgang)		Judo Union Raika Pinzgau			0	0	Judo Union Raika Flachgau	Lupo	Paischer	1		{{Internetquelle |url=https://www.judo-ski-rauris.at/staatsmeister-2002.htm |titel=Staatsmeister 2002 |abruf=2026-01-04}}
P (Place 1/2 2. Durchgang)		Judo Union Raika Pinzgau			0	0	Judo Union Raika Flachgau	Lupo	Paischer	1		{{Internetquelle |url=https://www.judo-ski-rauris.at/staatsmeister-2002.htm |titel=Staatsmeister 2002 |abruf=2026-01-04}}
P (Place 1/2 2. Durchgang)		Judo Union Raika Pinzgau			0	0	Judo Union Raika Flachgau	Stefan	Strasser	1		{{Internetquelle |url=https://www.judo-ski-rauris.at/staatsmeister-2002.htm |titel=Staatsmeister 2002 |abruf=2026-01-04}}
P (Place 1/2 2. Durchgang)		Judo Union Raika Pinzgau			0	0	Judo Union Raika Flachgau	Christoph	Stangl	1		{{Internetquelle |url=https://www.judo-ski-rauris.at/staatsmeister-2002.htm |titel=Staatsmeister 2002 |abruf=2026-01-04}}
