Fight Number	Name 1	Last Name 1	First Name 1	Yuko 1	Wazaari 1	Ippon 1	Shido 1	HSM 1	Score 1	Subscore 1	Name 2	Last Name 2	First Name 2	Yuko 2	Wazaari 2	Ippon 2	Shido 2	HSM 2	Score 2	Subscore 2	Source
1		WALDHÖR	Dominik	1	0	0	0	0	0	0		PASOLLI	Ivo	1	0	0	0	0	0	0	
2		JODL	Christoph	0	0	0	0	0	0	0		IVINGER	Erich	0	0	0	1	0	0	0	
3		MAYR	Bernhard	0	0	1	1	0	1	10		GRASSMAIR	Severin	0	0	0	1	0	0	0	
4		OSTASZEWSKI	Dominik	0	0	0	0	0	0	0		BüRGES	Milan	0	1	1	0	0	1	10	
5		ZEHETNER	Jan	0	0	1	1	0	1	10		IMRE	Lehel	0	0	0	1	0	0	0	
6		RANDL	Milan	1	0	1	0	0	1	10		ENGEL	Patrick	0	0	0	0	0	0	0	
7		JURCIK	Pavol	0	0	0	0	0	0	0		LINDNER	Florian	1	0	0	0	0	1	5	
8		WALDHÖR	Dominik	0	1	0	0	0	0	0		PASOLLI	Ivo	1	1	0	1	0	1	7	
9		JODL	Christoph	0	0	0	0	0	0	0		IVINGER	Erich	1	0	1	0	0	1	10	
10		MAYR	Bernhard	1	0	0	0	0	1	10		STEINICKE	Alexander	0	0	0	0	0	0	0	
11		FROSCHAUER	Alexander	0	0	0	1	0	0	0		BüRGES	Milan	0	1	1	0	0	1	7	
12		ZEHETNER	Jan	0	1	1	0	0	1	10		GRASSMAIR	Severin	0	1	0	0	0	0	0	
13		JURCIK	Pavol	0	0	1	0	0	1	10		IMRE	Lehel	0	0	0	0	0	0	0	
14		RANDL	Milan	1	0	0	0	0	1	5		LINDNER	Florian	0	0	0	0	0	0	0	
1		WEIDLINGER	Lukas	0	0	0	0	0	0	0		POLIAK	Matej	1	2	1	0	0	1	10	
2		VOGEL	Amin	0	0	0	0	0	0	0		MITTERFELLNER	Andreas	0	0	1	0	0	1	10	
3		MUSSNIG	Daniel	0	0	0	0	0	0	0		WIMBERGER	Markus	0	0	1	0	0	1	10	
4		WEISS	Christoph	0	0	0	0	0	0	0		RIESS	Christian	0	0	1	0	0	1	10	
5		KRONSCHLÄGER	Florian	1	0	0	2	0	0	0		HÖLLWART	Hermann	1	2	1	2	0	1	10	
6		MATEI	Daniel	2	0	1	0	0	1	10		MAYER	Christoph	0	0	0	2	0	0	0	
7		GASTEINER	Michael	0	0	0	0	0	0	0		ASCHABER	Anton	0	0	1	0	0	1	10	
8		WEIDLINGER	Lukas	0	0	0	0	0	0	0		POLIAK	Matej	1	2	1	0	0	1	10	
9		VOGEL	Amin	0	0	0	1	0	0	0		MITTERFELLNER	Andreas	1	1	1	0	0	1	10	
10		MUSSNIG	Daniel	1	0	0	0	0	0	0		WIMBERGER	Markus	0	0	1	1	0	1	10	
11		WEISS	Christoph	0	0	0	1	0	0	0		RIESS	Christian	0	0	1	0	0	1	10	
12		FURCH	Lukas	0	0	0	0	0	0	0		HÖLLWART	Hermann	0	0	1	0	0	1	10	
13		KRONSCHLÄGER	Florian	0	0	0	3	0	0	0		MAYER	Christoph	4	1	0	0	0	1	7	
14		MATEI	Daniel	0	0	1	0	0	1	10		DUM	Alois	0	0	0	0	0	0	0	
1		LAZEA	Amado	0	0	1	0	0	1	10		HÖDL	Manuel	0	0	0	0	0	0	0	
2		WEICHINGER	Alexander	0	0	0	1	0	0	0		NAKAMURA	Toshihide	0	0	0	1	0	0	0	
3		OTT	Marcel	1	0	1	0	0	1	10		ACKERL	Thomas	0	0	0	0	0	0	0	
4		KUCIARA	Stefan	0	0	0	0	0	0	0		MARIJANOVIC	Tomislav	0	0	1	0	0	1	10	
5		REICHMANN	Manuel	0	0	1	0	0	1	10		ACKERL	Philipp	0	0	0	0	0	0	0	
6		GEIER	Gabor	0	0	0	0	0	0	0		KRPALEK	Lukas	1	0	1	0	0	1	10	
7		REICHSTEIN	Julian	1	0	0	0	0	1	5		BERTAGNOLI	Martin	0	0	0	1	0	0	0	
8		LAZEA	Amado	0	0	1	0	0	1	10		HÖDL	Manuel	0	0	0	0	0	0	0	
9		WEICHINGER	Alexander	1	0	0	1	0	1	5		NAKAMURA	Toshihide	0	0	0	2	0	0	0	
10		OTT	Marcel	1	0	0	0	0	1	5		GRASMUGG	Marc	0	0	0	0	0	0	0	
11		KUCIARA	Stefan	0	0	0	0	0	0	0		MARIJANOVIC	Tomislav	0	0	1	0	0	1	10	
12		REICHMANN	Manuel	0	0	1	0	0	1	10		ACKERL	Philipp	0	0	0	0	0	0	0	
13		GEIER	Gabor	0	0	0	0	0	0	0		KRPALEK	Lukas	0	0	1	0	0	1	10	
14		REICHSTEIN	Julian	0	1	0	0	0	1	7		BERTAGNOLI	Martin	0	0	0	0	0	0	0	
1		HOFMANN	Lukas	0	0	0	1	0	0	0		HUEMER	Mathias	0	0	1	0	0	1	10	
2		STEGMUELLER	Roland	1	0	0	0	0	0	0		REITER	Georg	1	0	0	0	0	0	0	
3		SPITZER	Kevin	0	0	0	1	0	0	0		SHALA	Driton	0	0	1	0	0	1	10	
4		SCHIRNHOFER	Felix	0	0	0	1	0	0	0		FERCHER	Albert	0	1	0	1	0	1	7	
5		SCHIRNHOFER	Maximilian	2	0	1	0	0	1	10		JURECKA	Alexandr	0	0	0	0	0	0	0	
6		KRONBERGER	Stefan	0	1	1	0	0	1	10		SCHAUBMAYR	Rene	0	0	0	0	0	0	0	
7		KRONBERGER	Christoph	0	0	0	1	0	0	0		ALLERSTORFER	Daniel	0	0	0	1	0	0	0	
8		HOFMANN	Lukas	0	0	0	0	0	0	0		HUEMER	Mathias	0	1	1	0	0	1	10	
9		STEGMUELLER	Roland	0	0	0	1	0	0	0		REITER	Georg	0	2	0	0	0	1	10	
10		KAISER	Paul	0	0	0	0	0	0	0		SHALA	Driton	2	0	1	0	0	1	10	
11		SCHIRNHOFER	Felix	0	0	0	0	0	0	0		FERCHER	Albert	0	0	0	0	0	0	0	
12		SCHIRNHOFER	Maximilian	1	0	0	1	0	1	5		PFISTERMÜLLER	Peter	0	0	0	2	0	0	0	
13		KRONBERGER	Stefan	0	0	1	1	0	1	10		JURECKA	Alexandr	0	0	0	1	0	0	0	
14		KRONBERGER	Christoph	0	0	0	0	0	0	0		ALLERSTORFER	Daniel	0	0	1	1	0	1	10	
1		PASOLLI	Ivo	1	0	0	1	0	1	5		LAZEA	Amado	0	0	0	1	0	0	0	
2		IVINGER	Erich	0	0	0	2	0	0	0		WEICHINGER	Alexander	1	0	0	0	0	1	5	
3		GRASSMAIR	Severin	0	0	0	0	0	0	0		OTT	Marcel	0	0	1	0	0	1	10	
