Fight Number	Last Name 1	First Name 1	Yuko 1	Wazaari 1	Ippon 1	Shido 1	HSM 1	Score 1	Subscore 1	Last Name 2	First Name 2	Yuko 2	Wazaari 2	Ippon 2	Shido 2	HSM 2	Score 2	Subscore 2	Source
1	PETRIKOV	Pavel	0	2	0	0	0	1	10	KAINZ	Fabian	0	0	0	0	0	0	0	
2	SCHMIDHOFER	Thomas	0	0	0	1	0	0	0	WINDBICHLER	Tobias	1	0	1	1	0	1	10	
3	WIMBERGER	Markus	0	0	0	2	0	1	10	PFEIFFER	Johannes	1	0	0	1	1	0	0	
4	HÖLLWART	Hermann	0	0	0	0	0	1	10	OBERMAYR	Stefan	0	0	0	0	1	0	0	
5	DUMKE	Robert	0	0	1	0	0	1	10	VÖTTERL	Fabio	0	0	0	0	0	0	0	
6	MAYER	Christoph	0	0	1	0	0	1	10	FURCH	Lukas	0	0	0	0	0	0	0	
7	RIESS	Rupert Jun	0	2	0	0	0	1	10	KRONSCHLÄGER	Florian	0	0	0	0	0	0	0	
8	PETRIKOV	Pavel	0	0	1	0	0	1	10	KAINZ	Fabian	0	0	0	0	0	0	0	
9	SCHMIDHOFER	Thomas	0	0	0	3	0	1	10	WINDBICHLER	Tobias	1	0	0	0	1	0	0	
10	WIMBERGER	Markus	0	0	0	0	0	1	10	PFEIFFER	Johannes	1	0	0	1	1	0	0	
11	MITTERFELLNER	Andreas	0	0	0	1	0	1	10	OBERMAYR	Stefan	0	0	0	4	1	0	0	
12	WIMBERGER	Matthias	0	0	1	1	0	1	10	VÖTTERL	Fabio	0	0	0	0	0	0	0	
13	HÖLLWART	Hermann	0	0	1	0	0	1	10	FURCH	Lukas	0	0	0	1	0	0	0	
14	MAYER	Christoph	1	0	1	0	0	1	10	KRONSCHLÄGER	Florian	0	0	0	2	0	0	0	
1	HÖDL	Manuel	0	0	0	0	0	0	0	GERCHEV	Yanislav	1	1	1	0	0	1	10	
2	GRASMUGG	Jürgen	0	0	0	0	0	0	0	WAGNER	Christopher	0	0	1	1	0	1	10	
3	ACKERL	Thomas	0	0	0	0	0	0	0	WEICHINGER	Alexander	1	0	0	1	0	1	5	
4	SEDEJ	Aljaz	0	1	1	1	0	1	10	OTT	Marcel	1	0	0	0	0	0	0	
5	ACKERL	Philipp	0	0	0	3	0	0	0	REICHMANN	Manuel	0	0	0	1	0	1	1	
6	KRPALEK	Lukas	1	0	1	0	0	1	10	GEIER	Gabor	0	0	0	0	0	0	0	
7	BERTAGNOLI	Martin	0	0	0	1	0	0	0	REICHSTEIN	Julian	0	1	0	0	0	1	7	
8	HÖDL	Manuel	0	0	0	0	0	0	0	GERCHEV	Yanislav	0	1	1	1	0	1	10	
9	GRASMUGG	Jürgen	0	0	0	0	0	0	0	WAGNER	Christopher	0	1	1	0	0	1	10	
10	GRASMUGG	Marc	0	0	0	0	0	0	0	HACKL	Florian	1	1	1	1	0	1	10	
11	SCHÖGLER	Christoph	0	0	0	0	0	0	0	OTT	Marcel	0	0	1	0	0	1	10	
12	SEDEJ	Aljaz	1	1	1	0	0	1	10	REICHMANN	Manuel	0	0	0	0	0	0	0	
13	ACKERL	Philipp	0	0	0	0	0	0	0	REICHSTEIN	Julian	0	0	1	1	0	1	10	
14	KRPALEK	Lukas	0	1	1	0	0	1	10	GEIER	Gabor	0	0	0	0	0	0	0	
1	PÜHRINGER	Reinhold	0	0	1	0	0	1	10	HOFMANN	Lukas	0	0	0	0	0	0	0	
2	HUEMER	Mathias	0	1	0	1	0	1	7	STEGMUELLER	Roland	0	0	0	0	0	0	0	
3	SHALA	Driton	1	0	1	0	0	1	10	MÜKISCH	Philipp	0	0	0	2	0	0	0	
4	SCHARINGER	Peter	0	1	1	1	0	1	10	KASTINGER	Johannes	0	0	0	2	0	0	0	
5	FERCHER	Albert	0	0	0	2	0	0	0	STERNER	Thomas	1	0	1	0	0	1	10	
6	JURECKA	Alexandr	0	2	0	0	0	1	10	KRONBERGER	Stefan	0	0	0	1	0	0	0	
7	ALLERSTORFER	Daniel	0	0	0	0	0	1	1	KRONBERGER	Christoph	0	0	0	2	0	0	0	
8	PÜHRINGER	Reinhold	0	0	0	1	0	1	1	PRASCHL	Johannes	0	0	0	3	0	0	0	
9	HUEMER	Mathias	0	0	0	4	0	0	0	STEGMUELLER	Roland	1	0	0	0	0	1	10	
10	REITER	Georg	0	0	1	0	0	1	10	MÜKISCH	Philipp	0	0	0	1	0	0	0	
11	SCHAUBMAYR	Rene	0	0	1	0	0	1	10	KASTINGER	Johannes	0	0	0	0	0	0	0	
12	FERCHER	Albert	0	0	1	0	0	1	10	STERNER	Thomas	0	0	0	0	0	0	0	
13	JURECKA	Alexandr	0	0	0	3	0	0	0	KRONBERGER	Stefan	0	1	0	2	0	1	7	
14	ALLERSTORFER	Daniel	0	0	0	0	0	0	0	KRONBERGER	Christoph	0	2	0	2	0	1	10	
1	BORCHASHVILI	Kimran	0	0	0	1	0	0	0	WALDHÖR	Dominik	0	0	0	0	0	1	1	
2	HAMINGER	Thomas	0	1	1	0	0	1	10	EIBENSTEINER	Gregor	0	0	0	0	0	0	0	
3	FELLNER	Hans-Peter	0	0	0	0	1	0	0	MAYR	Bernhard	0	0	0	0	0	1	10	
4	STEGMAYER	Dominik	1	1	0	1	0	1	7	OSTASZEWSKI	Dominik	0	0	0	2	0	0	0	
5	EDER	Marcus	0	0	0	1	0	0	0	ZEHETNER	Jan	1	2	0	0	0	1	10	
6	RIEGLER	Stefan	0	0	0	0	0	0	0	CIRJENIC	Miklos	1	0	1	0	0	1	10	
7	HORAK	Michal	0	0	0	1	0	0	0	RANDL	Milan	0	0	1	1	0	1	10	
8	BORCHASHVILI	Kimran	0	0	0	0	0	1	10	WALDHÖR	Dominik	0	0	0	0	1	0	0	
9	HAMINGER	Thomas	0	0	1	0	0	1	10	JODL	Christoph	0	0	0	0	0	0	0	
10	LIEBENBERGER	Gregor	0	0	0	1	0	0	0	MAYR	Bernhard	0	0	1	1	0	1	10	
11	STEGMAYER	Dominik	0	0	0	0	0	1	10	HELM	Manuel	0	0	0	0	1	0	0	
12	EDER	Marcus	0	0	0	1	0	0	0	ZEHETNER	Jan	1	0	1	0	0	1	10	
13	RIEGLER	Stefan	0	0	0	1	0	0	0	CIRJENIC	Miklos	0	0	1	1	0	1	10	
14	HORAK	Michal	0	0	0	1	0	0	0	RANDL	Milan	0	0	0	1	0	0	0	
1	AUTENGRUBER	Stefan	0	0	0	0	0	0	0	HÖDL	Manuel	0	0	0	0	0	1	5	
2	JODL	Christoph	0	0	0	0	0	0	0	LANG	Dominik	0	0	0	0	0	1	10	
3	MAYR	Bernhard	0	0	0	0	0	1	10	ACKERL	Thomas	0	0	0	0	0	0	0	
4	MILICHOVSKY	Matus	0	0	0	0	0	0	0	SEDEJ	Aljaz	0	0	0	0	0	1	10	
5			0	0	0	0	0	0	0	ACKERL	Philipp	0	0	0	0	0	1	10	
6	HELM	Manuel	0	0	0	0	0	0	0	KRPALEK	Lukas	0	0	0	0	0	0	0	
7	RANDL	Milan	0	0	0	0	0	1	10	BERTAGNOLI	Martin	0	0	0	0	0	1	10	
8	AUTENGRUBER	Stefan	0	0	0	0	0	0	0	HÖDL	Manuel	0	0	0	0	0	0	0	
9	EIBENSTEINER	Gregor	0	0	0	0	0	0	0	LANG	Dominik	0	0	0	0	0	1	5	
10	MAYR	Bernhard	0	0	0	0	0	1	10	ACKERL	Thomas	0	0	0	0	0	0	0	
11	MILICHOVSKY	Matus	0	0	0	0	0	0	0	SEDEJ	Aljaz	0	0	0	0	0	1	7	
12			0	0	0	0	0	0	0	ACKERL	Philipp	0	0	0	0	0	1	10	
13	HELM	Manuel	0	0	0	0	0	0	0	KRPALEK	Lukas	0	0	0	0	0	1	10	
14	RANDL	Milan	0	0	0	0	0	1	10	BERTAGNOLI	Martin	0	0	0	0	0	0	0	
1	HAUCH	Alexander	0	0	0	0	0	0	0	PÜHRINGER	Reinhold	0	0	1	0	0	1	10	
2	TIEFGRABER	Andreas	0	1	1	0	0	1	10	WEIXELBAUMER	Tobias	0	0	0	0	0	0	0	
3	PFEIFFER	Johannes	1	0	0	2	0	0	0	SHALA	Driton	2	0	1	2	0	1	10	
4	OBERMAYR	Stefan	0	0	0	2	0	0	0	SCHARINGER	Peter	0	2	0	2	0	1	10	
5	SCHVARCZ	Razvan	0	0	1	0	0	1	10	FERCHER	Albert	0	0	0	1	0	0	0	
6	MATEI	Daniel	0	0	0	0	1	0	0	JURECKA	Alexandr	0	0	0	0	0	1	10	
7	KRONSCHLÄGER	Florian	1	2	0	0	0	1	10	GROISS	Thomas	0	0	0	0	0	0	0	
8	HAUCH	Alexander	0	0	0	0	0	0	0	PÜHRINGER	Reinhold	0	0	1	0	0	1	10	
9	TIEFGRABER	Andreas	0	0	0	0	0	1	1	WEIXELBAUMER	Tobias	0	0	0	3	0	0	0	
10	PFEIFFER	Johannes	0	0	0	1	0	0	0	REITER	Georg	0	0	0	0	0	1	1	
11	OBERMAYR	Stefan	0	0	0	1	0	0	0	SCHARINGER	Peter	0	0	1	1	0	1	10	
12	SCHVARCZ	Razvan	0	1	0	0	0	1	10	FERCHER	Albert	0	0	0	0	1	0	0	
13	MATEI	Daniel	0	0	0	0	0	0	0	JURECKA	Alexandr	0	1	1	1	0	1	10	
14	KRONSCHLÄGER	Florian	0	1	0	2	0	1	7	GROISS	Thomas	0	0	0	2	0	0	0	
