Playoffs	Round	Weight Class	Fight Number	Team Name 1	First Name 1	Last Name 1	Score 1	Subscore 1	Ippon 1	Wazaari 1	Yuko 1	Koka 1	Shido 1	HSM 1	Team Name 2	First Name 2	Last Name 2	Score 2	Subscore 2	Ippon 2	Wazaari 2	Yuko 2	Koka 2	Shido 2	HSM 2	Source	Points 1	Points 2
P	1	-60 kg	0	Volksbank Galaxy Judo Tigers	Denislav	Ivanov	1	1	0	0	0	0	0	0	Multikraft Wels	Kimran	Borchashvili	0	0	0	0	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
P	1	-66 kg	1	Volksbank Galaxy Judo Tigers	Mathias	Czizsek	1	7	0	1	0	0	0	0	Multikraft Wels	Thomas	Haminger	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
P	1	-73 kg	2	Volksbank Galaxy Judo Tigers	Christopher	Wagner	1	7	0	1	1	0	0	0	Multikraft Wels	Shamil	Borchashvili	0	0	0	0	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
P	1	-81 kg	3	Volksbank Galaxy Judo Tigers	Marcel	Ott	1	7	0	1	0	0	1	0	Multikraft Wels	Dominik	Stegmayer	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
P	1	-90 kg	4	Volksbank Galaxy Judo Tigers	Maximilian	Schneider	1	10	1	0	0	0	0	0	Multikraft Wels	Stefan	Riegler	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
P	1	-100 kg	5	Volksbank Galaxy Judo Tigers	Aaron	Fara	1	10	1	0	1	0	0	0	Multikraft Wels	Miklos	Cirjenic	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
P	1	+100 kg	6	Volksbank Galaxy Judo Tigers	Gabor	Geier	1	10	1	0	0	0	0	0	Multikraft Wels	Marcus	Eder	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
P	2	-60 kg	7	Volksbank Galaxy Judo Tigers	Adam	Borchashvilli	0	0	0	0	0	0	0	0	Multikraft Wels	Kimran	Borchashvili	1	10	1	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
P	2	-66 kg	8	Volksbank Galaxy Judo Tigers	Stefan	Kudera	1	10	1	0	1	0	1	0	Multikraft Wels	Thomas	Haminger	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
P	2	-73 kg	9	Volksbank Galaxy Judo Tigers	Alexander	Weichinger	0	0	0	0	0	0	1	0	Multikraft Wels	Shamil	Borchashvili	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
