Playoffs	Round	Weight Class	Fight Number	Team Name 1	First Name 1	Last Name 1	Score 1	Subscore 1	Ippon 1	Wazaari 1	Yuko 1	Koka 1	Shido 1	HSM 1	Team Name 2	First Name 2	Last Name 2	Score 2	Subscore 2	Ippon 2	Wazaari 2	Yuko 2	Koka 2	Shido 2	HSM 2	Source
G	1	-48 kg	0	JC Wimpassing Sparkasse	Katharina	Schöffauer	1	10	1	0	0	0	0	0	UJZ Mühlviertel			0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-52 kg	1	JC Wimpassing Sparkasse	Lisa	Grabner	1	10	1	0	0	0	0	0	UJZ Mühlviertel	Andrea	Dall	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-57 kg	2	JC Wimpassing Sparkasse	Sabrina	Bauer	1	7	0	1	0	0	0	0	UJZ Mühlviertel	Pamela-Denise	Neubauer	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-63 kg	3	JC Wimpassing Sparkasse	Tina	Reiter	1	10	1	0	0	0	0	0	UJZ Mühlviertel	Kathrin	Schlögl	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-70 kg	4	JC Wimpassing Sparkasse	Michaela	Polleres	1	10	1	3	0	0	0	0	UJZ Mühlviertel	Rebekka	Autengruber	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-78 kg	5	JC Wimpassing Sparkasse	Marlene	Hunger	0	0	0	0	0	0	2	0	UJZ Mühlviertel	Heidrun	Genzecker	1	7	0	1	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	+78 kg	6	JC Wimpassing Sparkasse	Sarah	Mairhofer	1	7	0	2	0	0	1	0	UJZ Mühlviertel	Marianne	Hollensteiner	0	0	0	1	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-48 kg	7	JC Wimpassing Sparkasse	Teresa	Bauer	1	10	1	0	0	0	0	0	UJZ Mühlviertel			0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-52 kg	8	JC Wimpassing Sparkasse	Lisa	Grabner	1	1	0	0	0	0	0	0	UJZ Mühlviertel	Andrea	Dall	0	0	0	0	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-57 kg	9	JC Wimpassing Sparkasse	Sabrina	Bauer	0	0	0	0	0	0	0	0	UJZ Mühlviertel	Pamela-Denise	Neubauer	1	10	1	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
