Playoffs	Round	Weight Class	Fight Number	Team Name 1	First Name 1	Last Name 1	Score 1	Subscore 1	Ippon 1	Wazaari 1	Yuko 1	Koka 1	Shido 1	HSM 1	Team Name 2	First Name 2	Last Name 2	Score 2	Subscore 2	Ippon 2	Wazaari 2	Yuko 2	Koka 2	Shido 2	HSM 2	Source
G	1	-60 kg	1	LZ Multikraft Wels	Alexander	Klaus-Sternwieser	0	0	0	0	0	0	0	0	Galaxy Judo Tigers	Dilshot	Khalmatov	1	100	1	1	1	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-66 kg	2	LZ Multikraft Wels	Christoph	Schachinger	0	0	0	0	0	0	0	0	Galaxy Judo Tigers	David	Peritsch	1	100	0	2	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-73 kg	3	LZ Multikraft Wels	Alexander	Kaserer	0	0	0	0	0	0	0	0	Galaxy Judo Tigers	Denis	Vieru	1	100	1	1	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-81 kg	4	LZ Multikraft Wels	Firas	Ben Saad	0	0	0	0	0	0	0	0	Galaxy Judo Tigers	Phillip	Aust	1	100	0	2	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-90 kg	5	LZ Multikraft Wels	Issa	Naschcho	0	0	0	0	0	0	2	0	Galaxy Judo Tigers	Magamed	Borchashvilli	1	1	0	0	1	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-100 kg	6	LZ Multikraft Wels	Thomas	Ecker	0	0	0	0	0	0	1	0	Galaxy Judo Tigers	Adam	Borchashvilli	1	100	0	2	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	+100 kg	7	LZ Multikraft Wels	Erik	Abramov	1	100	0	0	1	0	0	0	Galaxy Judo Tigers	Movli	Borchashvilli	0	0	0	0	0	0	1	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-60 kg	8	LZ Multikraft Wels	Alexander	Klaus-Sternwieser	0	0	0	0	0	0	0	0	Galaxy Judo Tigers	Dilshot	Khalmatov	1	100	0	2	1	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-66 kg	9	LZ Multikraft Wels	Thomas	Haminger	0	0	0	0	0	0	1	0	Galaxy Judo Tigers	David	Peritsch	1	100	1	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-73 kg	10	LZ Multikraft Wels	Alexander	Kaserer	0	0	0	0	0	0	0	0	Galaxy Judo Tigers	Denis	Vieru	1	100	1	0	1	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-81 kg	11	LZ Multikraft Wels	Firas	Ben Saad	1	100	1	0	0	0	0	0	Galaxy Judo Tigers	Phillip	Aust	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-90 kg	12	LZ Multikraft Wels	Issa	Naschcho	0	0	0	0	0	0	0	1	Galaxy Judo Tigers	Magamed	Borchashvilli	1	100	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	-100 kg	13	LZ Multikraft Wels	Thomas	Ecker	0	1	0	0	1	0	1	0	Galaxy Judo Tigers	Adam	Borchashvilli	1	100	1	1	1	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	2	+100 kg	14	LZ Multikraft Wels	Erik	Abramov	1	100	0	0	0	0	0	0	Galaxy Judo Tigers			0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-60 kg	1	JU Burgkirchen/Schwand	Pepijn	Hartgring	1	100	1	0	1	0	0	0	UJZ Mühlviertel	David	Reumüller	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
G	1	-66 kg	2	JU Burgkirchen/Schwand	David	Starkel	1	100	1	0	0	0	0	0	UJZ Mühlviertel	Nikolas	Rechberger	0	10	0	1	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}
