Playoffs	CompetitionStart	Location	Team Name 1	Team Name 2	Score 1	Score 2	Source
G	1966		ASKÖ Graz	JK Innsbruck	5	0	https://www.sn.at/archivsn?img=7fL%2FtFkQWws%2FSMqRSlpeVHx%2FNoHomkzp8atuCw0kftTe%2FlUS%2FgrLNvhlzsOpKXfcVQvygym8PJWEsEaSyB5hxu2OCmlwdWiie%2FyEk0Scbs1T4KtQlOK2RsVWGdA82dt1&id1=19661205_07#sn-archiv-7
G	1966			ATSV Linz	3	2	https://www.sn.at/archivsn?img=7fL%2FtFkQWws%2FSMqRSlpeVHx%2FNoHomkzp8atuCw0kftTe%2FlUS%2FgrLNvhlzsOpKXfcVQvygym8PJWEsEaSyB5hxu2OCmlwdWiie%2FyEk0Scbs1T4KtQlOK2RsVWGdA82dt1&id1=19661205_07#sn-archiv-7
G	1966		Wiener Verkehrsbetriebe		3	2	https://www.sn.at/archivsn?img=7fL%2FtFkQWws%2FSMqRSlpeVHx%2FNoHomkzp8atuCw0kftTe%2FlUS%2FgrLNvhlzsOpKXfcVQvygym8PJWEsEaSyB5hxu2OCmlwdWiie%2FyEk0Scbs1T4KtQlOK2RsVWGdA82dt1&id1=19661205_07#sn-archiv-7
G	1966		Wiener Verkehrsbetriebe	ATSV Linz	3	2	https://www.sn.at/archivsn?img=7fL%2FtFkQWws%2FSMqRSlpeVHx%2FNoHomkzp8atuCw0kftTe%2FlUS%2FgrLNvhlzsOpKXfcVQvygym8PJWEsEaSyB5hxu2OCmlwdWiie%2FyEk0Scbs1T4KtQlOK2RsVWGdA82dt1&id1=19661205_07#sn-archiv-7
G	1966			JK Innsbruck	4	1	https://www.sn.at/archivsn?img=7fL%2FtFkQWws%2FSMqRSlpeVHx%2FNoHomkzp8atuCw0kftTe%2FlUS%2FgrLNvhlzsOpKXfcVQvygym8PJWEsEaSyB5hxu2OCmlwdWiie%2FyEk0Scbs1T4KtQlOK2RsVWGdA82dt1&id1=19661205_07#sn-archiv-7
G	1966		ATSV Linz	JK Innsbruck	4	1	https://www.sn.at/archivsn?img=7fL%2FtFkQWws%2FSMqRSlpeVHx%2FNoHomkzp8atuCw0kftTe%2FlUS%2FgrLNvhlzsOpKXfcVQvygym8PJWEsEaSyB5hxu2OCmlwdWiie%2FyEk0Scbs1T4KtQlOK2RsVWGdA82dt1&id1=19661205_07#sn-archiv-7
G	1966		PSV Salzburg	Favoriten Wien	3	2	https://www.sn.at/archivsn?img=7fL%2FtFkQWws%2FSMqRSlpeVHx%2FNoHomkzp8atuCw0kftTe%2FlUS%2FgrLNvhlzsOpKXfcVQvygym8PJWEsEaSyB5hxu2OCmlwdWiie%2FyEk0Scbs1T4KtQlOK2RsVWGdA82dt1&id1=19661205_07#sn-archiv-7
P (Place 2/4)	1966		PSV Salzburg	Wiener Verkehrsbetriebe	4	1	https://www.sn.at/archivsn?img=7fL%2FtFkQWws%2FSMqRSlpeVHx%2FNoHomkzp8atuCw0kftTe%2FlUS%2FgrLNvhlzsOpKXfcVQvygym8PJWEsEaSyB5hxu2OCmlwdWiie%2FyEk0Scbs1T4KtQlOK2RsVWGdA82dt1&id1=19661205_07#sn-archiv-7
P (Place 3/4)	1966		Favoriten Wien	Wiener Verkehrsbetriebe	3	2	https://www.sn.at/archivsn?img=7fL%2FtFkQWws%2FSMqRSlpeVHx%2FNoHomkzp8atuCw0kftTe%2FlUS%2FgrLNvhlzsOpKXfcVQvygym8PJWEsEaSyB5hxu2OCmlwdWiie%2FyEk0Scbs1T4KtQlOK2RsVWGdA82dt1&id1=19661205_07#sn-archiv-7
P (Place 1/2)	1966-12-03		PSV Salzburg	ASKÖ Graz	4	1	https://www.sn.at/archivsn?img=7fL%2FtFkQWws%2FSMqRSlpeVHx%2FNoHomkzp8atuCw0kftTe%2FlUS%2FgrLNvhlzsOpKXfcVQvygym8PJWEsEaSyB5hxu2OCmlwdWiie%2FyEk0Scbs1T4KtQlOK2RsVWGdA82dt1&id1=19661205_07#sn-archiv-7
