Round	CompetitionStart	Location	Team Name 1	Team Name 2	Score 1 Halftime	Score 2 Halftime	Score 1	Score 2	Subscore 1	Subscore 2	Source
1	1974-01		SV Straßwalchen	JC Kufstein			13	7			{{Internetquelle |url=https://www.sn.at/archivsn?img=apIZk%2BdTMt80Bn2Nt88q3YuLbne5bnYyl2QXj%2FaesyNq2eT203vtdh1CL02rQT7r9FwrtYe%2BUFphzcXnb4EdYePwKTd3ZuV9M2nVE79CC4BP1tJILEpkWilPCZ09HU4P&id1=19740128_09&q=judo%2520staatsliga%25201974#sn-archiv-9 |titel=JUDO |abruf=2025-01-22}}
1	1974-01		WAT Wien	ASKÖ Graz			6	14			{{Internetquelle |url=https://www.sn.at/archivsn?img=apIZk%2BdTMt80Bn2Nt88q3YuLbne5bnYyl2QXj%2FaesyNq2eT203vtdh1CL02rQT7r9FwrtYe%2BUFphzcXnb4EdYePwKTd3ZuV9M2nVE79CC4BP1tJILEpkWilPCZ09HU4P&id1=19740128_09&q=judo%2520staatsliga%25201974#sn-archiv-9 |titel=JUDO |abruf=2025-01-22}}
1	1974-01		Ulmerfeld	ASKÖ Reichraming			12	8			{{Internetquelle |url=https://www.sn.at/archivsn?img=apIZk%2BdTMt80Bn2Nt88q3YuLbne5bnYyl2QXj%2FaesyNq2eT203vtdh1CL02rQT7r9FwrtYe%2BUFphzcXnb4EdYePwKTd3ZuV9M2nVE79CC4BP1tJILEpkWilPCZ09HU4P&id1=19740128_09&q=judo%2520staatsliga%25201974#sn-archiv-9 |titel=JUDO |abruf=2025-01-22}}
1	1974-02-09		Braunau	Union Graz							{{Internetquelle |url=https://www.sn.at/archivsn?img=kNS3HagKh4Yjq55EJeu65AcCrOCMqT9Dsv7BSESuBAKb7HkW7A6kyZfDGgYYySU3CoTE93VCxmbP8DpcqeTAwfueX1jRNKOirYgDMkGvo8rnpPAbb7Q0xlLvc8HmXie8&id1=19740122_09&#sn-archiv-9 |titel=Judo-Staatsliga mit Blickpunkt Europacup |abruf=2025-01-22}}
2	1974-02		ASKÖ Graz	SV Straßwalchen			8	12			{{Internetquelle |url=https://www.sn.at/archivsn?img=vO%2F6OKxSum01CEVGRk49wjHiXqC37PEBA5mzDJlQkUCgECuyt2%2BVBVmMfDqFLRW8m1PboBT%2FG7Gj58EQrZpww8lc%2B6BaxYzBGJHi6acSKsWenwnm1qsjmp%2F97wMpXddz&id1=19740225_09&#sn-archiv-9 |titel=JUDO |abruf=2025-01-22}}
3	1974-03-23	Hauptschule Straßwalchen	SV Straßwalchen	Union Graz			11	9			{{Internetquelle |url=https://www.sn.at/archivsn?img=b7JnIBcjGhxhZrgYAJrnoMDmWP6XqU92IC7YjK2SniSOrPIZmOTC0GlTk2RYA%2BoB3NfqcJ9vjcfsz6Mdo8kL91YNcqMMbBtvOxqiLIUWMaNSgZtWFWIOs763N6bbGnNj&id1=19740325_15&q=judo%2520staatsliga%25201974#sn-archiv-15|titel=JUDO |abruf=2025-01-22}}{{Internetquelle |url=https://www.sn.at/archivsn?img=eLFnwD4YRsxRBemdnIULyneabECJq9D8FKF%2BQGvVIZnwL9GKd4O%2BTHruxVCA0c%2BM0WlO4g%2Bdjumrq0qzgH8X2rZQe8RJ8Qc8E5bTr1IXC3O8VscOhbu7oa7ZBjSOXAsD&id1=19740323_11&q=judo%2520staatsliga%25201974#sn-archiv-11 |titel=Sport am Wochenende |abruf=2025-01-22}}
	1974-09-28	Wiener Stadthalle	WAT Wien	SV Straßwalchen			10	10			{{Internetquelle |url=https://www.sn.at/archivsn?img=GCYIK%2B8JnK5AoD75GDnQCROpjf24biefzT94tEBNwCn8vEBXewCtIFrvLoSSBWpSuq93z1l4XejEjz6HP5TW9kVuHUyRpZ9AIbFMfOOTXcyWNfV6%2FVVs0GkSza4meo22&id1=19740930_11&#slide11 |titel=JUDO |abruf=2025-01-22}}{{Internetquelle |url=https://www.sn.at/archivsn?img=p21%2FMEsdeKdEgrX%2BxLfBSnVRHtQ1bJu4Ov9D1dsXVdm0ixjhUwg5L%2BFyRrdWQNZ7Q%2B6C4ezHM9cVnPSTViid%2BiQa6zvfOfsOUj4h60O3cuqashwY1yDeBC37fW8O5PAB&id1=19740928_11&q=judo%2520staatsliga%25201974#sn-archiv-11 |titel=Schwimmen - Judo - Radfahren - Eishockey |abruf=2025-01-22}}
	1974-09		ASKÖ Graz	JC Kufstein				0		0	{{Internetquelle |url=https://www.sn.at/archivsn?img=3UkBUyIOPB9%2F5qBzkMSRAy1uhCmBapMeTr00JHbyGHr2qW%2BL19LJv1PFiWmHdMzy5MUjGqTYrr64EhaK8JiYRGiKqjLgAlUvb42obmwbC3n9ggCQuyG4BE%2BNSAbr6E44&id1=19740926_09#sn-archiv-9 |titel=JC Hallein tritt aus der Staatsliga aus |abruf=2025-01-22}}
	1974-09		JC Ulmerfeld	Braunau			6	14			{{Internetquelle |url=https://www.sn.at/archivsn?img=GCYIK%2B8JnK5AoD75GDnQCROpjf24biefzT94tEBNwCn8vEBXewCtIFrvLoSSBWpSuq93z1l4XejEjz6HP5TW9kVuHUyRpZ9AIbFMfOOTXcyWNfV6%2FVVs0GkSza4meo22&id1=19740930_11&#slide11 |titel=JUDO |abruf=2025-01-22}}
	1974-09		ASKÖ Reichraming	Union Graz			9	11			{{Internetquelle |url=https://www.sn.at/archivsn?img=GCYIK%2B8JnK5AoD75GDnQCROpjf24biefzT94tEBNwCn8vEBXewCtIFrvLoSSBWpSuq93z1l4XejEjz6HP5TW9kVuHUyRpZ9AIbFMfOOTXcyWNfV6%2FVVs0GkSza4meo22&id1=19740930_11&#slide11 |titel=JUDO |abruf=2025-01-22}}
	1974-11	Straßwalchen	SV Straßwalchen	Braunau			8	12			{{Internetquelle |url=https://www.sn.at/archivsn?img=2Wa1WJQOOY1kr4ngAMHzy7kex2OcCMQ5sz7Swkz1IpOk8CHeULH%2BP4zKmqkKaDgIU0hVaErrq8uv3LtoFtMQmljnoed4Uq6uvCLzeuhNqM%2FoaxV3RtVO82WAsisT1RaZ&id1=19741125_09&q=judo%2520staatsliga%25201974#sn-archiv-9 |titel=JUDO |abruf=2025-01-22}}
	1974-12	Straßwalchen	SV Straßwalchen	JC Ulmerfeld				0		0	{{Internetquelle |url=https://www.sn.at/archivsn?img=GEtcg203EK40V%2ByVggeUvSIdFyqe0kWEBc1Bv8b8mYCWVNf3jDxfC3dQiRymwu6R1TjzUrAbKEsmJULg9zGidaI%2FdWudmCy2kDwWKOsojSzA%2B34%2BR%2BzWgayybM1e27Mu&id1=19741214_11#slide11 |titel=ABGESAGT |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten  |sprache=de |abruf=2025-03-17}}
