Round	CompetitionStart	Location	Team Name 1	Team Name 2	Score 1 Halftime	Score 2 Halftime	Score 1	Score 2	Subscore 1	Subscore 2	Kampfrichter	Source
												{{Internetquelle |titel= |url=https://www.sn.at/archivsn?img=mXsPKeARuoQWTphysDWutvUkzyEiqGoAuyvIFZzJP6GW%2BkQvDE8DJq%2BWdmVSo3LS8nE0b3%2BnF%2B%2BUaAuKiZaUOSz8EE7JqhxgR90Rf8yfXVudMFC1NE3Wd98LGl0UjqcW&id1=19750403_09&q=judo%2520staatsliga#sn-archiv-9 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
												{{Internetquelle |titel= |url=https://www.sn.at/archivsn?img=P0UZf8kPVCQGc8gh9nP5b0hsbQF1kzSPDxGaIGWA8cRnENJdxZE%2FWCRa03jhswsHFA7liNMYZ8w69w%2B9iLti7fCwhDFLG1EpLbqNvtd2twpYHXfAmim1AODxS018t0YA&id1=19750405_11&q=judo%2520staatsliga#sn-archiv-11 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
												{{Internetquelle |titel= |url=https://www.sn.at/archivsn?img=mXsPKeARuoQWTphysDWutvUkzyEiqGoAuyvIFZzJP6GW%2BkQvDE8DJq%2BWdmVSo3LS8nE0b3%2BnF%2B%2BUaAuKiZaUOSz8EE7JqhxgR90Rf8yfXVudMFC1NE3Wd98LGl0UjqcW&id1=19750403_09&q=judo%2520staatsliga#sn-archiv-9 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
												{{Internetquelle |titel= |url=https://www.sn.at/archivsn?img=Zr%2FDisYdkIRtpOuBMT68FLa5ebiDCpNtek8IXejkVBLVR3enH6TgRpPSDFz676T%2Bh1i16sxS%2BOomqsY%2FvWRQP69ylI5wTqpzByrJ8Cc7CCY3OuTgrn%2FcSjDKuSqHMWST&id1=19750315_11&q=judo%2520staatsliga#sn-archiv-11 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
												{{Internetquelle |titel= |url=https://www.sn.at/archivsn?img=%2B40ub89uCVV0lSa%2BEtL%2F%2BZ2EWwtm7Rq0XBFHRKr3wskv7YQo2IdbkBvLZ%2BBt9yL%2FRl9zajfQCuIRjZL5cGOfbVmb3d01uG6GmD6yoO6dKeFVQbk%2BPvYuVElR7ELI%2Fnlu&id1=19750628_11&q=judo%2520staatsliga#sn-archiv-11 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
												{{Internetquelle |titel= |url=https://www.sn.at/archivsn?img=BorgutaiSyfdJr9WKIW2lXP9MeJqu4qmSz66U%2BuwyV7hsrVPsinI8Rn%2FRrq6edZKKooCwQw0EHkcrTLHLWK5VEwlkK2pc9I6TLNpRFipgZ2wzGYYQ89SC5HHWPRGr4p%2F&id1=19750626_11&q=judo%2520staatsliga#sn-archiv-11 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
												{{Internetquelle |titel= |url=https://www.sn.at/archivsn?img=1ye0A2sn8vJqWwsZZ335ptmH0Bxbro4iZxH%2BKLsxqq7ReJpWX9JFrqJYV6xVGj7poXd%2B%2F%2FzlmetaRgbJzbjXIJgYo3D55Rnt4jDo6SwfAq99948dHxBUvAQ3aNu15buT&id1=19750920_11&q=judo%2520staatsliga#slide11 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
	1975-01		ASKÖ Reichraming	JC Straßwalchen			12	8				{{Internetquelle |titel=PSV-Judoka ohne Reichl |url=https://www.sn.at/archivsn?img=FAqL8EpaP4VNYSaCpqk1luZbsmAkLdQkpnn0wtgyEzYFnBEXNrUCsKMVAJV70lz5m2gDlJ2czRLieS3llrMuw15FlvLxHm3vaU0aJ0GIZ5NwRQAz0va8nP8zx57sd8Xl&id1=19750125_11&q=judo%2520staatsliga#sn-archiv-11 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
	1975-01		Zoll Braunau									{{Internetquelle |titel=JUDO |url=https://www.sn.at/archivsn?img=Tq0kAsqNBAnJSsurfsjTfgyxKZtegVOz26gI%2BI95EhHzUqFB81h5yV7wJsJWkuDG9VvtDrvOSW348ELRib%2FuZY1Dih%2B7c7o%2BRbPtJpiEKV4%2B%2BODQ0ReG4EmgRGyOUShq&id1=19750127_08&q=judo%2520staatsliga#sn-archiv-8 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
	1975-02-22	Hauptschule Straßwalchen	JC Straßwalchen	JC Pöls			17	3				{{Internetquelle |titel=PSV-Heimkampf in Kufstein |url=https://www.sn.at/archivsn?img=roXWzIXWti3wChE7OsJd5rbrgm%2FL7f2ESUWLtUCoV6hMr0V6uLkxi1vq6U9qlpcjmsbGhwvT999seweRURb%2Fhrcw0izkJFmDywwDwtw5RgaBI8i%2BwFnifk8bIiiZJgRu&id1=19750220_09&q=judo%2520staatsliga#slide9 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}{{Internetquelle |titel=Sport am Wochenende |url=https://www.sn.at/archivsn?img=EmxPLSIbSha8h8FVAW%2FVCizrnLbSDij%2FAY4slKBAhNPktl56yVAOrx8F1tvKonkZCJmlcV0Wd%2FVwDc7WoJMLc8jknlHMS57YzyMR0DZ3UJ6Ln9xFwzlqK650fVnEFoFg&id1=19750222_11&q=judo%2520staatsliga#slide11 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
	1975-02		Zoll Braunau	Ulmerfeld			18	2				{{Internetquelle |titel=Judo |url=https://www.sn.at/archivsn?img=9xxfxOUTYUExxHEiY1ZFz%2B0mjy5chJTOVuDx09MgAcc06%2Bn2MwjbkrrslfCRZizXrcoU5%2FiprwnDVTEY89MVp%2FAsfWmUhzB47Nwuj32d98xpmsvmmAzSU3wgvVRiABRx&id1=19750224_14&q=SV%2520Ulmerfeld%2520judo#slide14 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
