CompetitionStart	Venue	Team Name 1	Team Name 2	Score 1	Score 2	Source
1984-11-25	Hauptschule Bürmoos	PSV Salzburg	UJZ Mühlviertel	5	2	{{Internetquelle |url=https://www.sn.at/archivsn?img=Nwp5OntGr0cdiJdarqLo0V%2FSUcOTI25dQ%2BGyAKYEDX%2Ffdw5pfK37P%2B%2FVtQXu5AVbjWm2BqhmSfcDLES2SP1CiG%2FvcFA%2BP5UPKwVt80g46qCNtQ%2BQKNDvHYNNa%2BF0pfgF&id1=19841126_10#slide10 |titel=JGV Wien wieder Meister |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1984-11-26 |sprache=de |abruf=2025-01-25}}
1984-11-25	Hauptschule Bürmoos	PSV Salzburg	JGV Wien	3	4	{{Internetquelle |url=https://www.sn.at/archivsn?img=Nwp5OntGr0cdiJdarqLo0V%2FSUcOTI25dQ%2BGyAKYEDX%2Ffdw5pfK37P%2B%2FVtQXu5AVbjWm2BqhmSfcDLES2SP1CiG%2FvcFA%2BP5UPKwVt80g46qCNtQ%2BQKNDvHYNNa%2BF0pfgF&id1=19841126_10#slide10 |titel=JGV Wien wieder Meister |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1984-11-26 |sprache=de |abruf=2025-01-25}}
1984-11-25	Hauptschule Bürmoos	PSV Salzburg	JC Kufstein	5	2	{{Internetquelle |url=https://www.sn.at/archivsn?img=Nwp5OntGr0cdiJdarqLo0V%2FSUcOTI25dQ%2BGyAKYEDX%2Ffdw5pfK37P%2B%2FVtQXu5AVbjWm2BqhmSfcDLES2SP1CiG%2FvcFA%2BP5UPKwVt80g46qCNtQ%2BQKNDvHYNNa%2BF0pfgF&id1=19841126_10#slide10 |titel=JGV Wien wieder Meister |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1984-11-26 |sprache=de |abruf=2025-01-25}}
1984-11-25	Hauptschule Bürmoos	PSV Salzburg	ASKÖ Salzburg	7	0	{{Internetquelle |url=https://www.sn.at/archivsn?img=Nwp5OntGr0cdiJdarqLo0V%2FSUcOTI25dQ%2BGyAKYEDX%2Ffdw5pfK37P%2B%2FVtQXu5AVbjWm2BqhmSfcDLES2SP1CiG%2FvcFA%2BP5UPKwVt80g46qCNtQ%2BQKNDvHYNNa%2BF0pfgF&id1=19841126_10#slide10 |titel=JGV Wien wieder Meister |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1984-11-26 |sprache=de |abruf=2025-01-25}}
1984-11-25	Hauptschule Bürmoos	ASKÖ Salzburg	JGV Wien	0	7	{{Internetquelle |url=https://www.sn.at/archivsn?img=Nwp5OntGr0cdiJdarqLo0V%2FSUcOTI25dQ%2BGyAKYEDX%2Ffdw5pfK37P%2B%2FVtQXu5AVbjWm2BqhmSfcDLES2SP1CiG%2FvcFA%2BP5UPKwVt80g46qCNtQ%2BQKNDvHYNNa%2BF0pfgF&id1=19841126_10#slide10 |titel=JGV Wien wieder Meister |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1984-11-26 |sprache=de |abruf=2025-01-25}}
1984-11-25	Hauptschule Bürmoos	ASKÖ Salzburg	ASKÖ Kufstein	4	3	{{Internetquelle |url=https://www.sn.at/archivsn?img=Nwp5OntGr0cdiJdarqLo0V%2FSUcOTI25dQ%2BGyAKYEDX%2Ffdw5pfK37P%2B%2FVtQXu5AVbjWm2BqhmSfcDLES2SP1CiG%2FvcFA%2BP5UPKwVt80g46qCNtQ%2BQKNDvHYNNa%2BF0pfgF&id1=19841126_10#slide10 |titel=JGV Wien wieder Meister |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1984-11-26 |sprache=de |abruf=2025-01-25}}
1984-11-25	Hauptschule Bürmoos	ASKÖ Salzburg	UJZ Mühlviertel	3	2	{{Internetquelle |url=https://www.sn.at/archivsn?img=Nwp5OntGr0cdiJdarqLo0V%2FSUcOTI25dQ%2BGyAKYEDX%2Ffdw5pfK37P%2B%2FVtQXu5AVbjWm2BqhmSfcDLES2SP1CiG%2FvcFA%2BP5UPKwVt80g46qCNtQ%2BQKNDvHYNNa%2BF0pfgF&id1=19841126_10#slide10 |titel=JGV Wien wieder Meister |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1984-11-26 |sprache=de |abruf=2025-01-25}}
1984-11-25	Hauptschule Bürmoos	UJZ Mühlviertel	ASKÖ Kufstein	4	3	{{Internetquelle |url=https://www.sn.at/archivsn?img=Nwp5OntGr0cdiJdarqLo0V%2FSUcOTI25dQ%2BGyAKYEDX%2Ffdw5pfK37P%2B%2FVtQXu5AVbjWm2BqhmSfcDLES2SP1CiG%2FvcFA%2BP5UPKwVt80g46qCNtQ%2BQKNDvHYNNa%2BF0pfgF&id1=19841126_10#slide10 |titel=JGV Wien wieder Meister |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1984-11-26 |sprache=de |abruf=2025-01-25}}
1984-11-25	Hauptschule Bürmoos	UJZ Mühlviertel	JGV Wien	1	6	{{Internetquelle |url=https://www.sn.at/archivsn?img=Nwp5OntGr0cdiJdarqLo0V%2FSUcOTI25dQ%2BGyAKYEDX%2Ffdw5pfK37P%2B%2FVtQXu5AVbjWm2BqhmSfcDLES2SP1CiG%2FvcFA%2BP5UPKwVt80g46qCNtQ%2BQKNDvHYNNa%2BF0pfgF&id1=19841126_10#slide10 |titel=JGV Wien wieder Meister |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1984-11-26 |sprache=de |abruf=2025-01-25}}
1984-11-25	Hauptschule Bürmoos	UJZ Mühlviertel	ASKÖ Kufstein	4	3	{{Internetquelle |url=https://www.sn.at/archivsn?img=Nwp5OntGr0cdiJdarqLo0V%2FSUcOTI25dQ%2BGyAKYEDX%2Ffdw5pfK37P%2B%2FVtQXu5AVbjWm2BqhmSfcDLES2SP1CiG%2FvcFA%2BP5UPKwVt80g46qCNtQ%2BQKNDvHYNNa%2BF0pfgF&id1=19841126_10#slide10 |titel=JGV Wien wieder Meister |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1984-11-26 |sprache=de |abruf=2025-01-25}}
