Playoffs	Round	CompetitionStart	Location	Team Name 1	Team Name 2	Score 1	Score 2	Source
G	4	1987	VS-Turnsaal, 16	JC Straßwalchen	ASKÖ Reichraming			https://www.sn.at/archivsn?img=9GEVUDTs5NiHcAvb4O9jCbAvLFaq09lzfGZNcy3aDqub5n7J%2Fs7OR2idfCrOx6QCroNS13svkofmOGreaK7N21qgdj97wvfGtmDtGZ7O1MvHGQu%2B51%2F80h10hox14%2B0e&id1=19870516_14&q=judo%2520staatsliga#slide14
		1987		SK VÖEST Linz	JC Straßwalchen	11	3	https://www.sn.at/archivsn?img=loxUbOHsZE7pl0nKeiZHbwRDBEoxSNy7GTJR7%2FV%2BkbtzGG5UNSbDGSykU0QsHC7mBHjiulIWmyeW%2F69FgcAJ2FYg6HDTUaoksrtTchUQVjBcF2PuOCeetE655py9KbLC&id1=19870525_15&q=judo%2520staatsliga#slide15
		1987		ASKÖ Reichraming	JCM Wien	8	6	https://www.sn.at/archivsn?img=loxUbOHsZE7pl0nKeiZHbwRDBEoxSNy7GTJR7%2FV%2BkbtzGG5UNSbDGSykU0QsHC7mBHjiulIWmyeW%2F69FgcAJ2FYg6HDTUaoksrtTchUQVjBcF2PuOCeetE655py9KbLC&id1=19870525_15&q=judo%2520staatsliga#slide15
		1987		UJZ Mühlviertel I	WSG Wattens	11	3	https://www.sn.at/archivsn?img=loxUbOHsZE7pl0nKeiZHbwRDBEoxSNy7GTJR7%2FV%2BkbtzGG5UNSbDGSykU0QsHC7mBHjiulIWmyeW%2F69FgcAJ2FYg6HDTUaoksrtTchUQVjBcF2PuOCeetE655py9KbLC&id1=19870525_15&q=judo%2520staatsliga#slide15
		1987		UJZ Mühlviertel II	JC Kufstein	5	9	https://www.sn.at/archivsn?img=loxUbOHsZE7pl0nKeiZHbwRDBEoxSNy7GTJR7%2FV%2BkbtzGG5UNSbDGSykU0QsHC7mBHjiulIWmyeW%2F69FgcAJ2FYg6HDTUaoksrtTchUQVjBcF2PuOCeetE655py9KbLC&id1=19870525_15&q=judo%2520staatsliga#slide15
		1987		JC Straßwalchen	JC Manner Wien			https://www.sn.at/archivsn?img=5cgPWuqYQ%2BcSBvaySoCeN22NqGpfL%2BxOl9PyBpG%2By9YtaULjZxpONmzzG2eZRd%2Fimf0bwKSW0yfBP28Z7LVtHr5L4I3fY7C8tdIbex46ofOJGPUk1jQjS95m8ZDjBSMs&id1=19870530_14&q=judo%2520staatsliga#sn-archiv-14
		1987-07-11		UJZ Mühlviertel I	JC Straßwalchen			https://www.sn.at/archivsn?img=R8QbW033Vrh3U7zRBUQq01quy2VHAjAwLo%2FEbCe88rpE29nMKcldnkxbHySa%2BepjZehejp3fNRwHAnmsBTKPRAWaH8Z4loh5Un1sUOZP4p7URa%2BluBKxxo2bzkSHVy9E&id1=19870619_14&q=judo%2520staatsliga#slide14
								https://www.sn.at/archivsn?img=tPOgeeh0uE4uaiKCvSDBcLkfl3CaXkjLHGmkcMJlZiAX0VxNNH%2B1ajbjaybWbMWKLdGLjevAa4NYfGzx%2BXhFEULzYh39fcLHztmj4RRTHwQfgf5sBn%2B%2FrGw%2FE0gjffll&id1=19870622_16#slide16
								https://www.sn.at/archivsn?img=cwmbqzuZU5G%2BsA%2BIJvj0VanhoSaJwzeUPjDvUWq1vyzTaOr3L6SAW%2FtuifC6sJA63RokIt7v86GEMmfls%2BPBx1yudIZrsIA8l7nhgBesyNiBQjTHL7qX0pZV6TPbZ1j%2B&id1=19870620_14#slide14
								https://www.sn.at/archivsn?img=R8QbW033Vrh3U7zRBUQq01quy2VHAjAwLo%2FEbCe88rpE29nMKcldnkxbHySa%2BepjZehejp3fNRwHAnmsBTKPRAWaH8Z4loh5Un1sUOZP4p7URa%2BluBKxxo2bzkSHVy9E&id1=19870619_14#slide14
								https://www.sn.at/archivsn?img=5cgPWuqYQ%2BcSBvaySoCeN22NqGpfL%2BxOl9PyBpG%2By9YtaULjZxpONmzzG2eZRd%2Fimf0bwKSW0yfBP28Z7LVtHr5L4I3fY7C8tdIbex46ofOJGPUk1jQjS95m8ZDjBSMs&id1=19870530_14#sn-archiv-14
								https://www.sn.at/archivsn?img=loxUbOHsZE7pl0nKeiZHbwRDBEoxSNy7GTJR7%2FV%2BkbtzGG5UNSbDGSykU0QsHC7mBHjiulIWmyeW%2F69FgcAJ2FYg6HDTUaoksrtTchUQVjBcF2PuOCeetE655py9KbLC&id1=19870525_15#sn-archiv-15
