Playoffs	Round	CompetitionStart	Location	Team Name 1	Team Name 2	Score 1	Score 2	Subscore 1	Subscore 2	Source
G	1	2000-04-22		WSG Swarovski Wattens	JSZ Attnang	8	6	72	55	
G	1	2000-04-22		ASV-ÖGJ Salzburg	Judo Union Raika Pinzgau	5	9	50	80	
G	1	2000-04-22		ASK Salzburg	Vienna Samurai	7	6	67	60	
G	1	2000-04-22		ESV HYPO Sanjindo	SV Raiffeisen Straßwalchen	8	6	72	55	
G	2	2000-04-29		Judo Union Raika Pinzgau	WSG Wattens	8	6	80	45	
G	2	2000-04-29		JSZ Attnang	ASV-ÖGJ Salzburg	5	9	50	90	
G	2	2000-04-29		SV Raiffeisen Straßwalchen	ASK Salzburg	11	3	88	30	
G	2	2000-04-29		Vienna Samurai	ESV HYPO Sanjindo	9	5	83	50	
G	3	2000-06-17		ASK Salzburg	JSZ Attnang	4	10	40	95	
G	3	2000-06-17		ESV HYPO Sanjindo	Judo Union Raika Pinzgau	3	11	27	105	
G	3	2000-06-17		WSG Wattens	Vienna Samurai	7	7	58	62	
G	3	2000-06-17		ASV-ÖGJ Salzburg	SV Raiffeisen Straßwalchen	0	7	0	70	
G	4	2000-06-24		SV Raiffeisen Straßwalchen	WSG Wattens	10	3	100	30	
G	4	2000-06-24		Vienna Samurai	ASV-ÖGJ Salzburg	10	4	78	40	{{Internetquelle |url=https://web.archive.org/web/20030929182400/http://asn.or.at/content/showarticle.asp?aid=11339 |titel=JGV Colop Samurai ist Meister |datum=2000-06-26 |sprache=de |abruf=2024-12-06 |zitat=Die Wiener Judoka sind die besten im Land. Präziser jene vom Klub Samurai. Dieser kann nämlich über den Titel bei den Damen jubeln. Während die Herren-Abteilung in der Staatsliga einen 10:4-Erfolg über ASV Salzburg feierte, krönten sich die Frauen von JGV Colop Samurai im Budocenter durch einen finalen 4:3-Sieg über ASVÖ Salzburg erstmals nach sieben Jahren wieder zum Meister.}}
G	4	2000-06-24		Judo Union Raika Pinzgau	ASK Salzburg	10	4	100	40	
G	4	2000-06-24		JSZ Attnang	ESV HYPO Sanjindo	5	8	42	75	
G	5	2000-07-01		Judo Union Raika Pinzgau	JSZ Attnang	7	0	70	0	
G	5	2000-07-01		ASV-ÖGJ Salzburg	WSG Wattens	9	5	90	50	
G	5	2000-07-01		SV Raiffeisen Straßwalchen	Vienna Samurai	10	4	100	34	
G	5	2000-07-01		ESV HYPO Sanjindo	ASK Salzburg	8	5	80	37	
G	6	2000-10-07		Vienna Samurai	Judo Union Raika Pinzgau	4	10	37	100	
G	6	2000-10-07		ASK Salzburg	ASV-ÖGJ Salzburg	7	7	58	65	
G	6	2000-10-07		JSZ Attnang	Raiffeisen Straßwalchen	4	10	40	92	
G	6	2000-10-07		WSG Wattens	ESV HYPO Sanjindo	4	9	25	87	
G	7	2000-11-04		Vienna Samurai	JSZ Attnang	9	5	83	38	
G	7	2000-11-04		ASK Salzburg	WSG Wattens	6	8	48	73	
G	7	2000-11-04		SV Raiffeisen Straßwalchen	Judo Union Raika Pinzgau	7	6	70	55	
G	7	2000-11-04		ESV HYPO Sanjindo	ASV-ÖGJ Salzburg	10	4	93	35	
P (Place 2/4 1 1. Durchgang)	1	2000-11-18		SV Raiffeisen Straßwalchen	COLOP Samurai Vienna	7	0	70	0	
P (Place 2/4 2 1. Durchgang)	1	2000-11-18		Judo Union Raika Pinzgau	ESV HYPO Sanjindo	5	9	47	90	
P (Place 2/4 1 2. Durchgang)	2	2000-11-25		COLOP Samurai Vienna	SV Raiffeisen Straßwalchen	0	7	0	70	
P (Place 2/4 2 2. Durchgang)	2	2000-11-25		ESV HYPO Sanjindo	Judo Union Raika Pinzgau	4	10			
P (Place 1/2 1. Durchgang)	3	2000-12-02		SV Raiffeisen Straßwalchen	Judo Union Raika Pinzgau	8	6	65	50	
P (Place 1/2 2. Durchgang)	4	2000-12-09		Judo Union Raika Pinzgau	SV Raiffeisen Straßwalchen	3	11	23	88	
P (Place 1/2)		2000-06-24	Matsumae Budocenter	Samurai Wien	ASVÖ Salzburg	4	3			{{Internetquelle |url=https://web.archive.org/web/20030929182400/http://asn.or.at/content/showarticle.asp?aid=11339 |titel=JGV Colop Samurai ist Meister |datum=2000-06-26 |sprache=de |abruf=2024-12-06 |zitat=Die Wiener Judoka sind die besten im Land. Präziser jene vom Klub Samurai. Dieser kann nämlich über den Titel bei den Damen jubeln. Während die Herren-Abteilung in der Staatsliga einen 10:4-Erfolg über ASV Salzburg feierte, krönten sich die Frauen von JGV Colop Samurai im Budocenter durch einen finalen 4:3-Sieg über ASVÖ Salzburg erstmals nach sieben Jahren wieder zum Meister.}}
