Playoffs	Round	CompetitionStart	Location	Plz	City	Address	Venue	Team Name 1	Team Name 2	Points 1	Points 2	Score 1	Score 2	Subscore 1	Subscore 2	Source
P (Place 1/2 1. Durchgang)		2001			Straßwalchen			SV Straßwalchen	Sanjindo Bischofshofen			9	5			{{Internetquelle |url=https://www.derstandard.at/story/808948/judo-strasswalchen-verteidigt-meistertitel |titel=Judo: Straßwalchen verteidigt Meistertitel |sprache=de-AT |abruf=2026-01-05}}
P (Place 1/2 2. Durchgang)		2001-12-14			Bischofshofen			Sanjindo Bischofshofen	SV Straßwalchen			7	7			{{Internetquelle |url=https://www.derstandard.at/story/808948/judo-strasswalchen-verteidigt-meistertitel |titel=Judo: Straßwalchen verteidigt Meistertitel |sprache=de-AT |abruf=2026-01-05}}
G	1	14. Juni 2001						Judoclub Stockerau	UNION Sparkasse Leibnitz			1	13	10	130	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |titel=Austrian Judo Association - Österreichischer Judo Verband: Staatsliga 2000 |archiv-url=https://web.archive.org/web/20020819101807/http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |archiv-datum=2002-08-19 |abruf=2026-01-05}}
G	1	14. Juni 2001						UJZ RAIKA Mühlviertel	JZ Sparkasse Innsbruck			5	9	47	82	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |titel=Austrian Judo Association - Österreichischer Judo Verband: Staatsliga 2000 |archiv-url=https://web.archive.org/web/20020819101807/http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |archiv-datum=2002-08-19 |abruf=2026-01-05}}
G	1	14. Juni 2001						JZ RAPSO Straßham	LZ Multikraft Wels			7	6	70	60	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |titel=Austrian Judo Association - Österreichischer Judo Verband: Staatsliga 2000 |archiv-url=https://web.archive.org/web/20020819101807/http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |archiv-datum=2002-08-19 |abruf=2026-01-05}}
G	2	30. Juni 2001						UNION Sparkasse Leibnitz	UJZ RAIKA Mühlviertel			5	9	50	63	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |titel=Austrian Judo Association - Österreichischer Judo Verband: Staatsliga 2000 |archiv-url=https://web.archive.org/web/20020819101807/http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |archiv-datum=2002-08-19 |abruf=2026-01-05}}
G	2	30. Juni 2001						JZ Sparkasse Innsbruck	Judoclub Stockerau			14		140	0	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |titel=Austrian Judo Association - Österreichischer Judo Verband: Staatsliga 2000 |archiv-url=https://web.archive.org/web/20020819101807/http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |archiv-datum=2002-08-19 |abruf=2026-01-05}}
G	2	30. Juni 2001						JSZ Schartner Bombe Attnang	JZ RAPSO Straßham			8	5	73	47	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |titel=Austrian Judo Association - Österreichischer Judo Verband: Staatsliga 2000 |archiv-url=https://web.archive.org/web/20020819101807/http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |archiv-datum=2002-08-19 |abruf=2026-01-05}}
G	3	22. September 2001						Judoclub Stockerau	JSZ Schartner Bombe Attnang			2	12	20	120	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |titel=Austrian Judo Association - Österreichischer Judo Verband: Staatsliga 2000 |archiv-url=https://web.archive.org/web/20020819101807/http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |archiv-datum=2002-08-19 |abruf=2026-01-05}}
G	3	22. September 2001						UJZ RAIKA Mühlviertel	LZ Multikraft Wels			11	2	110	27	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |titel=Austrian Judo Association - Österreichischer Judo Verband: Staatsliga 2000 |archiv-url=https://web.archive.org/web/20020819101807/http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |archiv-datum=2002-08-19 |abruf=2026-01-05}}
G	3	22. September 2001						JZ RAPSO Straßham	JZ Sparkasse Innsbruck			5	8	50	72	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |titel=Austrian Judo Association - Österreichischer Judo Verband: Staatsliga 2000 |archiv-url=https://web.archive.org/web/20020819101807/http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |archiv-datum=2002-08-19 |abruf=2026-01-05}}
G	4	29. September 2001						UNION Sparaksse Leibnitz	JZ RAPSO Straßham			8	6	70	60	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |titel=Austrian Judo Association - Österreichischer Judo Verband: Staatsliga 2000 |archiv-url=https://web.archive.org/web/20020819101807/http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |archiv-datum=2002-08-19 |abruf=2026-01-05}}
G	4	29. September 2001						JSZ Schartner Bombe Attnang	UJZ RAIKA Mühlviertel			6	8	57	75	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |titel=Austrian Judo Association - Österreichischer Judo Verband: Staatsliga 2000 |archiv-url=https://web.archive.org/web/20020819101807/http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |archiv-datum=2002-08-19 |abruf=2026-01-05}}
G	4	29. September 2001						LZ Multikraft Wels	Judoclub Stockerau			11	3	110	30	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |titel=Austrian Judo Association - Österreichischer Judo Verband: Staatsliga 2000 |archiv-url=https://web.archive.org/web/20020819101807/http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |archiv-datum=2002-08-19 |abruf=2026-01-05}}
G	5	13. Oktober 2001						Judoclub Stockerau	UJZ RAIKA Mühlviertel			3	11	30	110	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |titel=Austrian Judo Association - Österreichischer Judo Verband: Staatsliga 2000 |archiv-url=https://web.archive.org/web/20020819101807/http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |archiv-datum=2002-08-19 |abruf=2026-01-05}}
G	5	13. Oktober 2001						UNION Sparkasse Leibnitz	JZ Sparakasse Innsbruck			2	11	20	98	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |titel=Austrian Judo Association - Österreichischer Judo Verband: Staatsliga 2000 |archiv-url=https://web.archive.org/web/20020819101807/http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |archiv-datum=2002-08-19 |abruf=2026-01-05}}
G	5	13. Oktober 2001						JSZ Schartner Bombe Attnang	LZ Multikraft Wels			7	7	65	62	{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |titel=Austrian Judo Association - Österreichischer Judo Verband: Staatsliga 2000 |archiv-url=https://web.archive.org/web/20020819101807/http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |archiv-datum=2002-08-19 |abruf=2026-01-05}}
