Playoffs	Round	CompetitionStart	CompetitionEnd	Location	Team Name 1	Team Name 2	Score 1	Score 2	Subscore 1	Subscore 2	Source
G	1	2004-04-23	2004-04-24		Judo Union Raika Pinzgau	WSG Swarovki Judo Wattens	9	5	82	42	{{Internetquelle |url=https://www.judowattens.at/landesliga/Bundesliga_Tabelle_2004.htm |titel=ÖJV - Judo - Bundesliga 2004 |abruf=2026-01-04}}
G	1	2004-04-23	2004-04-24		JZ RAPSO Straßham	Judo Union RAIKA Flachgau	4	9	25	84	{{Internetquelle |url=https://www.judowattens.at/landesliga/Bundesliga_Tabelle_2004.htm |titel=ÖJV - Judo - Bundesliga 2004 |abruf=2026-01-04}}
G	1	2004-04-23	2004-04-24		ULZ COVERIT Vorarlberg	UJZ RAIKA Mühlviertel	10	4	85	37	{{Internetquelle |url=https://www.judowattens.at/landesliga/Bundesliga_Tabelle_2004.htm |titel=ÖJV - Judo - Bundesliga 2004 |abruf=2026-01-04}}
G	1	2004-04-23	2004-04-24		JC Wimpassing Sparkasse	JZ Sparkasse Innsbruck	6	7	52	53	{{Internetquelle |url=https://www.judowattens.at/landesliga/Bundesliga_Tabelle_2004.htm |titel=ÖJV - Judo - Bundesliga 2004 |abruf=2026-01-04}}
G	2	2004-05-07	2004-05-08		Judo Union RAIKA Flachgau	Judo Union Raika Pinzgau	5	9	45	83	{{Internetquelle |url=https://www.judowattens.at/landesliga/Bundesliga_Tabelle_2004.htm |titel=ÖJV - Judo - Bundesliga 2004 |abruf=2026-01-04}}
G	2	2004-05-07	2004-05-08		WSG Swarovki Judo Wattens	JZ RAPSO Straßham	8	6	72	60	{{Internetquelle |url=https://www.judowattens.at/landesliga/Bundesliga_Tabelle_2004.htm |titel=ÖJV - Judo - Bundesliga 2004 |abruf=2026-01-04}}
G	2	2004-05-07	2004-05-08		UJZ RAIKA Mühlviertel	JC Wimpassing Sparkasse	6	8	55	72	{{Internetquelle |url=https://www.judowattens.at/landesliga/Bundesliga_Tabelle_2004.htm |titel=ÖJV - Judo - Bundesliga 2004 |abruf=2026-01-04}}
G	2	2004-05-07	2004-05-08		JZ Sparkasse Innsbruck	ULZ COVERIT Vorarlberg	7	7	67	64	{{Internetquelle |url=https://www.judowattens.at/landesliga/Bundesliga_Tabelle_2004.htm |titel=ÖJV - Judo - Bundesliga 2004 |abruf=2026-01-04}}
G	3	2004-06-11	2004-06-12		Judo Union Raika Pinzgau	UJZ RAIKA Mühlviertel	4	10	40	92	{{Internetquelle |url=https://www.judowattens.at/landesliga/Bundesliga_Tabelle_2004.htm |titel=ÖJV - Judo - Bundesliga 2004 |abruf=2026-01-04}}
G	3	2004-06-11	2004-06-12		JZ RAPSO Straßham	JZ Sparkasse Innsbruck	4	10	32	80	{{Internetquelle |url=https://www.judowattens.at/landesliga/Bundesliga_Tabelle_2004.htm |titel=ÖJV - Judo - Bundesliga 2004 |abruf=2026-01-04}}
G	3	2004-06-11	2004-06-12		ULZ COVERIT Vorarlberg	WSG Swarovki Judo Wattens	8	6	74	60	{{Internetquelle |url=https://www.judowattens.at/landesliga/Bundesliga_Tabelle_2004.htm |titel=ÖJV - Judo - Bundesliga 2004 |abruf=2026-01-04}}
G	3	2004-06-11	2004-06-12		JC Wimpassing Sparkasse	Judo Union RAIKA Flachgau	5	9	50	52	{{Internetquelle |url=https://www.judowattens.at/landesliga/Bundesliga_Tabelle_2004.htm |titel=ÖJV - Judo - Bundesliga 2004 |abruf=2026-01-04}}
G	4	2004-09-17	2004-09-18		JZ Sparkasse Innsbruck	Judo Union Raika Pinzgau	5	9	40	75	{{Internetquelle |url=https://www.judowattens.at/landesliga/Bundesliga_Tabelle_2004.htm |titel=ÖJV - Judo - Bundesliga 2004 |abruf=2026-01-04}}
G	4	2004-09-17	2004-09-18		Judo Union RAIKA Flachgau	ULZ COVERIT Vorarlberg	8	6	77	55	{{Internetquelle |url=https://www.judowattens.at/landesliga/Bundesliga_Tabelle_2004.htm |titel=ÖJV - Judo - Bundesliga 2004 |abruf=2026-01-04}}
G	4	2004-09-17	2004-09-18		UJZ RAIKA Mühlviertel	JZ RAPSO Straßham	9	4	77	32	{{Internetquelle |url=https://www.judowattens.at/landesliga/Bundesliga_Tabelle_2004.htm |titel=ÖJV - Judo - Bundesliga 2004 |abruf=2026-01-04}}
G	4	2004-09-17	2004-09-18		WSG Swarovki Judo Wattens	JC Wimpassing Sparkasse	8	5	58	47	{{Internetquelle |url=https://www.judowattens.at/landesliga/Bundesliga_Tabelle_2004.htm |titel=ÖJV - Judo - Bundesliga 2004 |abruf=2026-01-04}}
G	5	2004-09-24	2004-09-25		Judo Union Raika Pinzgau	JZ RAPSO Straßham	10	4	89	34	{{Internetquelle |url=https://www.judowattens.at/landesliga/Bundesliga_Tabelle_2004.htm |titel=ÖJV - Judo - Bundesliga 2004 |abruf=2026-01-04}}
G	5	2004-09-24	2004-09-25		ULZ COVERIT Vorarlberg	JC Wimpassing Sparkasse	8	6	72	60	{{Internetquelle |url=https://www.judowattens.at/landesliga/Bundesliga_Tabelle_2004.htm |titel=ÖJV - Judo - Bundesliga 2004 |abruf=2026-01-04}}
G	5	2004-09-24	2004-09-25		WSG Swarovki Judo Wattens	Judo Union RAIKA Flachgau	4	10	32	93	{{Internetquelle |url=https://www.judowattens.at/landesliga/Bundesliga_Tabelle_2004.htm |titel=ÖJV - Judo - Bundesliga 2004 |abruf=2026-01-04}}
G	5	2004-09-24	2004-09-25		UJZ RAIKA Mühlviertel	JZ Sparkasse Innsbruck	6	7	50	70	{{Internetquelle |url=https://www.judowattens.at/landesliga/Bundesliga_Tabelle_2004.htm |titel=ÖJV - Judo - Bundesliga 2004 |abruf=2026-01-04}}
G	6	2004-10-08	2004-10-09		JZ RAPSO Straßham	ULZ COVERIT Vorarlberg	5	9	50	82	{{Internetquelle |url=https://www.judowattens.at/landesliga/Bundesliga_Tabelle_2004.htm |titel=ÖJV - Judo - Bundesliga 2004 |abruf=2026-01-04}}
G	6	2004-10-08	2004-10-09		JC Wimpassing Sparkasse	Judo Union Raika Pinzgau	7	7	67	70	{{Internetquelle |url=https://www.judowattens.at/landesliga/Bundesliga_Tabelle_2004.htm |titel=ÖJV - Judo - Bundesliga 2004 |abruf=2026-01-04}}
G	6	2004-10-08	2004-10-09		Judo Union RAIKA Flachgau	UJZ RAIKA Mühlviertel	9	3	65	27	{{Internetquelle |url=https://www.judowattens.at/landesliga/Bundesliga_Tabelle_2004.htm |titel=ÖJV - Judo - Bundesliga 2004 |abruf=2026-01-04}}
G	6	2004-10-08	2004-10-09		JZ Sparkasse Innsbruck	WSG Swarovki Judo Wattens	8	5	67	35	{{Internetquelle |url=https://www.judowattens.at/landesliga/Bundesliga_Tabelle_2004.htm |titel=ÖJV - Judo - Bundesliga 2004 |abruf=2026-01-04}}
G	7	2004-10-22	2004-10-23		Judo Union Raika Pinzgau	ULZ COVERIT Vorarlberg	12	2	120	20	{{Internetquelle |url=https://www.judowattens.at/landesliga/Bundesliga_Tabelle_2004.htm |titel=ÖJV - Judo - Bundesliga 2004 |abruf=2026-01-04}}
G	7	2004-10-22	2004-10-23		JZ RAPSO Straßham	JC Wimpassing Sparkasse	4	12	40	100	{{Internetquelle |url=https://www.judowattens.at/landesliga/Bundesliga_Tabelle_2004.htm |titel=ÖJV - Judo - Bundesliga 2004 |abruf=2026-01-04}}
G	7	2004-10-22	2004-10-23		WSG Swarovki Judo Wattens	UJZ RAIKA Mühlviertel	6	5	55	50	{{Internetquelle |url=https://www.judowattens.at/landesliga/Bundesliga_Tabelle_2004.htm |titel=ÖJV - Judo - Bundesliga 2004 |abruf=2026-01-04}}
G	7	2004-10-22	2004-10-23		Judo Union RAIKA Flachgau	JZ Sparkasse Innsbruck	11	3	107	30	{{Internetquelle |url=https://www.judowattens.at/landesliga/Bundesliga_Tabelle_2004.htm |titel=ÖJV - Judo - Bundesliga 2004 |abruf=2026-01-04}}
P (Place 2/4) 1	8	2004-10-29			Judo Union RAIKA Flachgau	JZ Sparkasse Innsbruck	3	3	18	25	{{Internetquelle |url=https://www.judowattens.at/landesliga/Bundesliga_Tabelle_2004.htm |titel=ÖJV - Judo - Bundesliga 2004 |abruf=2026-01-04}}
P (Place 2/4) 2	8	2004-10-29			Judo Union Raika Pinzgau	ULZ COVERIT Vorarlberg	5	2	50	20	{{Internetquelle |url=https://www.judowattens.at/landesliga/Bundesliga_Tabelle_2004.htm |titel=ÖJV - Judo - Bundesliga 2004 |abruf=2026-01-04}}
P (Place 1/2)	9	2004-10-29			JZ Sparkasse Innsbruck	Judo Union Raika Pinzgau	2	3	17	25	{{Internetquelle |url=https://www.judowattens.at/landesliga/Bundesliga_Tabelle_2004.htm |titel=ÖJV - Judo - Bundesliga 2004 |abruf=2026-01-04}}
		2004-12		Wien							{{Internetquelle |url=https://web.archive.org/web/20080919112315if_/http://www.oejv.com/modules.php?name=News&new_topic=0&pagenum=43 |titel=Österreichischer Judo Verband: Austrian Judo Association |sprache=de |abruf=2024-12-03 |kommentar=COLOP Samurai zum zweiten Mal in Folge Meister; Im Rahmen des Weihnachtsturnieres des JLV-Wien wurde auch die Österreichische Meisterschaft für Frauen Mannschaften ausgetragen.}}
