Round	Playoffs	Team Name 1	Score 1	Subscore 1	Team Name 2	Score 2	Subscore 2	League	Season	CompetitionStart	Time	Location	Plz	City	Address	Venue	Source	Points 1	Points 2	Score 1 Halftime	Score 2 Halftime
1	G	Judo Union Raika Pinzgau	5	50	Judo Union Raiffeisen Flachgau 1	9	79	Erste Judo-Bundesliga	2011	2011-03-04	20:00	Sporthalle Hauptschule Rauris @ 5661 Rauris, Schulweg 3	5661	Rauris	Schulweg 3	Sporthalle Hauptschule Rauris	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20111014052623/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2011-10-14 |abruf=2026-01-04}}				
1	G	PSV Salzburg - Judo	9	85	Judoclub Vienna Samurai	5	47	Erste Judo-Bundesliga	2011	2011-03-05	17:00	PSV Sportzentrum @ 5020 Salzburg, Frohnburgweg	5020	Salzburg		PSV Sportzentrum	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20111014052623/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2011-10-14 |abruf=2026-01-04}}				
1	G	SU Noricum Raiffeisen Leibnitz 1	7	65	WSG Swarovski Wattens	6	55	Erste Judo-Bundesliga	2011	2011-03-04	20:00	Sporthalle BRG Leibnitz @ 8430 Leibnitz, Wagnastrasse 7	8430	Leibnitz	Wagnastrasse 7	Sporthalle BRG Leibnitz	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20111014052623/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2011-10-14 |abruf=2026-01-04}}				
1	G	LZ Multikraft Wels	0	0	Volksbank Galaxy Judo Tigers	10	95	Erste Judo-Bundesliga	2011	2011-03-05	20:00	Budokan Wels @ 4600 Wels, Pulverturmstraß 5	4600	Wels	Pulverturmstraß 5	Budokan Wels	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20111014052623/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2011-10-14 |abruf=2026-01-04}}				
2	G	Judoclub Vienna Samurai	4	35	Judo Union Raika Pinzgau	8	75	Erste Judo-Bundesliga	2011	2011-03-19	20:00	MAXX Sportcenter Badmintonhalle @ 1210 Wien, Jedlersdorfer Straße 94	1210	Wien	Jedlersdorfer Straße 94	MAXX Sportcenter Badmintonhalle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20111014052623/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2011-10-14 |abruf=2026-01-04}}				
2	G	Judo Union Raiffeisen Flachgau 1	14	127	LZ Multikraft Wels	0	0	Erste Judo-Bundesliga	2011	2011-03-19	20:00	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20111014052623/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2011-10-14 |abruf=2026-01-04}}				
2	G	Volksbank Galaxy Judo Tigers	9	84	PSV Salzburg - Judo	3	30	Erste Judo-Bundesliga	2011	2011-03-19	18:00	Judoakademie Galaxy Tigers @ 2380 Perchtoldsdorf, Brunnerfeldstrasse 65	2380	Perchtoldsdorf	Brunnerfeldstrasse 65	Judoakademie Galaxy Tigers	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20111014052623/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2011-10-14 |abruf=2026-01-04}}				
2	G	WSG Swarovski Wattens	2	20	UJZ Mühlviertel 1	9	77	Erste Judo-Bundesliga	2011	2011-03-18	20:00	Sporthalle Wattens @ 6112 Wattens, Egger-Lienz-Strasse 9	6112	Wattens	Egger-Lienz-Strasse 9	Sporthalle Wattens	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20111014052623/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2011-10-14 |abruf=2026-01-04}}				
3	G	Judo Union Raika Pinzgau	7	67	LZ Multikraft Wels	7	60	Erste Judo-Bundesliga	2011	2011-05-06	20:00	Mehrzweckhalle VS Saalbach @ 5753 Saalbach, Schulstraße 238	5753	Saalbach	Schulstraße 238	Mehrzweckhalle VS Saalbach	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20111014052623/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2011-10-14 |abruf=2026-01-04}}				
3	G	PSV Salzburg - Judo	6	52	Judo Union Raiffeisen Flachgau 1	7	70	Erste Judo-Bundesliga	2011	2011-05-07	17:00	PSV Sportzentrum @ 5020 Salzburg, Frohnburgweg	5020	Salzburg		PSV Sportzentrum	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20111014052623/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2011-10-14 |abruf=2026-01-04}}				
