Round	Playoffs	Team Name 1	Score 1	Subscore 1	Team Name 2	Score 2	Subscore 2	League	Season	CompetitionStart	Time	Location	Plz	City	Address	Venue	Source
10	P (Place 2/4) 1	Volksbank Galaxy Judo Tigers	7	60	Judoclub Cafe+Co Vienna Samurai	4	35	Final4 Erste Judo-Bundesliga	2012	2012-11-24	15:00	Freizeitzentrum Siegfried-Ludwig Halle @ 2830 Perchtoldsdorf	2830	Perchtoldsdorf		Freizeitzentrum Siegfried-Ludwig Halle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
10	P (Place 2/4) 2	UJZ Mühlviertel 1	5	35	Judo Union Raiffeisen Flachgau 1	6	47	Final4 Erste Judo-Bundesliga	2012	2012-11-24	15:00	Freizeitzentrum Siegfried-Ludwig Halle @ 2830 Perchtoldsdorf	2830	Perchtoldsdorf		Freizeitzentrum Siegfried-Ludwig Halle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
11	P (Place 1/2)	Volksbank Galaxy Judo Tigers	6	55	Judo Union Raiffeisen Flachgau 1	7	49	Final4 Erste Judo-Bundesliga	2012	2012-11-24	19:15	Freizeitzentrum Siegfried-Ludwig Halle @ 2830 Perchtoldsdorf	2830	Perchtoldsdorf		Freizeitzentrum Siegfried-Ludwig Halle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
1	G	Judo Union Raiffeisen Flachgau 1	4	35	UJZ Mühlviertel 1	7	67	Erste Judo-Bundesliga	2012	2012-03-17	19:30	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
1	G	Bulldogs Vöcklabruck	7	65	WSG Swarovski Wattens	5	39	Erste Judo-Bundesliga	2012	2012-03-17	19:00	Bezirkssporthalle Vöcklabruck @ 4840 Vöcklabruck, Bahnhofstraße 44	4840	Vöcklabruck	Bahnhofstraße 44	Bezirkssporthalle Vöcklabruck	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
1	G	Volksbank Galaxy Judo Tigers	9	72	SU Noricum Raiffeisen Leibnitz 1	4	40	Erste Judo-Bundesliga	2012	2012-03-16	20:00	Dojo Galaxytigers @ 2380 Perchtoldsdorf, Brunnerfeldstraße 65	2380	Perchtoldsdorf	Brunnerfeldstraße 65	Dojo Galaxytigers	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
1	G	PSV Salzburg - Judo	2	20	Judo Union Raika Pinzgau	12	117	Erste Judo-Bundesliga	2012	2012-03-17	17:00	PSV Sportzentrum @ 5020 Salzburg, Frohnburgweg?	5020	Salzburg		PSV Sportzentrum	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
2	G	SU Noricum Raiffeisen Leibnitz 1	7	65	Bulldogs Vöcklabruck	6	60	Erste Judo-Bundesliga	2012	2012-03-23	20:00	Sporthalle Leibnitz @ 8430 Leibnitz, Wagnastrasse 7	8430	Leibnitz	Wagnastrasse 7	Sporthalle Leibnitz	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
2	G	WSG Swarovski Wattens	2	15	Volksbank Galaxy Judo Tigers	11	100	Erste Judo-Bundesliga	2012	2012-03-23	20:00	Sporthalle Wattens @ 6112 Wattens, Egger-Lienz-Strasse 9	6112	Wattens	Egger-Lienz-Strasse 9	Sporthalle Wattens	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
2	G	UJZ Mühlviertel 1	14	129	PSV Salzburg - Judo	0	0	Erste Judo-Bundesliga	2012	2012-03-24	19:30	SHS Niederwaldkirchen @ 4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	SHS Niederwaldkirchen	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
