Round	Playoffs	Team Name 1	Score 1	Subscore 1	Team Name 2	Score 2	Subscore 2	League	Season	CompetitionStart	Time	Source	Team Organization 1	Team Organization 2	WeightClass00	WeightClass01	WeightClass02	WeightClass03	WeightClass04	WeightClass05	WeightClass06	WeightClass10	WeightClass11	WeightClass12	WeightClass13	WeightClass14	WeightClass15	WeightClass16	Location	Plz	City	Address	Venue	League
10	P	Volksbank Galaxy Judo Tigers	13	112	SU Noricum Raiffeisenbank Leibnitz Judo	1	10	Final4 1. Judo Bundesliga Männer	2014	2014-11-22	14:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Galaxy Judo Tigers	SU RB Leibnitz	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Siegfried-Ludwig-Halle @ 2380 Perchtoldsdorf, Plättenstraße 2	2380	Perchtoldsdorf	Plättenstraße 2	Siegfried-Ludwig-Halle	Final4 1. Judo Bundesliga Männer
10	P	Judo Union Raika Pinzgau	3	30	Judo Union Raiffeisen Flachgau	11	110	Final4 1. Judo Bundesliga Männer	2014	2014-11-22	14:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Pinzgau	JU Flachgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Siegfried-Ludwig-Halle @ 2380 Perchtoldsdorf, Plättenstraße 2	2380	Perchtoldsdorf	Plättenstraße 2	Siegfried-Ludwig-Halle	Final4 1. Judo Bundesliga Männer
11	P	Volksbank Galaxy Judo Tigers	9	81	Judo Union Raiffeisen Flachgau	5	27	Final4 1. Judo Bundesliga Männer	2014	2014-11-22	20:15:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Galaxy Judo Tigers	JU Flachgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Siegfried-Ludwig-Halle @ 2380 Perchtoldsdorf, Plättenstraße 2	2380	Perchtoldsdorf	Plättenstraße 2	Siegfried-Ludwig-Halle	Final4 1. Judo Bundesliga Männer
1	G	Judo Union Raiffeisen Flachgau	7	70	Judo Union Raika Pinzgau	7	64	1. Judo Bundesliga Männer	2014	2014-03-21	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Flachgau	JU Pinzgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	1. Judo Bundesliga Männer
1	G	Volksbank Galaxy Judo Tigers	14	126	Judoteam SHIAI-DO Union Thermenregion 1	0	0	1. Judo Bundesliga Männer	2014	2014-03-21	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Galaxy Judo Tigers	Judoteam SHIAI DO	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Judoakademie Galaxy Tigers @ 2380 Perchtoldsdorf, Brunnerfeldstrasse 65	2380	Perchtoldsdorf	Brunnerfeldstrasse 65	Judoakademie Galaxy Tigers	1. Judo Bundesliga Männer
1	G	Multikraft Wels	6	60	SU Noricum Raiffeisenbank Leibnitz Judo	8	75	1. Judo Bundesliga Männer	2014	2014-03-22	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	LZ Multikraft Wels	SU RB Leibnitz	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Budokan Wels @ 4600 Wels, Pulverturmstraße 5	4600	Wels	Pulverturmstraße 5	Budokan Wels	1. Judo Bundesliga Männer
1	G	cafe+co Vienna Samurai 1	7	70	PSV Salzburg	7	70	1. Judo Bundesliga Männer	2014	2014-03-22	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Vienna Samurai	PSV Salzburg - Judo	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Kurt Kucerahalle @ 1100 Wien, Jura Soyfergasse 3	1100	Wien	Jura Soyfergasse 3	Kurt Kucerahalle	1. Judo Bundesliga Männer
2	G	Judo Union Raika Pinzgau	8	67	cafe+co Vienna Samurai 1	6	48	1. Judo Bundesliga Männer	2014	2014-04-11	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Pinzgau	Vienna Samurai	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sporthalle Hauptschule Rauris @ 5661 Rauris, Schulweg 3	5661	Rauris	Schulweg 3	Sporthalle Hauptschule Rauris	1. Judo Bundesliga Männer
2	G	PSV Salzburg	5	50	Volksbank Galaxy Judo Tigers	9	90	1. Judo Bundesliga Männer	2014	2014-04-12	17:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	PSV Salzburg - Judo	Galaxy Judo Tigers	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	PSV Sportzentrum @ 5020 Salzburg, Frohnburgweg 5	5020	Salzburg	Frohnburgweg 5	PSV Sportzentrum	1. Judo Bundesliga Männer
2	G	UJZ Mühlviertel 1	6	48	Multikraft Wels	8	77	1. Judo Bundesliga Männer	2014	2014-04-12	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	UJZ Mühlviertel	LZ Multikraft Wels	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Bezirkssporthalle Rohrbach @ 4150 Rohrbach, Hopfengasse 22	4150	Rohrbach	Hopfengasse 22	Bezirkssporthalle Rohrbach	1. Judo Bundesliga Männer
