Round	Playoffs	Team Name 1	Score 1	Subscore 1	Team Name 2	Score 2	Subscore 2	League	Season	CompetitionStart	Time	Source	Team Organization 1	Team Organization 2	WeightClass00	WeightClass01	WeightClass02	WeightClass03	WeightClass04	WeightClass05	WeightClass06	WeightClass10	WeightClass11	WeightClass12	WeightClass13	WeightClass14	WeightClass15	WeightClass16	Location	Plz	City	Address	Venue	League	Broadcaster
8	P (Place 2/4) 2	LZ Multikraft Wels	6	41	JC Wimpassing/Lassee	6	50	Final4 1. Judo Bundesliga Männer	2016	2016-11-19T00:00:00.000Z	13:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	LZ Multikraft Wels	JC Wimpassing	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Volksbankarena Gmunden @ 4810 Gmunden, Fliegerschulweg 46	4810	Gmunden	Fliegerschulweg 46	Volksbankarena Gmunden	Final4 1. Judo Bundesliga Männer	
8	P (Place 2/4) 1	Volksbank Galaxy Judo Tigers	11	96	UJZ Mühlviertel 1	3	22	Final4 1. Judo Bundesliga Männer	2016	2016-11-19T00:00:00.000Z	13:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Galaxy Judo Tigers	UJZ Mühlviertel	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Volksbankarena Gmunden @ 4810 Gmunden, Fliegerschulweg 46	4810	Gmunden	Fliegerschulweg 46	Volksbankarena Gmunden	Final4 1. Judo Bundesliga Männer	
9	P (Place 1/2)	Volksbank Galaxy Judo Tigers	9	90	JC Wimpassing/Lassee	4	30	Final4 1. Judo Bundesliga Männer	2016	2016-11-19T00:00:00.000Z	18:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Galaxy Judo Tigers	JC Wimpassing	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Volksbankarena Gmunden @ 4810 Gmunden, Fliegerschulweg 46	4810	Gmunden	Fliegerschulweg 46	Volksbankarena Gmunden	Final4 1. Judo Bundesliga Männer	
1	G	cafe+co Vienna Samurai	3	30	Volksbank Galaxy Judo Tigers	11	100	1. Judo Bundesliga Männer	2016	2016-04-29T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Vienna Samurai	Galaxy Judo Tigers	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sportanlage Strebersdorf @ 1210 Wien, Anton Böck Gasse 22	1210	Wien	Anton Böck Gasse 22	Sportanlage Strebersdorf	1. Judo Bundesliga Männer	
1	G	JC Wimpassing/Lassee	9	77	Judo Union Raiffeisen Flachgau	5	50	1. Judo Bundesliga Männer	2016	2016-04-29T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JC Wimpassing	JU Flachgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sporthalle Wimpassing @2632 Wimpassing,Bundesstraße 42	2632	Wimpassing	Bundesstraße 42	Sporthalle Wimpassing	1. Judo Bundesliga Männer	ORF Sport+
1	G	SU Noricum Leibnitz	6	51	LZ Multikraft Wels	8	59	1. Judo Bundesliga Männer	2016	2016-04-29T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	SU RB Leibnitz	LZ Multikraft Wels	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	JUFA Leibnitz @ 8430 Leibnitz, Klostergasse 37	8430	Leibnitz	Klostergasse 37	JUFA Leibnitz	1. Judo Bundesliga Männer	
1	G	UJZ Mühlviertel 1	9	81	Judo Union Raika Pinzgau	5	38	1. Judo Bundesliga Männer	2016	2016-04-29T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	UJZ Mühlviertel	JU Pinzgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	SHS Niederwaldkirchen @ 4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	SHS Niederwaldkirchen	1. Judo Bundesliga Männer	
2	G	Judo Union Raika Pinzgau	4	37	LZ Multikraft Wels	8	72	1. Judo Bundesliga Männer	2016	2016-05-20T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Pinzgau	LZ Multikraft Wels	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sporthalle Hauptschule Rauris @ 5661 Rauris, Schulweg 3	5661	Rauris	Schulweg 3	Sporthalle Hauptschule Rauris	1. Judo Bundesliga Männer	
2	G	SU Noricum Leibnitz	7	56	UJZ Mühlviertel 1	5	45	1. Judo Bundesliga Männer	2016	2016-05-20T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	SU RB Leibnitz	UJZ Mühlviertel	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	JUFA Leibnitz @ 8430 Leibnitz, Klostergasse 37	8430	Leibnitz	Klostergasse 37	JUFA Leibnitz	1. Judo Bundesliga Männer	
2	G	Volksbank Galaxy Judo Tigers	10	89	JC Wimpassing/Lassee	4	26	1. Judo Bundesliga Männer	2016	2016-05-20T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Galaxy Judo Tigers	JC Wimpassing	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Siegfried-Ludwig-Halle @2380 Perchtoldsdorf, Siegfried-Ludwig-Platz 3	2380	Perchtoldsdorf	Siegfried-Ludwig-Platz 3	Siegfried-Ludwig-Halle	1. Judo Bundesliga Männer	ORF Sport+
2	G	cafe+co Vienna Samurai	7	65	Judo Union Raiffeisen Flachgau	7	70	1. Judo Bundesliga Männer	2016	2016-05-20T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Vienna Samurai	JU Flachgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sportzentrum Strebersdorf @ 1210 Wien, Anton Böckstrasse 22	1210	Wien	Anton Böckstrasse 22	Sportzentrum Strebersdorf	1. Judo Bundesliga Männer	
3	G	Judo Union Raiffeisen Flachgau	6	60	Judo Union Raika Pinzgau	8	69	1. Judo Bundesliga Männer	2016	2016-06-17T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Flachgau	JU Pinzgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	1. Judo Bundesliga Männer	
3	G	Volksbank Galaxy Judo Tigers	11	75	SU Noricum Leibnitz	2	17	1. Judo Bundesliga Männer	2016	2016-06-17T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Galaxy Judo Tigers	SU RB Leibnitz	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Dojo Galaxytigers @ 2380 Perchtoldsdorf, Brunnerfeldstrasse 65	2380	Perchtoldsdorf	Brunnerfeldstrasse 65	Dojo Galaxytigers	1. Judo Bundesliga Männer	
3	G	UJZ Mühlviertel 1	7	70	JC Wimpassing/Lassee	7	65	1. Judo Bundesliga Männer	2016	2016-06-18T00:00:00.000Z	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	UJZ Mühlviertel	JC Wimpassing	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	SHS Niederwaldkirchen @ 4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	SHS Niederwaldkirchen	1. Judo Bundesliga Männer	
3	G	LZ Multikraft Wels	8	74	cafe+co Vienna Samurai	4	28	1. Judo Bundesliga Männer	2016	2016-06-18T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	LZ Multikraft Wels	Vienna Samurai	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Budokan Wels @ 4600 Wels, Pulverturmstraße 5	4600	Wels	Pulverturmstraße 5	Budokan Wels	1. Judo Bundesliga Männer	ORF Sport+
4	G	SU Noricum Leibnitz	8	77	Judo Union Raika Pinzgau	6	48	1. Judo Bundesliga Männer	2016	2016-09-09T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	SU RB Leibnitz	JU Pinzgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	JufaLeibnitz @ 8430 Leibnitz, Klostergasse 37	8430	Leibnitz	Klostergasse 37	JufaLeibnitz	1. Judo Bundesliga Männer	
4	G	cafe+co Vienna Samurai	3	21	JC Wimpassing/Lassee	11	110	1. Judo Bundesliga Männer	2016	2016-09-09T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Vienna Samurai	JC Wimpassing	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Kur Kucera Halle @ 1100 Wien, Jura Soyfergasse 3	1100	Wien	Jura Soyfergasse 3	Kur Kucera Halle	1. Judo Bundesliga Männer	
4	G	Volksbank Galaxy Judo Tigers	5	32	Judo Union Raiffeisen Flachgau	7	65	1. Judo Bundesliga Männer	2016	2016-09-09T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Galaxy Judo Tigers	JU Flachgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Dojo Galaxytigers @ 2380 Perchtoldsdorf, Brunnerfeldstrasse 65	2380	Perchtoldsdorf	Brunnerfeldstrasse 65	Dojo Galaxytigers	1. Judo Bundesliga Männer	
4	G	UJZ Mühlviertel 1	8	63	LZ Multikraft Wels	6	48	1. Judo Bundesliga Männer	2016	2016-09-10T00:00:00.000Z	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	UJZ Mühlviertel	LZ Multikraft Wels	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	SHS Niederwaldkirchen @ 4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	SHS Niederwaldkirchen	1. Judo Bundesliga Männer	ORF Sport+
5	G	Judo Union Raika Pinzgau	9	85	cafe+co Vienna Samurai	5	47	1. Judo Bundesliga Männer	2016	2016-09-30T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Pinzgau	Vienna Samurai	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sporthalle Hauptschule Rauris @ 5661 Rauris, Schulweg 3	5661	Rauris	Schulweg 3	Sporthalle Hauptschule Rauris	1. Judo Bundesliga Männer	ORF Sport+
5	G	LZ Multikraft Wels	8	67	Judo Union Raiffeisen Flachgau	5	45	1. Judo Bundesliga Männer	2016	2016-10-01T00:00:00.000Z	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	LZ Multikraft Wels	JU Flachgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Budokan Wels @ 4600 Wels, Pulverturmstraße 5	4600	Wels	Pulverturmstraße 5	Budokan Wels	1. Judo Bundesliga Männer	
5	G	JC Wimpassing/Lassee	11	98	SU Noricum Leibnitz	2	11	1. Judo Bundesliga Männer	2016	2016-10-01T00:00:00.000Z	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JC Wimpassing	SU RB Leibnitz	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sporthalle Wimpassing @2632 Wimpassing,Bundesstraße 42	2632	Wimpassing	Bundesstraße 42	Sporthalle Wimpassing	1. Judo Bundesliga Männer	
5	G	UJZ Mühlviertel 1	3	18	Volksbank Galaxy Judo Tigers	11	95	1. Judo Bundesliga Männer	2016	2016-10-01T00:00:00.000Z	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	UJZ Mühlviertel	Galaxy Judo Tigers	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	SHS Niederwaldkirchen @ 4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	SHS Niederwaldkirchen	1. Judo Bundesliga Männer	
6	G	JC Wimpassing/Lassee	10	94	Judo Union Raika Pinzgau	4	40	1. Judo Bundesliga Männer	2016	2016-10-07T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JC Wimpassing	JU Pinzgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sporthalle Wimpassing @2632 Wimpassing,Bundesstraße 42	2632	Wimpassing	Bundesstraße 42	Sporthalle Wimpassing	1. Judo Bundesliga Männer	
6	G	SU Noricum Leibnitz	9	73	cafe+co Vienna Samurai	5	50	1. Judo Bundesliga Männer	2016	2016-10-07T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	SU RB Leibnitz	Vienna Samurai	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sporthalle Leibnitz @ 8430 Leibnitz, Wagnastrasse 7	8430	Leibnitz	Wagnastrasse 7	Sporthalle Leibnitz	1. Judo Bundesliga Männer	
6	G	Judo Union Raiffeisen Flachgau	7	58	UJZ Mühlviertel 1	5	45	1. Judo Bundesliga Männer	2016	2016-10-07T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Flachgau	UJZ Mühlviertel	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	1. Judo Bundesliga Männer	ORF Sport+
6	G	Volksbank Galaxy Judo Tigers	11	87	LZ Multikraft Wels	1	10	1. Judo Bundesliga Männer	2016	2016-10-07T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Galaxy Judo Tigers	LZ Multikraft Wels	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Dojo Galaxytigers @ 2380 Perchtoldsdorf, Brunnerfeldstrasse 65	2380	Perchtoldsdorf	Brunnerfeldstrasse 65	Dojo Galaxytigers	1. Judo Bundesliga Männer	
7	G	cafe+co Vienna Samurai	3	22	UJZ Mühlviertel 1	11	98	1. Judo Bundesliga Männer	2016	2016-10-29T00:00:00.000Z	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Vienna Samurai	UJZ Mühlviertel	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sportzentrum Strebersdorf @ 1210 Wien, Anton Böckstrasse 22	1210	Wien	Anton Böckstrasse 22	Sportzentrum Strebersdorf	1. Judo Bundesliga Männer	ORF Sport+
7	G	LZ Multikraft Wels	8	69	JC Wimpassing/Lassee	6	51	1. Judo Bundesliga Männer	2016	2016-10-29T00:00:00.000Z	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	LZ Multikraft Wels	JC Wimpassing	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Budokan Wels @ 4600 Wels, Pulverturmstraße 5	4600	Wels	Pulverturmstraße 5	Budokan Wels	1. Judo Bundesliga Männer	
7	G	Judo Union Raiffeisen Flachgau	9	85	SU Noricum Leibnitz	5	50	1. Judo Bundesliga Männer	2016	2016-10-29T00:00:00.000Z	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Flachgau	SU RB Leibnitz	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	1. Judo Bundesliga Männer	
7	G	Judo Union Raika Pinzgau	2	11	Volksbank Galaxy Judo Tigers	12	115	1. Judo Bundesliga Männer	2016	2016-10-29T00:00:00.000Z	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Pinzgau	Galaxy Judo Tigers	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sporthalle Hauptschule Rauris @ 5661 Rauris, Schulweg 3	5661	Rauris	Schulweg 3	Sporthalle Hauptschule Rauris	1. Judo Bundesliga Männer	
1	G	Sanjindo Tigers	9	80	SV Gallneukirchen	5	50	2. Judo Bundesliga Männer	2016	2016-04-29T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JC Sanjindo	SV Gallneukirchen	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Hermann Wielandnerhalle @ 5500 Bischofshofen, Sportplatzstr. 15	5500	Bischofshofen	Sportplatzstr. 15	Hermann Wielandnerhalle	2. Judo Bundesliga Männer	
1	G	Judoteam SHIAI-DO Union Thermenregion	7	56	UJZ Mühlviertel 2	7	62	2. Judo Bundesliga Männer	2016	2016-04-30T00:00:00.000Z	18:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Judoteam SHIAI DO	UJZ Mühlviertel	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sporthalle Franz Fürst Freizeitzentrum @ 2351 Wiener Neudorf, Eumigweg 1-3	2351	Wiener Neudorf	Eumigweg 1-3	Sporthalle Franz Fürst Freizeitzentrum	2. Judo Bundesliga Männer	
1	G	Union Graz	9	87	Union Kirchham	5	50	2. Judo Bundesliga Männer	2016	2016-04-30T00:00:00.000Z	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	UNION Graz	Judo UNION Kirchham	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sporthalle Hausmannstätten @ 8071 Hausmannstätten, Hauptstraße 50	8071	Hausmannstätten	Hauptstraße 50	Sporthalle Hausmannstätten	2. Judo Bundesliga Männer	
1	G	ASKÖ Reichraming	12	108	Swarovski Judo Wattens	1	7	2. Judo Bundesliga Männer	2016	2016-04-30T00:00:00.000Z	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	ASKÖ Reichraming	WSG Wattens	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	VS Ternberg @ 4452 Ternberg , Alois-Derfler-Str. 4	4452	Ternberg	Alois-Derfler-Str. 4	VS Ternberg	2. Judo Bundesliga Männer	
2	G	Union Kirchham	7	48	Sanjindo Tigers	7	70	2. Judo Bundesliga Männer	2016	2016-05-20T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Judo UNION Kirchham	JC Sanjindo	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	MZH Kirchham @4656 Kirchham 35	4656	Kirchham 35	4656 Kirchham 35	MZH Kirchham	2. Judo Bundesliga Männer	
2	G	Union Graz	7	70	SV Gallneukirchen	7	65	2. Judo Bundesliga Männer	2016	2016-05-21T00:00:00.000Z	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	UNION Graz	SV Gallneukirchen	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sporthalle Hausmannstätten @ 8071 Hausmannstätten, Hauptstraße 50	8071	Hausmannstätten	Hauptstraße 50	Sporthalle Hausmannstätten	2. Judo Bundesliga Männer	
2	G	UJZ Mühlviertel 2	5	50	ASKÖ Reichraming	9	90	2. Judo Bundesliga Männer	2016	2016-05-21T00:00:00.000Z	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	UJZ Mühlviertel	ASKÖ Reichraming	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	SHS Niederwaldkirchen @ 4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	SHS Niederwaldkirchen	2. Judo Bundesliga Männer	
2	G	JU DynamicOne	9	90	Judoteam SHIAI-DO Union Thermenregion	5	50	2. Judo Bundesliga Männer	2016	2016-05-21T00:00:00.000Z	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU DynamicOne	Judoteam SHIAI DO	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Schul- und Kulturzentrum Feldkirchen/Donau @ 4101 Feldkirchen, Schulstr. 12	4101	Feldkirchen	Schulstr. 12	Schul- und Kulturzentrum Feldkirchen/Donau	2. Judo Bundesliga Männer	
3	G	SV Gallneukirchen	10	91	Swarovski Judo Wattens	3	16	2. Judo Bundesliga Männer	2016	2016-06-03T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	SV Gallneukirchen	WSG Wattens	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	HS Gallneukirchen @ 4210 Gallneukirchen, Reichenauerstrasse 2	4210	Gallneukirchen	Reichenauerstrasse 2	HS Gallneukirchen	2. Judo Bundesliga Männer	
3	G	Sanjindo Tigers	8	80	Union Graz	4	37	2. Judo Bundesliga Männer	2016	2016-06-04T00:00:00.000Z	18:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JC Sanjindo	UNION Graz	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Hermann Wielandnerhalle @ 5500 Bischofshofen, Sportplatzstr. 15	5500	Bischofshofen	Sportplatzstr. 15	Hermann Wielandnerhalle	2. Judo Bundesliga Männer	
3	G	ASKÖ Reichraming	7	70	JU DynamicOne	7	65	2. Judo Bundesliga Männer	2016	2016-06-04T00:00:00.000Z	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	ASKÖ Reichraming	JU DynamicOne	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	VS Ternberg @ 4452 Ternberg , Alois-Derfler-Str. 4	4452	Ternberg	Alois-Derfler-Str. 4	VS Ternberg	2. Judo Bundesliga Männer	
3	G	Union Kirchham	4	40	Judoteam SHIAI-DO Union Thermenregion	10	100	2. Judo Bundesliga Männer	2016	2016-06-04T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Judo UNION Kirchham	Judoteam SHIAI DO	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	MZH Kirchham @4656 Kirchham 35	4656	Kirchham 35	4656 Kirchham 35	MZH Kirchham	2. Judo Bundesliga Männer	
4	G	Swarovski Judo Wattens	9	85	Judoteam SHIAI-DO Union Thermenregion	5	50	2. Judo Bundesliga Männer	2016	2016-06-18T00:00:00.000Z	18:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	WSG Wattens	Judoteam SHIAI DO	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Dojo Wattens @ Sebastian Schrott-Straße 7, 6112 Wattens	6112	Wattens	Sebastian Schrott-Straße 7	Dojo Wattens	2. Judo Bundesliga Männer	
4	G	ASKÖ Reichraming	8	72	Union Graz	6	46	2. Judo Bundesliga Männer	2016	2016-06-18T00:00:00.000Z	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	ASKÖ Reichraming	UNION Graz	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	VS Ternberg @ 4452 Ternberg , Alois-Derfler-Str. 4	4452	Ternberg	Alois-Derfler-Str. 4	VS Ternberg	2. Judo Bundesliga Männer	
4	G	SV Gallneukirchen	10	94	Union Kirchham	4	40	2. Judo Bundesliga Männer	2016	2016-06-18T00:00:00.000Z	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	SV Gallneukirchen	Judo UNION Kirchham	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	HS Gallneukirchen @ 4210 Gallneukirchen, Reichenauerstrasse 2	4210	Gallneukirchen	Reichenauerstrasse 2	HS Gallneukirchen	2. Judo Bundesliga Männer	
4	G	JU DynamicOne	9	85	UJZ Mühlviertel 2	5	45	2. Judo Bundesliga Männer	2016	2016-06-18T00:00:00.000Z	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU DynamicOne	UJZ Mühlviertel	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Schul- und Kulturzentrum Feldkirchen/Donau @ 4101 Feldkirchen, Schulstr. 12	4101	Feldkirchen	Schulstr. 12	Schul- und Kulturzentrum Feldkirchen/Donau	2. Judo Bundesliga Männer	
