Round	Playoffs	Team Name 1	Team Name 2	League	Season	CompetitionStart	Time	Source	Team Organization 1	Team Organization 2	WeightClass00	WeightClass01	WeightClass02	WeightClass03	WeightClass04	WeightClass05	WeightClass06	WeightClass10	WeightClass11	WeightClass12	WeightClass13	WeightClass14	WeightClass15	WeightClass16	Location	Plz	City	Address	Venue	League	Broadcaster
1	G	WAT Stadlau	Volksbank Galaxy Judotigers	1. Judo Bundesliga Männer	2020	2999-01-01	17:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	WAT Stadlau	Galaxy Judo Tigers	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Bildungscampus @ 1220 Wien, Attemsgasse 22	1220	Wien	Attemsgasse 22	Bildungscampus	1. Judo Bundesliga Männer	
1	G	LZ Multikraft Wels	Union Kirchham	1. Judo Bundesliga Männer	2020	2999-01-01	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	LZ Multikraft Wels	Judo UNION Kirchham	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Budokan Wels @ 4600 Wels, Pulverturmstraße 5	4600	Wels	Pulverturmstraße 5	Budokan Wels	1. Judo Bundesliga Männer	
1	G	JU Raiffeisen Flachgau	JU DynamicOne	1. Judo Bundesliga Männer	2020	2999-01-01	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Flachgau	JU DynamicOne	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	1. Judo Bundesliga Männer	
1	G	JU Raika Pinzgau	ESV Sanjindo	1. Judo Bundesliga Männer	2020	2999-01-01	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Pinzgau	JC Sanjindo	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	NMS Rauris @ 5661 Rauris, Schulweg 3	5661	Rauris	Schulweg 3	NMS Rauris	1. Judo Bundesliga Männer	
2	G	Volksbank Galaxy Judotigers	JU Raiffeisen Flachgau	1. Judo Bundesliga Männer	2020	2020-04-24	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Galaxy Judo Tigers	JU Flachgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Dojo Galaxytigers @ 2380 Perchtoldsdorf, Brunnerfeldstrasse 65	2380	Perchtoldsdorf	Brunnerfeldstrasse 65	Dojo Galaxytigers	1. Judo Bundesliga Männer	
2	G	Union Kirchham	JU Raika Pinzgau	1. Judo Bundesliga Männer	2020	2020-04-24	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Judo UNION Kirchham	JU Pinzgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	MZH Kirchham @4656 Kirchham 34/2	4656	Kirchham 34/2	4656 Kirchham 34/2	MZH Kirchham	1. Judo Bundesliga Männer	ORF Sport+
2	G	ESV Sanjindo	WAT Stadlau	1. Judo Bundesliga Männer	2020	2020-04-25	18:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JC Sanjindo	WAT Stadlau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Tennishalle ESV Sportzentrum @ 5500 Bischofshofen, Freizeitweg 10	5500	Bischofshofen	Freizeitweg 10	Tennishalle ESV Sportzentrum	1. Judo Bundesliga Männer	
2	G	JU DynamicOne	UJZ Mühlviertel 1	1. Judo Bundesliga Männer	2020	2020-04-25	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU DynamicOne	UJZ Mühlviertel	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Veranstaltungszentrum Feldkirchen @ 4101 Feldkirchen, Schulstraße 12	4101	Feldkirchen	Schulstraße 12	Veranstaltungszentrum Feldkirchen	1. Judo Bundesliga Männer	
3	G	Volksbank Galaxy Judotigers	JU Raika Pinzgau	1. Judo Bundesliga Männer	2020	2020-05-08	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Galaxy Judo Tigers	JU Pinzgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Dojo Galaxytigers @ 2380 Perchtoldsdorf, Brunnerfeldstrasse 65	2380	Perchtoldsdorf	Brunnerfeldstrasse 65	Dojo Galaxytigers	1. Judo Bundesliga Männer	
3	G	ESV Sanjindo	LZ Multikraft Wels	1. Judo Bundesliga Männer	2020	2020-05-09	18:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JC Sanjindo	LZ Multikraft Wels	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Hermann Wielandnerhalle @ 5500 Bischofshofen, Sportplatzstr. 15	5500	Bischofshofen	Sportplatzstr. 15	Hermann Wielandnerhalle	1. Judo Bundesliga Männer	
3	G	UJZ Mühlviertel 1	JU Raiffeisen Flachgau	1. Judo Bundesliga Männer	2020	2020-05-09	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	UJZ Mühlviertel	JU Flachgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	NMS Niederwaldkirchen @ 4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	NMS Niederwaldkirchen	1. Judo Bundesliga Männer	
3	G	JU DynamicOne	WAT Stadlau	1. Judo Bundesliga Männer	2020	2020-05-09	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU DynamicOne	WAT Stadlau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Veranstaltungszentrum Feldkirchen @ 4101 Feldkirchen, Schulstraße 12	4101	Feldkirchen	Schulstraße 12	Veranstaltungszentrum Feldkirchen	1. Judo Bundesliga Männer	ORF Sport+
4	G	Union Kirchham	ESV Sanjindo	1. Judo Bundesliga Männer	2020	2020-05-22	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Judo UNION Kirchham	JC Sanjindo	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	MZH Kirchham @4656 Kirchham 34/2	4656	Kirchham 34/2	4656 Kirchham 34/2	MZH Kirchham	1. Judo Bundesliga Männer	
4	G	JU Raika Pinzgau	JU DynamicOne	1. Judo Bundesliga Männer	2020	2020-05-22	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Pinzgau	JU DynamicOne	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	NMS Rauris @ 5661 Rauris, Schulweg 3	5661	Rauris	Schulweg 3	NMS Rauris	1. Judo Bundesliga Männer	
4	G	WAT Stadlau	UJZ Mühlviertel 1	1. Judo Bundesliga Männer	2020	2020-05-23	17:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	WAT Stadlau	UJZ Mühlviertel	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Bildungscampus @ 1220 Wien, Attemsgasse 22	1220	Wien	Attemsgasse 22	Bildungscampus	1. Judo Bundesliga Männer	
4	G	LZ Multikraft Wels	Volksbank Galaxy Judotigers	1. Judo Bundesliga Männer	2020	2020-05-23	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	LZ Multikraft Wels	Galaxy Judo Tigers	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Budokan Wels @4600 Wels, Pulverturmstraße 5	4600	Wels	Pulverturmstraße 5	Budokan Wels	1. Judo Bundesliga Männer	ORF Sport+
