Source	Name	Playoff	ValidFrom	WeightClass00	WeightClass01	WeightClass02	WeightClass03	WeightClass04	WeightClass05	WeightClass06	WeightClass10	WeightClass11	WeightClass12	WeightClass13	WeightClass14	WeightClass15	WeightClass16	LeagueType	Sort	ValidTo	Year	Canceled
{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	1. Judo Bundesliga Männer	Final4  1. Judo Bundesliga Männer	2011	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	ersteBl	100	2999	2014	
{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	2. Judo Bundesliga Männer	*PLAYOFF 2. Judo Bundesliga Männer	2011	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	zweiteBl	200	2999	2014	
{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	1. Judo Bundesliga Männer	Final4  1. Judo Bundesliga Männer	2011	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	ersteBl	100	2999	2015	
{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	2. Judo Bundesliga Männer	*PLAYOFF 2. Judo Bundesliga Männer	2011	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	zweiteBl	200	2999	2015	
{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Bundesliga Frauen	Final4 Bundesliga Frauen	2025	-48	-52	-57	-63	-70	+78		-48	-52	-57	-63	-70	+78		damenBl	150	2999	2016-17	
{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	1. Judo Bundesliga Männer	Final4  1. Judo Bundesliga Männer	2011	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	ersteBl	100	2999	2016	
{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	2. Judo Bundesliga Männer	*PLAYOFF 2. Judo Bundesliga Männer	2011	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	zweiteBl	200	2999	2016	
{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Bundesliga Frauen	Final4 Bundesliga Frauen	2025	-48	-52	-57	-63	-70	+78		-48	-52	-57	-63	-70	+78		damenBl	150	2999	2017-18	
{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	1. Judo Bundesliga Männer	Final4  1. Judo Bundesliga Männer	2011	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	ersteBl	100	2999	2017	
{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	2. Judo Bundesliga Männer	*PLAYOFF 2. Judo Bundesliga Männer	2011	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	zweiteBl	200	2999	2017	
{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	1. Judo Bundesliga Männer	Final4  1. Judo Bundesliga Männer	2011	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	ersteBl	100	2999	2018	
{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	2. Judo Bundesliga Männer	*PLAYOFF 2. Judo Bundesliga Männer	2011	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	zweiteBl	200	2999	2018	
{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	1. Judo Bundesliga Männer	Final4  1. Judo Bundesliga Männer	2011	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	ersteBl	100	2999	2019	
{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Bundesliga Frauen	Final4 Bundesliga Frauen	2025	-48	-52	-57	-63	-70	+78		-48	-52	-57	-63	-70	+78		damenBl	150	2999	2019	
{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	2. Judo Bundesliga Männer	*PLAYOFF 2. Judo Bundesliga Männer	2011	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	zweiteBl	200	2999	2019	
