Team Name	Weight Class	First Name	Last Name	Source
PSV Salzburg	Leicht		Mayerhofer	https://www.sn.at/archivsn?img=rwXOFXM3%2F99AgmpvqerStKeweGHRjaRteYx4AnXPZctFRON8PLB8JWLDsGvlW1pmDO0osa2tN0XbJb6yxv6%2BY6445GWEf5kAqpBnF5Cg1DVe6QWF%2Fw87vllxjCsE4gm2&id1=19710603_09&q=Judo%2520Staatsliga#slide9
PSV Salzburg	Leicht		Galler	https://www.sn.at/archivsn?img=rwXOFXM3%2F99AgmpvqerStKeweGHRjaRteYx4AnXPZctFRON8PLB8JWLDsGvlW1pmDO0osa2tN0XbJb6yxv6%2BY6445GWEf5kAqpBnF5Cg1DVe6QWF%2Fw87vllxjCsE4gm2&id1=19710603_09&q=Judo%2520Staatsliga#slide9
PSV Salzburg	Welter	Gerold	Jungwirth	https://www.sn.at/archivsn?img=rwXOFXM3%2F99AgmpvqerStKeweGHRjaRteYx4AnXPZctFRON8PLB8JWLDsGvlW1pmDO0osa2tN0XbJb6yxv6%2BY6445GWEf5kAqpBnF5Cg1DVe6QWF%2Fw87vllxjCsE4gm2&id1=19710603_09&q=Judo%2520Staatsliga#slide9
PSV Salzburg	Welter	Gerhart	Jungwirth	https://www.sn.at/archivsn?img=rwXOFXM3%2F99AgmpvqerStKeweGHRjaRteYx4AnXPZctFRON8PLB8JWLDsGvlW1pmDO0osa2tN0XbJb6yxv6%2BY6445GWEf5kAqpBnF5Cg1DVe6QWF%2Fw87vllxjCsE4gm2&id1=19710603_09&q=Judo%2520Staatsliga#slide9
PSV Salzburg	Mittel		Pichl	https://www.sn.at/archivsn?img=rwXOFXM3%2F99AgmpvqerStKeweGHRjaRteYx4AnXPZctFRON8PLB8JWLDsGvlW1pmDO0osa2tN0XbJb6yxv6%2BY6445GWEf5kAqpBnF5Cg1DVe6QWF%2Fw87vllxjCsE4gm2&id1=19710603_09&q=Judo%2520Staatsliga#slide9
PSV Salzburg	Mittel		Rachbauer	https://www.sn.at/archivsn?img=rwXOFXM3%2F99AgmpvqerStKeweGHRjaRteYx4AnXPZctFRON8PLB8JWLDsGvlW1pmDO0osa2tN0XbJb6yxv6%2BY6445GWEf5kAqpBnF5Cg1DVe6QWF%2Fw87vllxjCsE4gm2&id1=19710603_09&q=Judo%2520Staatsliga#slide9
PSV Salzburg	Halbschwer		Wallas	https://www.sn.at/archivsn?img=rwXOFXM3%2F99AgmpvqerStKeweGHRjaRteYx4AnXPZctFRON8PLB8JWLDsGvlW1pmDO0osa2tN0XbJb6yxv6%2BY6445GWEf5kAqpBnF5Cg1DVe6QWF%2Fw87vllxjCsE4gm2&id1=19710603_09&q=Judo%2520Staatsliga#slide9
PSV Salzburg	Halbschwer		Schmid	https://www.sn.at/archivsn?img=rwXOFXM3%2F99AgmpvqerStKeweGHRjaRteYx4AnXPZctFRON8PLB8JWLDsGvlW1pmDO0osa2tN0XbJb6yxv6%2BY6445GWEf5kAqpBnF5Cg1DVe6QWF%2Fw87vllxjCsE4gm2&id1=19710603_09&q=Judo%2520Staatsliga#slide9
PSV Salzburg	Schwer		Butka	https://www.sn.at/archivsn?img=rwXOFXM3%2F99AgmpvqerStKeweGHRjaRteYx4AnXPZctFRON8PLB8JWLDsGvlW1pmDO0osa2tN0XbJb6yxv6%2BY6445GWEf5kAqpBnF5Cg1DVe6QWF%2Fw87vllxjCsE4gm2&id1=19710603_09&q=Judo%2520Staatsliga#slide9
PSV Salzburg	Schwer		Grabmüller	https://www.sn.at/archivsn?img=rwXOFXM3%2F99AgmpvqerStKeweGHRjaRteYx4AnXPZctFRON8PLB8JWLDsGvlW1pmDO0osa2tN0XbJb6yxv6%2BY6445GWEf5kAqpBnF5Cg1DVe6QWF%2Fw87vllxjCsE4gm2&id1=19710603_09&q=Judo%2520Staatsliga#slide9
JC Wien			Karner	https://www.sn.at/archivsn?img=rwXOFXM3%2F99AgmpvqerStKeweGHRjaRteYx4AnXPZctFRON8PLB8JWLDsGvlW1pmDO0osa2tN0XbJb6yxv6%2BY6445GWEf5kAqpBnF5Cg1DVe6QWF%2Fw87vllxjCsE4gm2&id1=19710603_09&q=Judo%2520Staatsliga#slide9
JC Wien			Aellig	https://www.sn.at/archivsn?img=rwXOFXM3%2F99AgmpvqerStKeweGHRjaRteYx4AnXPZctFRON8PLB8JWLDsGvlW1pmDO0osa2tN0XbJb6yxv6%2BY6445GWEf5kAqpBnF5Cg1DVe6QWF%2Fw87vllxjCsE4gm2&id1=19710603_09&q=Judo%2520Staatsliga#slide9
				
