Name	Weight Class	First Name	Last Name	Source
PSV Salzburg			Gruber	https://www.sn.at/archivsn?img=xiczCNlc0rNzDZKOT8pYwI2nOoC8jnF4eWscqsk7LIYwh0nctSMYfMua1b0bd0xSbK293lDEjwCrFCuqRdWT8iCq8oFx4lNGFqapTNSpb9KK605bw%2FvJF0yyIKVbPnD5&id1=19711213_11&q=Judo%2520Staatsliga#sn-archiv-11
PSV Salzburg			Mittermaier	https://www.sn.at/archivsn?img=xiczCNlc0rNzDZKOT8pYwI2nOoC8jnF4eWscqsk7LIYwh0nctSMYfMua1b0bd0xSbK293lDEjwCrFCuqRdWT8iCq8oFx4lNGFqapTNSpb9KK605bw%2FvJF0yyIKVbPnD5&id1=19711213_11&q=Judo%2520Staatsliga#sn-archiv-11
PSV Salzburg			Unger	https://www.sn.at/archivsn?img=xiczCNlc0rNzDZKOT8pYwI2nOoC8jnF4eWscqsk7LIYwh0nctSMYfMua1b0bd0xSbK293lDEjwCrFCuqRdWT8iCq8oFx4lNGFqapTNSpb9KK605bw%2FvJF0yyIKVbPnD5&id1=19711213_11&q=Judo%2520Staatsliga#sn-archiv-11
PSV Salzburg		Gerhard	Jungwirth	https://www.sn.at/archivsn?img=xiczCNlc0rNzDZKOT8pYwI2nOoC8jnF4eWscqsk7LIYwh0nctSMYfMua1b0bd0xSbK293lDEjwCrFCuqRdWT8iCq8oFx4lNGFqapTNSpb9KK605bw%2FvJF0yyIKVbPnD5&id1=19711213_11&q=Judo%2520Staatsliga#sn-archiv-11
PSV Salzburg			Maierhofer	https://www.sn.at/archivsn?img=xiczCNlc0rNzDZKOT8pYwI2nOoC8jnF4eWscqsk7LIYwh0nctSMYfMua1b0bd0xSbK293lDEjwCrFCuqRdWT8iCq8oFx4lNGFqapTNSpb9KK605bw%2FvJF0yyIKVbPnD5&id1=19711213_11&q=Judo%2520Staatsliga#sn-archiv-11
PSV Salzburg			Oberhuber	https://www.sn.at/archivsn?img=xiczCNlc0rNzDZKOT8pYwI2nOoC8jnF4eWscqsk7LIYwh0nctSMYfMua1b0bd0xSbK293lDEjwCrFCuqRdWT8iCq8oFx4lNGFqapTNSpb9KK605bw%2FvJF0yyIKVbPnD5&id1=19711213_11&q=Judo%2520Staatsliga#sn-archiv-11
PSV Salzburg			Fürst	https://www.sn.at/archivsn?img=xiczCNlc0rNzDZKOT8pYwI2nOoC8jnF4eWscqsk7LIYwh0nctSMYfMua1b0bd0xSbK293lDEjwCrFCuqRdWT8iCq8oFx4lNGFqapTNSpb9KK605bw%2FvJF0yyIKVbPnD5&id1=19711213_11&q=Judo%2520Staatsliga#sn-archiv-11
PSV Salzburg			Wallas	https://www.sn.at/archivsn?img=xiczCNlc0rNzDZKOT8pYwI2nOoC8jnF4eWscqsk7LIYwh0nctSMYfMua1b0bd0xSbK293lDEjwCrFCuqRdWT8iCq8oFx4lNGFqapTNSpb9KK605bw%2FvJF0yyIKVbPnD5&id1=19711213_11&q=Judo%2520Staatsliga#sn-archiv-11
PSV Salzburg			Grabmüller	https://www.sn.at/archivsn?img=xiczCNlc0rNzDZKOT8pYwI2nOoC8jnF4eWscqsk7LIYwh0nctSMYfMua1b0bd0xSbK293lDEjwCrFCuqRdWT8iCq8oFx4lNGFqapTNSpb9KK605bw%2FvJF0yyIKVbPnD5&id1=19711213_11&q=Judo%2520Staatsliga#sn-archiv-11
PSV Salzburg		Gerold	Jungwirth	https://www.sn.at/archivsn?img=xiczCNlc0rNzDZKOT8pYwI2nOoC8jnF4eWscqsk7LIYwh0nctSMYfMua1b0bd0xSbK293lDEjwCrFCuqRdWT8iCq8oFx4lNGFqapTNSpb9KK605bw%2FvJF0yyIKVbPnD5&id1=19711213_11&q=Judo%2520Staatsliga#sn-archiv-11
