Team Name	First Name	Last Name	Source
Judo Straßwalchen	Wolfgang	Unter	{{Internetquelle |url=https://www.judo-austria.com/cool_timeline/roswitha-hartl-wurde-staatsmeisterin-grundstein-fuer-erfolgreiches-frauenteam/ |titel=Roswitha Hartl wurde Staatsmeisterin – Grundstein für erfolgreiches Frauenteam – Judo Union Raiffeisen Flachgau |sprache=de |abruf=2026-01-04}}
Judo Straßwalchen	Jakob	Vogl	{{Internetquelle |url=https://www.judo-austria.com/cool_timeline/roswitha-hartl-wurde-staatsmeisterin-grundstein-fuer-erfolgreiches-frauenteam/ |titel=Roswitha Hartl wurde Staatsmeisterin – Grundstein für erfolgreiches Frauenteam – Judo Union Raiffeisen Flachgau |sprache=de |abruf=2026-01-04}}
Judo Straßwalchen	Franz	Huber	{{Internetquelle |url=https://www.judo-austria.com/cool_timeline/roswitha-hartl-wurde-staatsmeisterin-grundstein-fuer-erfolgreiches-frauenteam/ |titel=Roswitha Hartl wurde Staatsmeisterin – Grundstein für erfolgreiches Frauenteam – Judo Union Raiffeisen Flachgau |sprache=de |abruf=2026-01-04}}
Judo Straßwalchen	Klaus	Unter	{{Internetquelle |url=https://www.judo-austria.com/cool_timeline/roswitha-hartl-wurde-staatsmeisterin-grundstein-fuer-erfolgreiches-frauenteam/ |titel=Roswitha Hartl wurde Staatsmeisterin – Grundstein für erfolgreiches Frauenteam – Judo Union Raiffeisen Flachgau |sprache=de |abruf=2026-01-04}}
Judo Straßwalchen	Gerhard	Dorfinger	{{Internetquelle |url=https://www.judo-austria.com/cool_timeline/roswitha-hartl-wurde-staatsmeisterin-grundstein-fuer-erfolgreiches-frauenteam/ |titel=Roswitha Hartl wurde Staatsmeisterin – Grundstein für erfolgreiches Frauenteam – Judo Union Raiffeisen Flachgau |sprache=de |abruf=2026-01-04}}
Judo Straßwalchen	Herbert	Schleicher	{{Internetquelle |url=https://www.judo-austria.com/cool_timeline/roswitha-hartl-wurde-staatsmeisterin-grundstein-fuer-erfolgreiches-frauenteam/ |titel=Roswitha Hartl wurde Staatsmeisterin – Grundstein für erfolgreiches Frauenteam – Judo Union Raiffeisen Flachgau |sprache=de |abruf=2026-01-04}}
Judo Straßwalchen	Albin	Berendt	{{Internetquelle |url=https://www.judo-austria.com/cool_timeline/roswitha-hartl-wurde-staatsmeisterin-grundstein-fuer-erfolgreiches-frauenteam/ |titel=Roswitha Hartl wurde Staatsmeisterin – Grundstein für erfolgreiches Frauenteam – Judo Union Raiffeisen Flachgau |sprache=de |abruf=2026-01-04}}
Judo Straßwalchen	Helmut	Krempler	{{Internetquelle |url=https://www.judo-austria.com/cool_timeline/roswitha-hartl-wurde-staatsmeisterin-grundstein-fuer-erfolgreiches-frauenteam/ |titel=Roswitha Hartl wurde Staatsmeisterin – Grundstein für erfolgreiches Frauenteam – Judo Union Raiffeisen Flachgau |sprache=de |abruf=2026-01-04}}
Judo Straßwalchen	Alois	Söllinger	{{Internetquelle |url=https://www.judo-austria.com/cool_timeline/roswitha-hartl-wurde-staatsmeisterin-grundstein-fuer-erfolgreiches-frauenteam/ |titel=Roswitha Hartl wurde Staatsmeisterin – Grundstein für erfolgreiches Frauenteam – Judo Union Raiffeisen Flachgau |sprache=de |abruf=2026-01-04}}
Judo Straßwalchen	Josef	Adam	{{Internetquelle |url=https://www.judo-austria.com/cool_timeline/roswitha-hartl-wurde-staatsmeisterin-grundstein-fuer-erfolgreiches-frauenteam/ |titel=Roswitha Hartl wurde Staatsmeisterin – Grundstein für erfolgreiches Frauenteam – Judo Union Raiffeisen Flachgau |sprache=de |abruf=2026-01-04}}
Judo Straßwalchen	Franz	Dorfer	{{Internetquelle |url=https://www.judo-austria.com/cool_timeline/roswitha-hartl-wurde-staatsmeisterin-grundstein-fuer-erfolgreiches-frauenteam/ |titel=Roswitha Hartl wurde Staatsmeisterin – Grundstein für erfolgreiches Frauenteam – Judo Union Raiffeisen Flachgau |sprache=de |abruf=2026-01-04}}
Judo Straßwalchen	Johann	Mayrhofer	{{Internetquelle |url=https://www.judo-austria.com/cool_timeline/roswitha-hartl-wurde-staatsmeisterin-grundstein-fuer-erfolgreiches-frauenteam/ |titel=Roswitha Hartl wurde Staatsmeisterin – Grundstein für erfolgreiches Frauenteam – Judo Union Raiffeisen Flachgau |sprache=de |abruf=2026-01-04}}
			
