Team Name	First Name	Last Name	Gastkämpfer	Source
Union Leibnitz-Eichfeld	Roswitha	Hartl	PSV Leoben	{{Internetquelle |url=https://www.sn.at/archivsn?img=nv2gPuSmuewzmnDIRuF63saMQ3wBgxdUjnowP1AcZq684fkr8SBkylpplv4scSNCImNGYdJNgpfyOJnVJ%2F78OIlRX7tIxCoAawiLQF1%2BfzJOl7Ydi8u2N7dsB91v52np&id1=19861201_14#slide14 |titel=Judo-Meisterschaft wurde zur Farce |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1986-12-01 |sprache=de |abruf=2024-01-17}}
Union Leibnitz-Eichfeld	Edith	Hrovat	PSV Leoben	{{Internetquelle |url=https://www.sn.at/archivsn?img=nv2gPuSmuewzmnDIRuF63saMQ3wBgxdUjnowP1AcZq684fkr8SBkylpplv4scSNCImNGYdJNgpfyOJnVJ%2F78OIlRX7tIxCoAawiLQF1%2BfzJOl7Ydi8u2N7dsB91v52np&id1=19861201_14#slide14 |titel=Judo-Meisterschaft wurde zur Farce |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1986-12-01 |sprache=de |abruf=2024-01-17}}
SV Bürmoos	Barbara	König		{{Internetquelle |url=https://www.sn.at/archivsn?img=nv2gPuSmuewzmnDIRuF63saMQ3wBgxdUjnowP1AcZq684fkr8SBkylpplv4scSNCImNGYdJNgpfyOJnVJ%2F78OIlRX7tIxCoAawiLQF1%2BfzJOl7Ydi8u2N7dsB91v52np&id1=19861201_14#slide14 |titel=Judo-Meisterschaft wurde zur Farce |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1986-12-01 |sprache=de |abruf=2024-01-17}}
SV Bürmoos	Sandra	Stadler		{{Internetquelle |url=https://www.sn.at/archivsn?img=nv2gPuSmuewzmnDIRuF63saMQ3wBgxdUjnowP1AcZq684fkr8SBkylpplv4scSNCImNGYdJNgpfyOJnVJ%2F78OIlRX7tIxCoAawiLQF1%2BfzJOl7Ydi8u2N7dsB91v52np&id1=19861201_14#slide14 |titel=Judo-Meisterschaft wurde zur Farce |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1986-12-01 |sprache=de |abruf=2024-01-17}}
SV Bürmoos	Edith	Eder		{{Internetquelle |url=https://www.sn.at/archivsn?img=nv2gPuSmuewzmnDIRuF63saMQ3wBgxdUjnowP1AcZq684fkr8SBkylpplv4scSNCImNGYdJNgpfyOJnVJ%2F78OIlRX7tIxCoAawiLQF1%2BfzJOl7Ydi8u2N7dsB91v52np&id1=19861201_14#slide14 |titel=Judo-Meisterschaft wurde zur Farce |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1986-12-01 |sprache=de |abruf=2024-01-17}}
SV Bürmoos	Paula	Birgmann		{{Internetquelle |url=https://www.sn.at/archivsn?img=nv2gPuSmuewzmnDIRuF63saMQ3wBgxdUjnowP1AcZq684fkr8SBkylpplv4scSNCImNGYdJNgpfyOJnVJ%2F78OIlRX7tIxCoAawiLQF1%2BfzJOl7Ydi8u2N7dsB91v52np&id1=19861201_14#slide14 |titel=Judo-Meisterschaft wurde zur Farce |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1986-12-01 |sprache=de |abruf=2024-01-17}}
SV Bürmoos	Christine	Temmel		{{Internetquelle |url=https://www.sn.at/archivsn?img=nv2gPuSmuewzmnDIRuF63saMQ3wBgxdUjnowP1AcZq684fkr8SBkylpplv4scSNCImNGYdJNgpfyOJnVJ%2F78OIlRX7tIxCoAawiLQF1%2BfzJOl7Ydi8u2N7dsB91v52np&id1=19861201_14#slide14 |titel=Judo-Meisterschaft wurde zur Farce |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1986-12-01 |sprache=de |abruf=2024-01-17}}
SV Bürmoos	Gabi	Unterrainer		{{Internetquelle |url=https://www.sn.at/archivsn?img=nv2gPuSmuewzmnDIRuF63saMQ3wBgxdUjnowP1AcZq684fkr8SBkylpplv4scSNCImNGYdJNgpfyOJnVJ%2F78OIlRX7tIxCoAawiLQF1%2BfzJOl7Ydi8u2N7dsB91v52np&id1=19861201_14#slide14 |titel=Judo-Meisterschaft wurde zur Farce |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1986-12-01 |sprache=de |abruf=2024-01-17}}
SV Bürmoos	Elke	Auer		{{Internetquelle |url=https://www.sn.at/archivsn?img=nv2gPuSmuewzmnDIRuF63saMQ3wBgxdUjnowP1AcZq684fkr8SBkylpplv4scSNCImNGYdJNgpfyOJnVJ%2F78OIlRX7tIxCoAawiLQF1%2BfzJOl7Ydi8u2N7dsB91v52np&id1=19861201_14#slide14 |titel=Judo-Meisterschaft wurde zur Farce |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1986-12-01 |sprache=de |abruf=2024-01-17}}
JGV Wien	Evelyne	Winklbauer		{{Internetquelle |url=https://www.sn.at/archivsn?img=nv2gPuSmuewzmnDIRuF63saMQ3wBgxdUjnowP1AcZq684fkr8SBkylpplv4scSNCImNGYdJNgpfyOJnVJ%2F78OIlRX7tIxCoAawiLQF1%2BfzJOl7Ydi8u2N7dsB91v52np&id1=19861201_14#slide14 |titel=Judo-Meisterschaft wurde zur Farce |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1986-12-01 |sprache=de |abruf=2024-01-17}}
