Team Name	First Name	Last Name	Gastkämpfer	Count	S	U	N	Source
	Josef	Rosenlechner						https://www.sn.at/archivsn?img=loxUbOHsZE7pl0nKeiZHbwRDBEoxSNy7GTJR7%2FV%2BkbtzGG5UNSbDGSykU0QsHC7mBHjiulIWmyeW%2F69FgcAJ2FYg6HDTUaoksrtTchUQVjBcF2PuOCeetE655py9KbLC&id1=19870525_15&q=judo%2520staatsliga#slide15
	Peter	Reiter						https://www.sn.at/archivsn?img=loxUbOHsZE7pl0nKeiZHbwRDBEoxSNy7GTJR7%2FV%2BkbtzGG5UNSbDGSykU0QsHC7mBHjiulIWmyeW%2F69FgcAJ2FYg6HDTUaoksrtTchUQVjBcF2PuOCeetE655py9KbLC&id1=19870525_15&q=judo%2520staatsliga#slide15
1	Sanjindo ESV Bischofshofen	Gerry	Hansen	14	0	0	14	https://www.sn.at/archivsn?img=tPOgeeh0uE4uaiKCvSDBcLkfl3CaXkjLHGmkcMJlZiAX0VxNNH%2B1ajbjaybWbMWKLdGLjevAa4NYfGzx%2BXhFEULzYh39fcLHztmj4RRTHwQfgf5sBn%2B%2FrGw%2FE0gjffll&id1=19870622_16&q=judo%2520staatsliga#slide16
	Sanjindo ESV Bischofshofen	M	Jungwirth					https://www.sn.at/archivsn?img=tPOgeeh0uE4uaiKCvSDBcLkfl3CaXkjLHGmkcMJlZiAX0VxNNH%2B1ajbjaybWbMWKLdGLjevAa4NYfGzx%2BXhFEULzYh39fcLHztmj4RRTHwQfgf5sBn%2B%2FrGw%2FE0gjffll&id1=19870622_16&q=judo%2520staatsliga#slide16
	Sanjindo ESV Bischofshofen		Schmölzer					https://www.sn.at/archivsn?img=tPOgeeh0uE4uaiKCvSDBcLkfl3CaXkjLHGmkcMJlZiAX0VxNNH%2B1ajbjaybWbMWKLdGLjevAa4NYfGzx%2BXhFEULzYh39fcLHztmj4RRTHwQfgf5sBn%2B%2FrGw%2FE0gjffll&id1=19870622_16&q=judo%2520staatsliga#slide16
	Sanjindo ESV Bischofshofen	K	Jegg					https://www.sn.at/archivsn?img=tPOgeeh0uE4uaiKCvSDBcLkfl3CaXkjLHGmkcMJlZiAX0VxNNH%2B1ajbjaybWbMWKLdGLjevAa4NYfGzx%2BXhFEULzYh39fcLHztmj4RRTHwQfgf5sBn%2B%2FrGw%2FE0gjffll&id1=19870622_16&q=judo%2520staatsliga#slide16
	Sanjindo ESV Bischofshofen	O	Andrich					https://www.sn.at/archivsn?img=tPOgeeh0uE4uaiKCvSDBcLkfl3CaXkjLHGmkcMJlZiAX0VxNNH%2B1ajbjaybWbMWKLdGLjevAa4NYfGzx%2BXhFEULzYh39fcLHztmj4RRTHwQfgf5sBn%2B%2FrGw%2FE0gjffll&id1=19870622_16&q=judo%2520staatsliga#slide16
	Sanjindo ESV Bischofshofen		Deutschmann					https://www.sn.at/archivsn?img=tPOgeeh0uE4uaiKCvSDBcLkfl3CaXkjLHGmkcMJlZiAX0VxNNH%2B1ajbjaybWbMWKLdGLjevAa4NYfGzx%2BXhFEULzYh39fcLHztmj4RRTHwQfgf5sBn%2B%2FrGw%2FE0gjffll&id1=19870622_16&q=judo%2520staatsliga#slide16
	Sanjindo ESV Bischofshofen		Luger					https://www.sn.at/archivsn?img=tPOgeeh0uE4uaiKCvSDBcLkfl3CaXkjLHGmkcMJlZiAX0VxNNH%2B1ajbjaybWbMWKLdGLjevAa4NYfGzx%2BXhFEULzYh39fcLHztmj4RRTHwQfgf5sBn%2B%2FrGw%2FE0gjffll&id1=19870622_16&q=judo%2520staatsliga#slide16
	Sanjindo ESV Bischofshofen		Schmölzer					
	Sanjindo ESV Bischofshofen		Luger					https://www.sn.at/archivsn?img=loxUbOHsZE7pl0nKeiZHbwRDBEoxSNy7GTJR7%2FV%2BkbtzGG5UNSbDGSykU0QsHC7mBHjiulIWmyeW%2F69FgcAJ2FYg6HDTUaoksrtTchUQVjBcF2PuOCeetE655py9KbLC&id1=19870525_15&q=judo%2520staatsliga#slide15
	Sanjindo ESV Bischofshofen		Hansen					https://www.sn.at/archivsn?img=loxUbOHsZE7pl0nKeiZHbwRDBEoxSNy7GTJR7%2FV%2BkbtzGG5UNSbDGSykU0QsHC7mBHjiulIWmyeW%2F69FgcAJ2FYg6HDTUaoksrtTchUQVjBcF2PuOCeetE655py9KbLC&id1=19870525_15&q=judo%2520staatsliga#slide15
	Sanjindo ESV Bischofshofen	О	Andrich					https://www.sn.at/archivsn?img=loxUbOHsZE7pl0nKeiZHbwRDBEoxSNy7GTJR7%2FV%2BkbtzGG5UNSbDGSykU0QsHC7mBHjiulIWmyeW%2F69FgcAJ2FYg6HDTUaoksrtTchUQVjBcF2PuOCeetE655py9KbLC&id1=19870525_15&q=judo%2520staatsliga#slide15
