Team Name	Weight Class	First Name	Last Name	Source
Sanjindo		André	Lutz	{{Internetquelle |url=https://www.sn.at/archivsn?img=eQsCJqJv2xSqqMgssRszzV4M0EyDWnTZFs0HN4vcco1pxrPRQqu698rEI6hp5t2Tb39funjQAvpBZncknpMFS7DvjDdCSzdJayINp03vtVSMf0JD1zLIgZ3Z4xQAU0dC&id1=lo19981214_15#slide39 |titel=Judo-Entscheidung im letzten Kampf |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1998-12-14 |sprache=de |abruf=2025-07-30}}
			Basik	{{Internetquelle |url=https://www.sn.at/archivsn?img=eQsCJqJv2xSqqMgssRszzV4M0EyDWnTZFs0HN4vcco1pxrPRQqu698rEI6hp5t2Tb39funjQAvpBZncknpMFS7DvjDdCSzdJayINp03vtVSMf0JD1zLIgZ3Z4xQAU0dC&id1=lo19981214_15#slide39 |titel=Judo-Entscheidung im letzten Kampf |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1998-12-14 |sprache=de |abruf=2025-07-30}}
Sanjindo			Reiter	{{Internetquelle |url=https://www.sn.at/archivsn?img=eQsCJqJv2xSqqMgssRszzV4M0EyDWnTZFs0HN4vcco1pxrPRQqu698rEI6hp5t2Tb39funjQAvpBZncknpMFS7DvjDdCSzdJayINp03vtVSMf0JD1zLIgZ3Z4xQAU0dC&id1=lo19981214_15#slide39 |titel=Judo-Entscheidung im letzten Kampf |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1998-12-14 |sprache=de |abruf=2025-07-30}}
Sanjindo		Helmut	Dietz	{{Internetquelle |url=https://www.sn.at/archivsn?img=eQsCJqJv2xSqqMgssRszzV4M0EyDWnTZFs0HN4vcco1pxrPRQqu698rEI6hp5t2Tb39funjQAvpBZncknpMFS7DvjDdCSzdJayINp03vtVSMf0JD1zLIgZ3Z4xQAU0dC&id1=lo19981214_15#slide39 |titel=Judo-Entscheidung im letzten Kampf |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1998-12-14 |sprache=de |abruf=2025-07-30}}
Sanjindo		Sergej	Klischin	{{Internetquelle |url=https://www.sn.at/archivsn?img=eQsCJqJv2xSqqMgssRszzV4M0EyDWnTZFs0HN4vcco1pxrPRQqu698rEI6hp5t2Tb39funjQAvpBZncknpMFS7DvjDdCSzdJayINp03vtVSMf0JD1zLIgZ3Z4xQAU0dC&id1=lo19981214_15#slide39 |titel=Judo-Entscheidung im letzten Kampf |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1998-12-14 |sprache=de |abruf=2025-07-30}}
Sanjindo		Erich	Ivinger	{{Internetquelle |url=https://www.sn.at/archivsn?img=eQsCJqJv2xSqqMgssRszzV4M0EyDWnTZFs0HN4vcco1pxrPRQqu698rEI6hp5t2Tb39funjQAvpBZncknpMFS7DvjDdCSzdJayINp03vtVSMf0JD1zLIgZ3Z4xQAU0dC&id1=lo19981214_15#slide39 |titel=Judo-Entscheidung im letzten Kampf |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1998-12-14 |sprache=de |abruf=2025-07-30}}
Sanjindo			Lutz	{{Internetquelle |url=https://www.sn.at/archivsn?img=eQsCJqJv2xSqqMgssRszzV4M0EyDWnTZFs0HN4vcco1pxrPRQqu698rEI6hp5t2Tb39funjQAvpBZncknpMFS7DvjDdCSzdJayINp03vtVSMf0JD1zLIgZ3Z4xQAU0dC&id1=lo19981214_15#slide39 |titel=Judo-Entscheidung im letzten Kampf |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1998-12-14 |sprache=de |abruf=2025-07-30}}
Sanjindo		Peter	Reiter	https://www.sn.at/archivsn?img=cDrI%2BXufsS2q%2FY1t%2F2qhefIcIl33lRzMv46bDWuUlY6FBQQPZbtPB0VHSeVky4dNsg%2FAgJqRy8gqHvahJ53mnqtvHIagUTHAf0oMJHCbN56cLulJZeEaSIaDLqmf4dmu&id1=lo19981207_19#sn-archiv-47
Sanjindo		Christian	Fuchs	https://www.sn.at/archivsn?img=oNDSWSGD2vo9FIxWf%2FA6HxKqIkUyRvKzpdWsB1X7mLutKpzsyX9NN07yLcCk4gVHCOv02ikitHvNzbGDj%2BXXpFAyKT5tAhz89ydQ%2F0YmSB381AVHxdT4DTiUi2sns10F&id1=19981209_24#slide24
		Josef	Hutter	https://www.sn.at/archivsn?img=oNDSWSGD2vo9FIxWf%2FA6HxKqIkUyRvKzpdWsB1X7mLutKpzsyX9NN07yLcCk4gVHCOv02ikitHvNzbGDj%2BXXpFAyKT5tAhz89ydQ%2F0YmSB381AVHxdT4DTiUi2sns10F&id1=19981209_24#slide24
		Christian	Prechtl	https://www.sn.at/archivsn?img=oNDSWSGD2vo9FIxWf%2FA6HxKqIkUyRvKzpdWsB1X7mLutKpzsyX9NN07yLcCk4gVHCOv02ikitHvNzbGDj%2BXXpFAyKT5tAhz89ydQ%2F0YmSB381AVHxdT4DTiUi2sns10F&id1=19981209_24#slide24
		Adrian	Croitoru	https://www.sn.at/archivsn?img=oNDSWSGD2vo9FIxWf%2FA6HxKqIkUyRvKzpdWsB1X7mLutKpzsyX9NN07yLcCk4gVHCOv02ikitHvNzbGDj%2BXXpFAyKT5tAhz89ydQ%2F0YmSB381AVHxdT4DTiUi2sns10F&id1=19981209_24#slide24
