Country	Weight Class	First Name	Last Name
ASK SALZBURG	-60 kg	Libor	Svec
ASK SALZBURG	-66 kg	Peter	Kirchmaier
ASK SALZBURG	-73 kg	Thomas	Kirchmaier
ASK SALZBURG	-81 kg	Martin	Jahoda
ASK SALZBURG	-90 kg	Roman	Jahoda
ASK SALZBURG	-100 kg	Erich	Sitz
ASK SALZBURG	+100 kg	Stefan	Fenninger
COLOP-SAMURAI VIENNA	-60 kg	B.	Pokryvka
COLOP-SAMURAI VIENNA	-66 kg	Norbert	Ehrenzweig
COLOP-SAMURAI VIENNA	-73 kg	Gunther	Lorbeer
COLOP-SAMURAI VIENNA	-81 kg	Martin	Stump
COLOP-SAMURAI VIENNA	-90 kg	Axel	Eggenfellner
COLOP-SAMURAI VIENNA	-100 kg	Andreas	Jelinek
COLOP-SAMURAI VIENNA	+100 kg	Ireneus	Kwiezinski
JUDO Union RAIKA PINZGAU	-60 kg	Sven	Boonen
JUDO Union RAIKA PINZGAU	-66 kg	Josef	Krnac
JUDO Union RAIKA PINZGAU	-73 kg	Gottfried	Lackner
JUDO Union RAIKA PINZGAU	-81 kg	Norbert	Haimberger
JUDO Union RAIKA PINZGAU	-90 kg	Rupert	Riess
JUDO Union RAIKA PINZGAU	-100 kg	Helmut	Kendler
JUDO Union RAIKA PINZGAU	+100 kg	Stefan	Riedelsberger
SV-RAIFFEISEN STRASSWALCHEN	-60 kg	Roland	Stegmüller
SV-RAIFFEISEN STRASSWALCHEN	-66 kg	Christian	Neuhofer
SV-RAIFFEISEN STRASSWALCHEN	-73 kg	Christoph	Stangl
SV-RAIFFEISEN STRASSWALCHEN	-81 kg	Alois	Trawöger
SV-RAIFFEISEN STRASSWALCHEN	-90 kg	Rudolf	Schneider
SV-RAIFFEISEN STRASSWALCHEN	-100 kg	Antal	Kovacs
SV-RAIFFEISEN STRASSWALCHEN	+100 kg	Josef	Lugstein
ASV/ÖGJ-SALZBURG		Thomas	Höllbacher
ASV/ÖGJ-SALZBURG		Thomas	Lampl
ASV/ÖGJ-SALZBURG		Marco	Lamprecht
ASV/ÖGJ-SALZBURG		Bjorn	Bachmann
ASV/ÖGJ-SALZBURG		Sven	Helbing
ASV/ÖGJ-SALZBURG		Roland	Waldner
ASV/ÖGJ-SALZBURG		Wolfgang	Ebner
ESV-HYPO-SANJINDO		Helmut	Diet
ESV-HYPO-SANJINDO		Klaus	Jegg
ESV-HYPO-SANJINDO		Christian	Fuchs
ESV-HYPO-SANJINDO		Patrick	Reiter
ESV-HYPO-SANJINDO		Sergej	Klischin
ESV-HYPO-SANJINDO		Patrick	Rusch
ESV-HYPO-SANJINDO		Ivan	Radu
SCHARTNER BOMBE ATTNANG		Markus	Baumgartner
SCHARTNER BOMBE ATTNANG		Robert	Niehoff
SCHARTNER BOMBE ATTNANG		Christian	Stadler
SCHARTNER BOMBE ATTNANG		Christian	Jäger
SCHARTNER BOMBE ATTNANG		Julian	Rusu
SCHARTNER BOMBE ATTNANG		Martin	Mandimair
SCHARTNER BOMBE ATTNANG		Imre	Csösz
WSG-SWAROVSKI JUDO WATTENS		Gizur	Erik
WSG-SWAROVSKI JUDO WATTENS		Erik	Narr
WSG-SWAROVSKI JUDO WATTENS		Schiffmann	Perktold
WSG-SWAROVSKI JUDO WATTENS		Narr	Parreiner
WSG-SWAROVSKI JUDO WATTENS		Perktold	Pirpamer
WSG-SWAROVSKI JUDO WATTENS		Parreiner	Lieb
WSG-SWAROVSKI JUDO WATTENS		Lieb	Hannes
WSG-SWAROVSKI JUDO WATTENS		Hannes	Roman
WSG-SWAROVSKI JUDO WATTENS		Günter	Harald
JC SPARKASSE WIMPASSING	-60 kg	Peter	Ollary
JC SPARKASSE WIMPASSING	-66 kg	Andreas	Mitterfellner
JC SPARKASSE WIMPASSING	-73 kg	Bernd	Ganser
JC SPARKASSE WIMPASSING	-81 kg	Michael	Artner
JC SPARKASSE WIMPASSING	-90 kg	Peter	Havasi
JC SPARKASSE WIMPASSING	-100 kg	Thomas	Etlinger
JC SPARKASSE WIMPASSING	+100 kg	Eric	Krieger
JZ RAPSO STRASSHAM	-66 kg	Dogan	Yeter
JZ RAPSO STRASSHAM	-73 kg	Max	Wagenleitner
JZ RAPSO STRASSHAM	-81 kg	Kristian	Tolgyesi
JZ RAPSO STRASSHAM	-90 kg	Botond	Tolgyesi
JZ RAPSO STRASSHAM	-100 kg	Mario	Rubenser
JZ RAPSO STRASSHAM	+100 kg	Otto	Bruckner
UJZ MÜHLVIERTEL	-60 kg	Hans Peter	Strubreiter
UJZ MÜHLVIERTEL	-66 kg	Andreas	Trudenberger
UJZ MÜHLVIERTEL	-73 kg	Ernst	Hofer
