Team Name	Country	Weight Class	First Name	Last Name	Gastkämpfer	S	U	N	Count	Source
JC ASK-SALZBURG	AUT	-60 kg								
JC ASK-SALZBURG	AUT	-66 kg	Peter	Kirchmaier						
JC ASK-SALZBURG	AUT	-73 kg	Stefan	Obermaier						
JC ASK-SALZBURG	AUT	-81 kg								
JC ASK-SALZBURG	AUT	-90 kg	Martin	Poiger						
JC ASK-SALZBURG	AUT	-100 kg	Erich	Sitz						
JC ASK-SALZBURG	AUT	+100 kg	Stefan	Fenninger						
COLOP-SAMURAI VIENNA	AUT	-60 kg	Konrad	Luzinski						
COLOP-SAMURAI VIENNA	AUT	-66 kg	Can	Topaloglu						
COLOP-SAMURAI VIENNA	AUT	-73 kg	Martin	Stump						
COLOP-SAMURAI VIENNA	AUT	-81 kg	Gunther	Lorbeer						
COLOP-SAMURAI VIENNA	AUT	-90 kg	Axel	Eggenfellner						
COLOP-SAMURAI VIENNA	AUT	-100 kg	Andreas	Jelinek						
COLOP-SAMURAI VIENNA	AUT	+100 kg	Franz	Halvin						
JUDO Union RAIKA PINZGAU	AUT	-60 kg	Sven	Boonen						
JUDO Union RAIKA PINZGAU	AUT	-66 kg	Josef	Krnac						
JUDO Union RAIKA PINZGAU	AUT	-73 kg	Gottfried	Lackner						
JUDO Union RAIKA PINZGAU	AUT	-81 kg	Norbert	Haimberger						
JUDO Union RAIKA PINZGAU	AUT	-90 kg	Rupert	Riess						
JUDO Union RAIKA PINZGAU	AUT	-100 kg	Helmut	Kendler						
JUDO Union RAIKA PINZGAU	AUT	+100 kg	Stefan	Riedlsberger						
SV-RAIFFEISEN STRASSWALCHEN	AUT	-60 kg	Roland	Stegmüller						
SV-RAIFFEISEN STRASSWALCHEN	AUT	-66 kg	Christian	Neuhofer						
SV-RAIFFEISEN STRASSWALCHEN	AUT	-73 kg	Christoph	Stangl						
SV-RAIFFEISEN STRASSWALCHEN	AUT	-81 kg	Kanzler	Istvan						
SV-RAIFFEISEN STRASSWALCHEN	AUT	-90 kg	Peter	Linzmeier						
SV-RAIFFEISEN STRASSWALCHEN	AUT	-100 kg	Patrick	Rusch						
SV-RAIFFEISEN STRASSWALCHEN	AUT	+100 kg	Kovacs	Antal						
ASV/ÖGJ-SALZBURG	AUT	-60 kg	Thomas	Höllbacher						
ASV/ÖGJ-SALZBURG	AUT	-66 kg	Thomas	Lampl						
ASV/ÖGJ-SALZBURG	AUT	-73 kg	Erich	Ivinger						
ASV/ÖGJ-SALZBURG	AUT	-81 kg	Björn	Bachmann						
ASV/ÖGJ-SALZBURG	AUT	-90 kg	Sven	Helbing						
ASV/ÖGJ-SALZBURG	AUT	-100 kg	Roland	Waldner						
ASV/ÖGJ-SALZBURG	AUT	+100 kg	Wolfgang	Ebner						
ESV-HYPO-SANJINDO BISCHOFSHOFEN	AUT	-60 kg	Vladimir	Degtiarov						
ESV-HYPO-SANJINDO BISCHOFSHOFEN	AUT	-66 kg	Klaus	Jegg						
ESV-HYPO-SANJINDO BISCHOFSHOFEN	AUT	-73 kg	Stefan	Gruber						
ESV-HYPO-SANJINDO BISCHOFSHOFEN	AUT	-81 kg	Patrick	Reiter						
ESV-HYPO-SANJINDO BISCHOFSHOFEN	AUT	-90 kg	Stefan	Schöberl						
ESV-HYPO-SANJINDO BISCHOFSHOFEN	AUT	-100 kg	Andre	Lutz						
ESV-HYPO-SANJINDO BISCHOFSHOFEN	AUT	+100 kg	Ivan	Radu						
JC WIMPASSING SPARKASSE	AUT	-60 kg	Peter	Ollary						
JC WIMPASSING SPARKASSE	AUT	-66 kg	Konrad	Talos						
JC WIMPASSING SPARKASSE	AUT	-73 kg	Bernd	Ganser						
JC WIMPASSING SPARKASSE	AUT	-81 kg	Michael	Artner						
JC WIMPASSING SPARKASSE	AUT	-90 kg	Peter	Havasi						
JC WIMPASSING SPARKASSE	AUT	-100 kg	Thomas	Etlinger						
JC WIMPASSING SPARKASSE	AUT	+100 kg	Eric	Krieger						
1 WSG-SWAROVSKI JUDO WATTENS	AUT	-60 kg	Ivo	Passolli						
1 WSG-SWAROVSKI JUDO WATTENS	AUT	-66 kg	Günter	Narr						
1 WSG-SWAROVSKI JUDO WATTENS	AUT	-73 kg	Christoph	Schwenninger						
1 WSG-SWAROVSKI JUDO WATTENS	AUT	-81 kg	Florian	Frischmann						
1 WSG-SWAROVSKI JUDO WATTENS	AUT	-90 kg	Bernd	Pirpamer						
1 WSG-SWAROVSKI JUDO WATTENS	AUT	-100 kg	Gerd	Erber						
1 WSG-SWAROVSKI JUDO WATTENS	AUT	+100 kg	Andreas	Bischofer						
