Team Name	Country	Weight Class	First Name	Last Name	S	U	N	Count	Subscore_Plus	Subscore_Minus	Subscore	Source
LZ Wels	Austria	-63 kg	Sabrina	Filzmoser	3	0	0	3	30	0	30	{{Internetquelle |url=https://www.nachrichten.at/oberoesterreich/wels/Welser-Judo-Ladys-sind-Staatsmeister;art67,66625 |titel=Welser Judo-Ladys sind Staatsmeister |sprache=de |abruf=2025-01-14}}
LZ Wels	Austria		Fabiane	Hukuda-Strubreiter	1			1	10		10	{{Internetquelle |url=https://www.nachrichten.at/oberoesterreich/wels/Welser-Judo-Ladys-sind-Staatsmeister;art67,66625 |titel=Welser Judo-Ladys sind Staatsmeister |sprache=de |abruf=2025-01-14}}
LZ Wels	Austria		Petra	Steinbauer	1			1	10		10	{{Internetquelle |url=https://www.nachrichten.at/oberoesterreich/wels/Welser-Judo-Ladys-sind-Staatsmeister;art67,66625 |titel=Welser Judo-Ladys sind Staatsmeister |sprache=de |abruf=2025-01-14}}
LZ Wels	Austria		Christine	Füreder								{{Internetquelle |url=https://www.nachrichten.at/oberoesterreich/wels/Welser-Judo-Ladys-sind-Staatsmeister;art67,66625 |titel=Welser Judo-Ladys sind Staatsmeister |sprache=de |abruf=2025-01-14}}
LZ Wels	Austria		Magdalena	Plasser								{{Internetquelle |url=https://www.nachrichten.at/oberoesterreich/wels/Welser-Judo-Ladys-sind-Staatsmeister;art67,66625 |titel=Welser Judo-Ladys sind Staatsmeister |sprache=de |abruf=2025-01-14}}
LZ Wels	Austria		Lisa	Wöss								{{Internetquelle |url=https://www.nachrichten.at/oberoesterreich/wels/Welser-Judo-Ladys-sind-Staatsmeister;art67,66625 |titel=Welser Judo-Ladys sind Staatsmeister |sprache=de |abruf=2025-01-14}}
LZ Wels	Austria		Desiree	Hufnagl								{{Internetquelle |url=https://www.nachrichten.at/oberoesterreich/wels/Welser-Judo-Ladys-sind-Staatsmeister;art67,66625 |titel=Welser Judo-Ladys sind Staatsmeister |sprache=de |abruf=2025-01-14}}
LZ Wels	Austria		Julia	Reisinger								{{Internetquelle |url=https://www.nachrichten.at/oberoesterreich/wels/Welser-Judo-Ladys-sind-Staatsmeister;art67,66625 |titel=Welser Judo-Ladys sind Staatsmeister |sprache=de |abruf=2025-01-14}}
LZ Wels	Austria	Trainer	Willi	Reizelsdorfer								{{Internetquelle |url=https://www.nachrichten.at/oberoesterreich/wels/Welser-Judo-Ladys-sind-Staatsmeister;art67,66625 |titel=Welser Judo-Ladys sind Staatsmeister |sprache=de |abruf=2025-01-14}}
UJZ Mühlviertel	Austria	Trainer	Josef	Reiter								{{Internetquelle |url=https://www.nachrichten.at/oberoesterreich/wels/Welser-Judo-Ladys-sind-Staatsmeister;art67,66625 |titel=Welser Judo-Ladys sind Staatsmeister |sprache=de |abruf=2025-01-14}}
UJZ Mühlviertel	Austria	Trainer	Marianne	Morawek	1			1				{{Internetquelle |url=https://www.nachrichten.at/oberoesterreich/wels/Welser-Judo-Ladys-sind-Staatsmeister;art67,66625 |titel=Welser Judo-Ladys sind Staatsmeister |sprache=de |abruf=2025-01-14}}
UJZ Mühlviertel	Austria	Trainer	Silvia	Schlagnitweit	1			1				{{Internetquelle |url=https://www.nachrichten.at/oberoesterreich/wels/Welser-Judo-Ladys-sind-Staatsmeister;art67,66625 |titel=Welser Judo-Ladys sind Staatsmeister |sprache=de |abruf=2025-01-14}}
