Last Name	First Name	Team Name	S	U	N	Count	Weight Class	Source
BOR	Barna	Judo Union Raiffeisen Flachgau 1	12	0	0	12		
BRUNNER	Tobias	Judo Union Raiffeisen Flachgau 1	8	2	3	13		
PAISCHER	Ludwig	Judo Union Raiffeisen Flachgau 1	8	0	0	8		
SCHIRNHOFER	Max	Judo Union Raiffeisen Flachgau 1	8	0	2	10		
KRONBERGER	Stefan	Judo Union Raiffeisen Flachgau 1	6	2	5	13		
WARTBICHLER	Hannes	Judo Union Raiffeisen Flachgau 1	6	0	5	11		
POHN	Bernhard	Judo Union Raiffeisen Flachgau 1	4	0	3	7		
DRAKSIC	Rok	Judo Union Raiffeisen Flachgau 1	2	0	0	2		
SUGOI URIARTE	Marcos	Judo Union Raiffeisen Flachgau 1	1	1	1	3		
STRASSER	Florian	Judo Union Raiffeisen Flachgau 1	1	1	1	3		
SCHIRNHOFER	Felix	Judo Union Raiffeisen Flachgau 1	1	0	1	2		
BRUNNER	Thomas	Judo Union Raiffeisen Flachgau 1	1	0	2	3		
MÜKISCH	Philipp	Judo Union Raiffeisen Flachgau 1	1	0	4	5		
HOFMANN	Lukas	Judo Union Raiffeisen Flachgau 1	0	0	1	1		
BINDER	Josef	Judo Union Raiffeisen Flachgau 1	0	0	1	1		
KRONBERGER	Christoph	Judo Union Raiffeisen Flachgau 1	0	0	2	2		
PÖLZLEITHNER	Peter	Judo Union Raiffeisen Flachgau 1	0	0	2	2		
HELBING	Sven	ASV-ÖGJ Salzburg/Puch	8	1	1	10		
HAAS	Christian	ASV-ÖGJ Salzburg/Puch	5	1	4	10		
KIRCHMAIER	Herbert	ASV-ÖGJ Salzburg/Puch	2	0	6	8		
GRABMAIER	Hans-Peter	ASV-ÖGJ Salzburg/Puch	2	0	6	8		
SCHULZE	Stefan	ASV-ÖGJ Salzburg/Puch	1	0	1	2		
SÜSS	Jürgen	ASV-ÖGJ Salzburg/Puch	1	0	6	7		
KIRCHMAIER	Thomas	ASV-ÖGJ Salzburg/Puch	0	0	1	1		
BAUMGARTNER	Thomas	ASV-ÖGJ Salzburg/Puch	0	0	2	2		
ROHRMOSER	Martin	ASV-ÖGJ Salzburg/Puch	0	0	2	2		
GASSER	Alfred	ASV-ÖGJ Salzburg/Puch	0	0	2	2		
ATZMÜLLER	Helmuth	ASV-ÖGJ Salzburg/Puch	0	0	3	3		
LAIREITER	Johann	ASV-ÖGJ Salzburg/Puch	0	0	3	3		
BONECKER	Marco	ASV-ÖGJ Salzburg/Puch	0	0	6	6		
KIRCHMAIER	Siegfried	ASV-ÖGJ Salzburg/Puch	0	0	6	6		
KRNAC	Josef	Judo Union Raika Pinzgau	9	0	0	9		
KOPISKE	Robert	Judo Union Raika Pinzgau	8	0	0	8		
PETRIKOV	Pavel	Judo Union Raika Pinzgau	4	0	0	4		
MAYR	Bernhard	Judo Union Raika Pinzgau	4	0	4	8		
MAYR	Michael	Judo Union Raika Pinzgau	3	2	2	7		
HÖLLWART	Hermann	Judo Union Raika Pinzgau	3	2	5	10		
PIRCHNER	Christian	Judo Union Raika Pinzgau	2	0	8	10		
KIMESWENGER	Stefan	Judo Union Raika Pinzgau	1	1	5	7		
RIESS	Rupert Jun.	Judo Union Raika Pinzgau	1	0	0	1		
WIMBERGER	Markus	Judo Union Raika Pinzgau	1	0	1	2		
SOMMERER-HINTERBICHLER	Andreas	Judo Union Raika Pinzgau	1	0	5	6		
DUMKE	Robert	Judo Union Raika Pinzgau	0	0	1	1		
RIESS	Christian	Judo Union Raika Pinzgau	0	0	2	2		
HERZOG	Andreas	Judo Union Raika Pinzgau	0	0	2	2		
JURAS	Daniel	Judo Union Raika Pinzgau	0	0	2	2		
ASCHABER	Anton	Judo Union Raika Pinzgau	0	0	5	5		
OTT	Marcel	SANDOKAN Galaxy Tigers	5	1	0	6		
WEICHINGER	Alexander	SANDOKAN Galaxy Tigers	5	1	4	10		
REICHMANN	Manuel	SANDOKAN Galaxy Tigers	4	2	3	9		
RANDL	Milan	SANDOKAN Galaxy Tigers	4	1	1	6		
KUCIARA	Stefan	SANDOKAN Galaxy Tigers	4	1	4	9		
GEIER	Gabor	SANDOKAN Galaxy Tigers	4	0	2	6		
REICHSTEIN	Julian	SANDOKAN Galaxy Tigers	3	0	7	10		
BURJAN	Laszlo	SANDOKAN Galaxy Tigers	2	0	0	2		
HAIDER	Oliver	SANDOKAN Galaxy Tigers	0	1	6	7		
STANSCHITZ	Rafael	SANDOKAN Galaxy Tigers	0	0	1	1		
ANLANGER	Stephan	SANDOKAN Galaxy Tigers	0	0	1	1		
KUDERA	Stefan	SANDOKAN Galaxy Tigers	0	0	1	1		
FUCHS	Christoph	SANDOKAN Galaxy Tigers	0	0	2	2		
SCHAUBMAYR	Rene	Union Judo Zentrum Mühlviertel	8	1	1	10		
REITER	Georg	Union Judo Zentrum Mühlviertel	8	1	4	13		
MATYJASZEK	Przemyslaw	Union Judo Zentrum Mühlviertel	8	0	0	8		
GERZER	Dominik	Union Judo Zentrum Mühlviertel	7	0	0	7		
SCHARINGER	Peter	Union Judo Zentrum Mühlviertel	5	2	1	8		
FERCHER	Albert	Union Judo Zentrum Mühlviertel	5	2	2	9		
HADFI	Daniel	Union Judo Zentrum Mühlviertel	3	0	1	4		
PÜHRINGER	Reinhold	Union Judo Zentrum Mühlviertel	2	1	3	6		
KASPER	Roland	Union Judo Zentrum Mühlviertel	2	0	7	9		
ALLERSTORFER	Daniel	Union Judo Zentrum Mühlviertel	1	0	2	3		
DOBERSBERGER	Martin	Union Judo Zentrum Mühlviertel	1	0	2	3		
HOFER	Simon	Union Judo Zentrum Mühlviertel	1	0	2	3		
WOJNAROWICZ	Janusz	Union Judo Zentrum Mühlviertel	1	0	2	3		
BRANDTNER	Gregor	Union Judo Zentrum Mühlviertel	1	0	3	4		
PFISTERMÜLLER	Peter	Union Judo Zentrum Mühlviertel	0	0	1	1		
KÜCHER	Stefan	Union Judo Zentrum Mühlviertel	0	0	1	1		
BAYR	Florian	Union Judo Zentrum Mühlviertel	0	0	2	2		
HUEMER	Mathias	Union Judo Zentrum Mühlviertel	0	0	4	4		
BACHMANN	Björn	WSG Swarovski Judo Wattens	8	0	0	8		
PASOLLI	Ivo	WSG Swarovski Judo Wattens	8	0	4	12		
GRASSMAIR	Severin	WSG Swarovski Judo Wattens	5	0	5	10		
IVINGER	Erich	WSG Swarovski Judo Wattens	4	1	2	7		
SCHWEINBERGER	Simon	WSG Swarovski Judo Wattens	4	1	6	11		
FRISCHMANN	Florian	WSG Swarovski Judo Wattens	3	2	7	12		
