Rang	Last Name	First Name	Team Name	S	U	N	Count	S/K	Gastkämpfer	Source
2	SCHIRNHOFER	Max	Judo Union Raiffeisen Flachgau 1	13	1	0	14	92,9%		
7	KRONBERGER	Stefan	Judo Union Raiffeisen Flachgau 1	12	3	5	20	60,0%		
11	PAISCHER	Ludwig	Judo Union Raiffeisen Flachgau 1	11	0	1	12	91,7%		
12	KRONBERGER	Christoph	Judo Union Raiffeisen Flachgau 1	10	2	4	16	62,5%		
31	BOR	Barna	Judo Union Raiffeisen Flachgau 1	6	0	0	6	100,0%		
38	SCHIRNHOFER	Felix	Judo Union Raiffeisen Flachgau 1	5	2	2	9	55,6%		
48	KOWALSKI	Tomasz	Judo Union Raiffeisen Flachgau 1	4	2	2	8	50,0%		
56	WARTBICHLER	Hannes	Judo Union Raiffeisen Flachgau 1	3	2	6	11	27,3%		
57	POHN	Bernhard	Judo Union Raiffeisen Flachgau 1	3	2	7	12	25,0%		
59	ADAMIEC	Tomasz	Judo Union Raiffeisen Flachgau 1	3	0	1	4	75,0%		
63	SPITZER	Kevin	Judo Union Raiffeisen Flachgau 1	3	0	6	9	33,3%		
69	STRASSER	Florian	Judo Union Raiffeisen Flachgau 1	2	0	0	2	100,0%		
79	HOFMANN	Lukas	Judo Union Raiffeisen Flachgau 1	2	0	3	5	40,0%		
96	ELMONT	Daxenos	Judo Union Raiffeisen Flachgau 1	1	0	1	2	50,0%		
102	PÖLZLEITHNER	Peter	Judo Union Raiffeisen Flachgau 1	1	0	3	4	25,0%		
110	BRUNNER	Thomas	Judo Union Raiffeisen Flachgau 1	0	0	1	1	0,0%		
110	BINDER	Josef	Judo Union Raiffeisen Flachgau 1	0	0	1	1	0,0%		
110	MÜKISCH	Philipp	Judo Union Raiffeisen Flachgau 1	0	0	1	1	0,0%		
120	PRASCHL	Johannes	Judo Union Raiffeisen Flachgau 1	0	0	2	2	0,0%		
3	RIESS	Rupert Jun.	Judo Union Raika Pinzgau	13	1	3	17	76,5%		
4	MITTERFELLNER	Andreas	Judo Union Raika Pinzgau	13	0	1	14	92,9%		
14	HÖLLWART	Hermann	Judo Union Raika Pinzgau	9	3	6	18	50,0%		
20	MAYR	Michael	Judo Union Raika Pinzgau	8	2	2	12	66,7%		
26	MAYER	Christoph	Judo Union Raika Pinzgau	7	1	8	16	43,8%		
33	KRNAC	Josef	Judo Union Raika Pinzgau	6	0	1	7	85,7%		
52	PETRIKOV	Pavel	Judo Union Raika Pinzgau	4	0	0	4	100,0%		
69	NYMANN	Marcus	Judo Union Raika Pinzgau	2	0	0	2	100,0%		
82	ZEHENTNER	David	Judo Union Raika Pinzgau	2	0	10	12	16,7%		
88	WIMBERGER	Max	Judo Union Raika Pinzgau	1	1	2	4	25,0%		
89	SOMMERER-HINTERBICHLER	Andreas	Judo Union Raika Pinzgau	1	1	4	6	16,7%		
102	RIESS	Christian	Judo Union Raika Pinzgau	1	0	3	4	25,0%		
107	ASCHABER	Anton	Judo Union Raika Pinzgau	1	0	6	7	14,3%		
110	KENDLER	Christopher	Judo Union Raika Pinzgau	0	0	1	1	0,0%		
120	LANGREITER	Manuel	Judo Union Raika Pinzgau	0	0	2	2	0,0%		
22	HUSCAVA	Dominic	Judoclub COLOP Samurai	8	2	6	16	50,0%		
41	STADLBAUER	Christian	Judoclub COLOP Samurai	5	1	3	9	55,6%		
43	RADLHERR	Christoph	Judoclub COLOP Samurai	5	1	9	15	33,3%		
47	ZACHAR	Christian	Judoclub COLOP Samurai	4	4	3	11	36,4%		
49	STUMPF	Norbert	Judoclub COLOP Samurai	4	2	3	9	44,4%		
67	KLYS	Artur	Judoclub COLOP Samurai	2	1	1	4	50,0%		
69	BORNATOWICZ	Thomas	Judoclub COLOP Samurai	2	0	0	2	100,0%		
76	PRENTNER	Clemens	Judoclub COLOP Samurai	2	0	1	3	66,7%		
81	WEISSTEINER	Bernhard	Judoclub COLOP Samurai	2	0	4	6	33,3%		
87	TAMAS	Zoltan	Judoclub COLOP Samurai	1	1	1	3	33,3%		
92	BRAZDOVICS	Peter	Judoclub COLOP Samurai	1	0	0	1	100,0%		
99	FILEK	Rafal	Judoclub COLOP Samurai	1	0	2	3	33,3%		
109	JELINEK	Andreas	Judoclub COLOP Samurai	1	0	8	9	11,1%		
120	HOCHEGGER	Simon	Judoclub COLOP Samurai	0	0	2	2	0,0%		
139	KUBA	Sascha	Judoclub COLOP Samurai	0	0	7	7	0,0%		
19	HAMINGER	Thomas	LZ Multikraft Wels	8	2	1	11	72,7%		
25	FELLNER	Hans-Peter	LZ Multikraft Wels	7	1	5	13	53,8%		
27	ABRAHAM	Elöd	LZ Multikraft Wels	6	2	1	9	66,7%		
43	STEGMAYER	Dominik	LZ Multikraft Wels	5	1	9	15	33,3%		
58	EDER	Markus	LZ Multikraft Wels	3	1	5	9	33,3%		
69	SIMIONESCU	Vladut	LZ Multikraft Wels	2	0	0	2	100,0%		
84	RIEGLER	Stefan	LZ Multikraft Wels	2	0	13	15	13,3%		
99	OBERROITHNER	Julian	LZ Multikraft Wels	1	0	2	3	33,3%		
102	PAPP	Robert	LZ Multikraft Wels	1	0	3	4	25,0%		
108	MENDES	Manuel	LZ Multikraft Wels	1	0	7	8	12,5%		
120	DULLINGER	Manfred	LZ Multikraft Wels	0	0	2	2	0,0%		
142	LIEBENBERGER	Gregor	LZ Multikraft Wels	0	0	9	9	0,0%		
