Position	Team Name	Last Name	First Name	Nationality	Source
1	Galaxy Judo Tigers	OTT	Marcel	Austria	{{Internetquelle |url=https://www.judoaustria.at/keine-haengenden-koepfe-aber-ein-meister-zum-nachdenken/ |titel=Keine hängenden Köpfe, aber ein Meister zum Nachdenken |werk=Judo Austria |datum=2011-10-24 |sprache=de-AT |abruf=2026-01-04}}
		ABRAHAM	Elöd		
		ACKERL	Philipp		
		ACKERL	Thomas		
		ALLERSTORFER	Daniel		
		ANGERER	Stefan		
		ASCHABER	Anton		
		BALLA	Zsolt-Tamas		
		BERTAGNOLI	Martin		
		BOR	Barna		
		BORNATOWICZ	Thomas		
		BRATA	Daniel		
		BURJAN	Laszlo		
		BüRGES	Milan		
		DAVIS	Thomas Clifford		
		DOBERSBERGER	Martin		
		DRACK	Lukas		
		DUM	Alois		
		EDER	Marcus		
		EIBENSTEINER	Gregor		
		ENGLMAIER	Tobias		
		FARKAS	Balint		
		FELLNER	Hans-Peter		
		FERCHER	Albert		
		FILIMON	Giuliano		
		FURCH	Lukas		
		GEBER	David		
		GEIER	Gabor		
		GERMROTH	Florian		
		GERZER	Dominik		
		GLATZL	Thomas		
		GRASMUGG	Marc		
		GRASSMAIR	Severin		
		GROISS	Thomas		
		GUTSJAHR	Lukas		
		HAASMANN	Nick		
		HALAS	Marian		
		HAMINGER	Thomas		
		HAUSER	Franz		
		HERZOG	Andreas		
		HOFER	Simon		
		HOFMANN	Lukas		
		HOFMANN	Nico		
		HOLLAUS	Anton		
		HOLLAUS	Franz		
		HOLZER	Christian		
		HUEMER	Mathias		
		HUSCAVA	Dominic		
		HÖDL	Manuel		
		HÖLLWART	Hermann		
		IMRE	Lehel		
		ISMAILOV	Kamal		
		IVINGER	Erich		
		JELINEK	Andreas		
		KAISER	Paul		
		KENDLER	Christopher		
		KOPISKE	Robert		
		KRNAC	Josef		
		KRONBERGER	Christoph		
		KRONBERGER	Stefan		
		KRONSCHLÄGER	Florian		
		KRPALEK	Lukas		
		KUBA	Sascha		
		KUCIARA	Stefan		
		KUDERA	Stefan		
		LACCHINI	Alexander		
		LACHNER	Christian		
		LANG	Dominik		
		LAZEA	Amado		
		LINDNER	Florian		
		MAJER	Tibor		
		MARIJANOVIC	Tomislav		
		MATEI	Daniel		
		MATYJASZEK	Przemyslaw		
		MAYER	Christoph		
		MAYR	Michael		
		MENDES	Manuel		
		MESTER	Daniel		
		MITTERFELLNER	Andreas		
		MOSER	Markus		
		MUJADZIC	Muhamed		
		MUSSNIG	Daniel		
		MÜKISCH	Philipp		
		NATEA	Ilie		
		OBERMAYR	Stefan		
		OBERROITHNER	Julian		
		PAISCHER	Ludwig		
		PAPP	Robert		
		PARRAINER	Harald		
		PASOLLI	Ivo		
		PFEIFFER	Johannes		
		PFISTERMÜLLER	Peter		
		PFLEGER	Christian		
		PICHLER	Christian		
		PIRCHNER	Christian		
		POHN	Bernhard		
		POPP	Philipp		
		PRASCHL	Johannes		
		PREM	Gerhard		
		PRENTNER	Clemens		
		PURECE	Valean		
		PÖLZLEITHNER	Peter		
		PÜHRINGER	Reinhold		
		RADLHERR	Christoph		
		RAMMLER	Johannes		
		REICHMANN	Manuel		
		REICHSTEIN	Julian		
		REITER	Georg		
		RIBITSCH	Stephan		
		RIEGLER	Stefan		
		RIESS	Christian		
		RIESS	Rupert Jun		
		SCHARINGER	Peter		
		SCHAUBMAYR	Rene		
		SCHIRNHOFER	Felix		
		SCHIRNHOFER	Maximilian		
		SCHLÖGL	Martin		
		SCHMIDHOFER	Thomas		
		SCHWEINBERGER	Simon		
		SCHÖGLER	Christoph		
		SHALA	Driton		
		SIMIONESCU	Vladut		
		SOBANOV	Stepan		
		SOMMERER-HINTERBICHLER	Andreas		
		SPITZER	Kevin		
		STADLBAUER	Christian		
		STEGMAYER	Dominik		
		STEGMUELLER	Roland		
		STEINICKE	Alexander		
		STEINLECHNER	Thomas		
		STERNER	Thomas		
		STRASSER	Florian		
		STUMPF	Norbert		
		TAMAS	Daniel		
		TIEFGRABER	Andreas		
		VESELY	Tomas		
		WAGNER	Steffen		
		WARTBICHLER	Hannes		
		WEICHINGER	Alexander		
		WEIßSTEINER	Bernhard		
		WILDAUER	Peter		
		WIMBERGER	Markus		
		WIMBERGER	Matthias		
		WINDBICHLER	Tobias		
		WINKLER	Michael		
		ZACHAR	Christian		
		ZEHENTNER	David		
