Position	Team Name	First Name	Last Name	Gastkämpfer	S	Count	U	N	Source
		Last Name	First Name						
		ACKERL	Philipp						
		ACKERL	Thomas						
		ALLERSTORFER	Daniel						
		ASCHABER	Anton						
		AUTENGRUBER	Stefan						
		BERTAGNOLI	Martin						
		BONECKER	Marco						
		BOR	Barna						
		BORCHASHVILI	Kimran						
		BORCHASHVILI	Shamil1						
		BORCHASHVILLI	Adam						
		BRUNNER	Tobias						
		BUBANJA	Marko						
		CEHAJIC	Tarik						
		CERAJ	Matjaz						
		CIRJENIC	Miklos						
		CSOKNYAI	Laszlo						
		DUM	Alois						
		DUMKE	Robert						
		EDER	Marcus						
		EDER	Valentin						
		EIBENSTEINER	Gregor						
		ENGLMAIER	Tobias						
		FELLNER	Hans-Peter						
		FERCHER	Albert						
		FROSCHAUER	Alexander						
		FURCH	Lukas						
		GARCIA CASTILLO	Jonathan						
		GEIER	Gabor						
		GERCHEV	Yanislav						
		GERZER	Dominik						
		GRAF	Philip						
		GRASMUGG	Jürgen						
		GRASMUGG	Marc						
		GROISS	Thomas						
		GRÖSSIG	Gerald						
		HAASMANN	Nick						
		HACKL	Florian						
		HAMINGER	Thomas						
		HAUCH	Alexander						
		HELM	Manuel						
		HIRSCHMUGL	Alwin						
		HOFER	Simon						
		HOFMANN	Lukas						
		HOFMANN	Nico						
		HORAK	Michal						
		HUEMER	Mathias						
		HUSCAVA	Dominic						
		HÖDL	Manuel						
		HÖLLWART	Hermann						
		JODL	Christoph						
		JURECKA	Alexandr						
		KAHLIG	Markus						
		KAINZ	Fabian						
		KALASZ	Peter						
		KARNER	Andreas						
		KASTINGER	Johannes						
		KOPISKE	Robert						
		KRENMAYR	Gerold						
		KRONBERGER	Christoph						
		KRONBERGER	Stefan						
		KRONSCHLÄGER	Florian						
		KRPALEK	Lukas						
		KUBA	Sascha						
		KUCIARA	Stefan						
		KUDERA	Stefan						
		LANG	Dominik						
		LIEBENBERGER	Gregor						
		MAJER	Tibor						
		MARIJANOVIC	Tomislav						
		MARTINCEVIC	Patrick						
		MATEI	Daniel						
		MAYER	Christoph						
		MAYR	Bernhard						
		MERGE	Adrain						
		MILICHOVSKY	Matus						
		MITTERFELLNER	Andreas						
		MUJADZIC	Muhamed						
		MUSSNIG	Daniel						
		MÜKISCH	Philipp						
		NYMAN	Marcus						
		OBERMAYR	Stefan						
		OSSIASCHWILI	Georgi						
		OSTASZEWSKI	Dominik						
		OTT	Marcel						
		PACHER	Johannes						
		PAISCHER	Ludwig						
		PESSENTHEINER	Andreas						
		PETRIKOV	Pavel						
		PFEIFFER	Dino						
		PFEIFFER	Johannes						
		PFISTERMÜLLER	Peter						
		PICHLER	Christian						
		PORA	Daniel						
		PRASCHL	Johannes						
		PRENTNER	Clemens						
		PÜHRINGER	Reinhold						
		RADLHERR	Christoph						
		RANDL	Milan						
		REICHMANN	Manuel						
		REICHSTEIN	Julian						
		REITER	Georg						
		RIBITSCH	Stephan						
		RIEGLER	Stefan						
		RIESS	Christian						
		RIESS	Rupert Jun						
		RUTZENSTORFER	Christian						
		RUTZENSTORFER	Philipp						
		SCHARINGER	Peter						
