Position	First Name	Last Name	Team Name	Weight Class	Score	Subscore	Ippon	Wazaari	Yuko	Koka	Shido	Hansoku-make	Source	Nationality	Country	Gastkämpfer
1	Nick	Haasmann	Volksbank Galaxy Judo Tigers	-73 kg	16	149	9	4	4	0	20	1	{{Internetquelle |url=https://www.judoaustria.at/galaxy-tigers-verteidigen-bundesliga-titel/ |titel=Galaxy Tigers verteidigen Bundesliga-Titel |werk=Judo Austria |datum=2014-11-22 |sprache=de-DE |abruf=2024-11-30}}	Austria	Austria	
2	Laszlo	Csoknyai	Judo Union Raiffeisen Flachgau	-81 kg	14	119	5	9	3	0	11	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Hungary	Hungary	
3	Maximilian	Schneider	Volksbank Galaxy Judo Tigers	-81 kg	13	106	8	4	4	0	5	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
4	Dominik	Waldhör	Judo Union Raiffeisen Flachgau	-60 kg	12	120	8	10	5	0	5	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
5	Robert	Kopiske	Judo Union Raika Pinzgau	-66 kg	12	117	7	11	4	0	11	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
6	Kimran	Borchashvili	Multikraft Wels	-60 kg	12	111	10	4	2	0	19	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
7	Marko	Bubanja	cafe+co Vienna Samurai 1	-90 kg	11	110	8	7	5	0	10	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
8	Srdjan	Mrvaljevic	SU Noricum Raiffeisenbank Leibnitz Judo	-90 kg	11	110	6	3	3	0	12	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Montenegro	Montenegro	
9	Andreas	Mitterfellner	Judo Union Raika Pinzgau	-73 kg	11	105	9	4	4	0	22	3	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
10	Stefan	Kudera	Volksbank Galaxy Judo Tigers	-60 kg	11	102	8	4	3	0	9	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
11	Andreas	Tiefgraber	PSV Salzburg	-73 kg	11	101	8	5	5	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
12	Georg	Reiter	UJZ Mühlviertel 1	-73 kg	11	98	8	3	0	0	7	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
13	Lukas	Krpalek	SU Noricum Raiffeisenbank Leibnitz Judo	+100 kg	10	100	8	2	2	0	5	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Czechia	Czechia	
14	Marcus	Nyman	UJZ Mühlviertel 1	-90 kg	10	100	6	5	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Sweden	Sweden	
15	Daniel	Allerstorfer	UJZ Mühlviertel 1	+100 kg	10	94	5	6	3	0	17	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
16	Hermann	Höllwart	Judo Union Raika Pinzgau	-90 kg	10	84	5	2	3	0	33	3	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
17	Julian	Reichstein	Volksbank Galaxy Judo Tigers	-100 kg	9	90	8	0	0	0	15	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
18	Barna	Bor	Judo Union Raiffeisen Flachgau	+100 kg	9	90	7	6	4	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Hungary	Hungary	
19	Tobias	Englmaier	Judo Union Raika Pinzgau	-60 kg	9	79	5	6	9	0	5	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Germany	Germany	
20	Christian	Zachar	cafe+co Vienna Samurai 1	-81 kg	9	71	4	1	2	0	18	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
21	Dominik	Stiftinger-Lang	SU Noricum Raiffeisenbank Leibnitz Judo	-73 kg	8	80	6	3	3	0	21	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
22	Ilie	Natea	PSV Salzburg	+100 kg	8	80	6	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
23	Michal	Horak	Multikraft Wels	+100 kg	8	77	3	9	4	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Czechia	Czechia	
24	Faruch	Bulekulov	Judoteam SHIAI-DO Union Thermenregion 1	-100 kg	8	74	5	3	2	0	18	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Germany	Germany	
25	Yanislav	Gerchev	Volksbank Galaxy Judo Tigers	-60 kg	8	66	4	3	7	0	16	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Bulgaria	Bulgaria	
26	Christoph	Kronberger	Judo Union Raiffeisen Flachgau	-100 kg	8	66	4	1	2	0	22	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
27	Bartlomiej	Garbacik	cafe+co Vienna Samurai 1	-60 kg	8	62	5	2	1	0	15	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Poland	Poland	
28	Milan	Randl	PSV Salzburg	-90 kg	7	70	6	2	4	0	8	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Slovakia	Slovakia	
29	Christian	Pichler	Judo Union Raiffeisen Flachgau	-90 kg	7	67	3	6	3	0	14	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
30	Jonathan	Garcia Castillo	SU Noricum Raiffeisenbank Leibnitz Judo	-66 kg	7	61	6	2	2	0	8	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Dominican Republic	Dominican Republic	
31	Marcel	Ott	Volksbank Galaxy Judo Tigers	-90 kg	7	52	2	2	4	0	7	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
32	Andraz	Jereb	Volksbank Galaxy Judo Tigers	-66 kg	6	60	5	2	2	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Slovenia	Slovenia	
33	Rupert	Riess	Judo Union Raika Pinzgau	+100 kg	6	60	5	2	0	0	8	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
34	Markus	Markl	Judoteam SHIAI-DO Union Thermenregion 1	-81 kg	6	48	2	2	12	0	8	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
35	Manuel	Reichmann	Volksbank Galaxy Judo Tigers	-90 kg	6	46	3	0	1	0	8	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
36	Robert	Dumke	Judo Union Raika Pinzgau	-90 kg	5	50	5	2	1	0	5	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Germany	Germany	
37	Noel	Van T End	Judoteam SHIAI-DO Union Thermenregion 1	-100 kg	5	50	4	2	3	0	3	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Netherlands	Netherlands	
38	Miklos	Cirjenic	Multikraft Wels	-100 kg	5	50	4	2	2	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
39	Stefan	Kronberger	Judo Union Raiffeisen Flachgau	+100 kg	5	47	3	2	2	0	8	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
40	Philipp	Ackerl	SU Noricum Raiffeisenbank Leibnitz Judo	-90 kg	5	45	2	3	6	0	15	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
41	Manuel	Hödl	SU Noricum Raiffeisenbank Leibnitz Judo	-60 kg	4	40	4	3	4	0	3	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
42	Johannes	Pacher	Volksbank Galaxy Judo Tigers	-90 kg	4	40	4	1	0	0	3	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
43	Christoph	Jodl	Judo Union Raiffeisen Flachgau	-66 kg	4	40	4	0	2	0	10	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
44	Nico	Hofmann	Judo Union Raiffeisen Flachgau	-66 kg	4	40	4	0	0	0	13	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
45	Aleksandar	Kukolj	SU Noricum Raiffeisenbank Leibnitz Judo	-100 kg	4	40	3	2	1	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Serbia	Serbia	
46	Thomas	Ackerl	SU Noricum Raiffeisenbank Leibnitz Judo	-81 kg	4	40	3	2	1	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
47	Krisztian	Toth	Multikraft Wels	-100 kg	4	40	3	0	3	0	6	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Hungary	Hungary	
48	Christoph	Schögler	SU Noricum Raiffeisenbank Leibnitz Judo	-81 kg	4	40	2	4	3	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
49	Janusz	Wojnarowicz	cafe+co Vienna Samurai 1	+100 kg	4	40	2	0	1	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Poland	Poland	
50	Clemens	Prentner	cafe+co Vienna Samurai 1	+100 kg	4	40	2	0	1	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
51	Dominik	Stegmayer	Multikraft Wels	-81 kg	4	37	3	3	1	0	7	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
52	Tobias	Weixelbaumer	UJZ Mühlviertel 1	-66 kg	4	37	3	1	1	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
53	Rene	Schneider	Judo Union Raiffeisen Flachgau	-73 kg	4	31	3	0	0	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Germany	Germany	
54	Pavel	Petrikov	Judo Union Raika Pinzgau	-60 kg	4	30	2	0	2	0	7	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
55	Reinhold	Pühringer	UJZ Mühlviertel 1	-60 kg	4	28	2	2	0	0	5	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
