Position	First Name	Last Name	Team Name	Weight Class	Score	Subscore	Ippon	Wazaari	Yuko	Koka	Shido	Hansoku-make	Source	Nationality	Country
1	Hilde	Drexler	café+co Wien 1	-70 kg	12	120	10	6	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
2	Susanne	Lechner	Judoteam SHIAI-DO Union Thermenregion	-63 kg	11	74	1	7	1	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
3	Mara	Kraft	Judoteam SHIAI-DO Union Thermenregion	-48 kg	10	83	5	5	2	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
4	Eleftheria	Theodorakis	café+co Wien 1	-78 kg	9	87	8	6	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
5	Valentina	Schauer	café+co Wien 1	-48 kg	9	85	3	4	1	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
6	Anna	Dengg	Judoteam SHIAI-DO Union Thermenregion	-57 kg	9	84	6	5	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
7	Maria	Höllwart	ESV Sanjindo	+78 kg	8	74	1	9	0	0	5	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
8	Melanie	Niederdorfer	ESV Sanjindo	-70 kg	7	70	7	3	1	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
9	Daniela	Polleres	Judoteam SHIAI-DO Union Thermenregion	+78 kg	7	70	5	2	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
10	Asimina	Theodorakis	café+co Wien 1	-57 kg	7	67	6	4	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
