Position	First Name	Last Name	Team Name	Weight Class	Score	Subscore	Ippon	Wazaari	Yuko	Koka	Shido	Hansoku-make	Source	Nationality	Country
1	Christoph	Kronberger	JU Raiffeisen Flachgau	+100 kg	16	160	15	3	0	0	14	1	{{Internetquelle |url=https://www.judoaustria.at/final-four-tolles-judofest-in-gmunden/ |titel=Final Four: Tolles Judofest in Gmunden! |werk=Judo Austria |datum=2018-11-18 |sprache=de-DE |abruf=2024-11-30}}	Austria	Austria
2	Driton	Shala	UJZ Mühlviertel 1	-73 kg	15	141	3	22	0	0	9	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
3	Marcus	Nyman	UJZ Mühlviertel 1	-100 kg	14	137	10	4	0	0	7	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Sweden	Sweden
4	Lukas	Reiter	JC Wimpassing Sparkasse	-73 kg	14	134	6	14	0	0	5	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
5	Florian	Doppelhammer	JU DynamicOne	-66 kg	14	128	6	13	0	0	7	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
6	Gergö	Fogasy	ASKÖ Reichraming	+100 kg	13	127	10	5	0	0	8	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
7	Shamil	Borchashvili	LZ Multikraft Wels	-81 kg	13	124	7	7	0	0	11	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
8	Kimran	Borchashvili	LZ Multikraft Wels	-66 kg	12	117	9	5	0	0	11	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
9	David	Pulkrabek	JC Wimpassing Sparkasse	-60 kg	12	111	6	9	0	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
10	Laszlo	Csoknyai	JU Raiffeisen Flachgau	-90 kg	11	107	8	5	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Hungary	Hungary
